algo,data_name,iter,opt,eta,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,cg_time,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
BISN,DOTmark,0,0.0015077837935959237,0.001,1.0858949169549543e-18,3.072574280644643e-17,0.16444655755560167,0.0,108.06507833156368,0.16293877376200575,1.0,,[],[],0.00017888126795451915,3.022874021748508e-17,0.0,0.00017888126795451915,0
BISN,DOTmark,1,0.0015077837935959237,0.001,2.484736753805005e-18,1.8393303132933893e-05,0.002494434916956395,3.8940915000000005,0.6543717524694973,0.0009866511233604714,0.9848313339358716,,"[52, 63, 78, 63]","[0.15647337500000003, 0.1844442080000004, 0.2397069580000002, 0.201781875]",1.809578325410769e-05,1.809578325410769e-05,1.8807976615465377e-20,1.0346312945434866e-06,4
BISN,DOTmark,2,0.0015077837935959237,0.001,2.53303584855611e-18,2.4768971825160443e-06,0.0019557894845834266,5.532011125,0.29712860218443593,0.0004480056909875029,0.21593886002453858,,"[73, 89]","[0.11405616700000021, 0.1550147079999995]",2.43683226626467e-06,2.43683226626467e-06,2.014042773465628e-20,5.058759069743127e-07,2
BISN,DOTmark,3,0.0015077837935959237,0.001,2.6098997113457147e-18,1.3878063202107866e-06,0.0017993145718218373,6.530521959,0.19335051846567458,0.00029153077822591353,0.08000600984666699,,[95],[0.10591404200000021],1.3653579342281712e-06,1.3653579342281712e-06,1.9015899373421974e-20,3.3113349808959683e-07,1
BISN,DOTmark,4,0.0015077837935959237,0.001,2.5711165741149817e-18,2.2540914339816832e-07,0.0017141550858707827,7.4847558339999996,0.1368706131153477,0.00020637129227485894,0.0473288480428573,,[108],[0.09229249999999922],2.433329071473377e-07,2.2176305000507563e-07,1.8533644020411244e-20,2.433329071473377e-07,1
BISN,DOTmark,5,0.0015077837935959237,0.001,2.6481669273980076e-18,6.372849017612474e-08,0.0016649719451040136,8.429150501,0.10425112153063457,0.00015718815150808987,0.02869235180186994,,[118],[0.08191445900000005],1.904032999675821e-07,6.269765343418968e-08,1.9427682128585087e-20,1.904032999675821e-07,1
BISN,DOTmark,6,0.0015077837935959237,0.001,2.653588624045192e-18,2.8809340688849643e-08,0.0016324577479613896,9.346062001000002,0.0826868911146273,0.00012467395436546584,0.019528375380879356,,[129],[0.07598041700000024],1.548904307156054e-07,2.834333675856797e-08,1.9540786767142206e-20,1.548904307156054e-07,1
BISN,DOTmark,7,0.0015077837935959237,0.001,2.649822327109441e-18,1.928723318248934e-08,0.0016092550147800647,10.243421210000001,0.06729825696172366,0.000101471221184141,0.014213374410639648,,[118],[0.06044741700000067],1.292978925219506e-07,1.8975253586553022e-08,2.0306275599546085e-20,1.292978925219506e-07,1
BISN,DOTmark,8,0.0015077837935959237,0.001,2.6642179590918044e-18,1.6021326648008203e-08,0.0015918587118800022,11.129360168000002,0.05576059289214647,8.40749182840785e-05,0.010810159198068445,,[125],[0.056658125000000226],1.098674100443254e-07,1.5762174546370974e-08,1.9685949111580752e-20,1.098674100443254e-07,1
BISN,DOTmark,9,0.0015077837935959237,0.001,2.6794532093118098e-18,1.4771285460917379e-08,0.0015783366343566922,12.015398959000002,0.04679241218829296,7.05528407607685e-05,0.008494521167233673,,[152],[0.06227266699999845],9.452747683610645e-08,1.4532353332811991e-08,1.908422517443953e-20,9.452747683610645e-08,1
BISN,DOTmark,10,0.0015077837935959237,0.001,2.6450526656012438e-18,1.4714430047518307e-08,0.0015675398852474953,12.889738209,0.039631737590877555,5.9756091651571534e-05,0.006840587029520206,,[145],[0.05412304200000051],8.203034192159663e-08,1.4476417581073625e-08,1.661618243668105e-20,8.203034192159663e-08,1
BISN,DOTmark,11,0.0015077837935959237,0.001,2.6741440527448144e-18,1.535650871298786e-08,0.0015587397474248548,13.758656918000003,0.0337952656377914,5.0955953828931084e-05,0.005613980164371394,,[149],[0.05112158300000047],7.159535784573819e-08,1.5108110337858547e-08,1.8158213990856202e-20,7.159535784573819e-08,1
BISN,DOTmark,12,0.0015077837935959237,0.001,2.7134938101479395e-18,1.623846210163424e-08,0.0015514524509123726,14.619835918000003,0.02896214795644087,4.3668657316448846e-05,0.004675120734247877,,[155],[0.049216499999999996],6.271436295610493e-08,1.597579773722481e-08,1.7677053357802432e-20,6.271436295610493e-08,1
BISN,DOTmark,13,0.0015077837935959237,0.001,2.7328428219625944e-18,1.6994546130878404e-08,0.0015453441779494936,15.483879501000004,0.024910988241883047,3.756038435356987e-05,0.003937131917440875,,[161],[0.047607708999997556],5.5061187465073706e-08,1.6719651770196016e-08,1.8354295454694442e-20,5.5061187465073706e-08,1
BISN,DOTmark,14,0.0015077837935959237,0.001,2.626848969834228e-18,1.7432101402543656e-08,0.0015401776383165652,16.348011168000006,0.02148440967347523,3.2393844720641444e-05,0.0033432938154812045,,[169],[0.047001874999999416],4.8408334462497836e-08,1.7150129390258138e-08,1.8699392910768586e-20,4.8408334462497836e-08,1
BISN,DOTmark,15,0.0015077837935959237,0.001,2.7376691901502452e-18,1.748263336625656e-08,0.0015357790063259523,17.210318835000006,0.01856712669875736,2.799521273002853e-05,0.0028559251096650622,,[193],[0.050654957999999084],4.259864171676228e-08,1.719984397692832e-08,1.8541230555695136e-20,4.259864171676228e-08,1
BISN,DOTmark,16,0.0015077837935959237,0.001,2.7280079150191362e-18,1.719390569257982e-08,0.001532016910741478,18.067148293000006,0.01607201062147022,2.4233117145554348e-05,0.0024496334231539295,,[202],[0.05021941700000099],3.750709620851771e-08,1.6915786602102484e-08,1.9248954098747135e-20,3.750709620851771e-08,1
BISN,DOTmark,17,0.0015077837935959237,0.001,2.7233498985109074e-18,1.662613454600541e-08,0.0015287896034731326,19.010245626000007,0.013931579558307863,2.1005809877208854e-05,0.0021065741805575207,,[208],[0.049716792000001675],3.304862187462593e-08,1.6357199406964582e-08,1.953683449309308e-20,3.304862187462593e-08,1
