algo,data_name,iter,opt,eta,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,cg_time,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
BISN,DOTmark,0,0.02065654586271825,0.001,1.0016408679895317e-17,2.4435908128591724e-16,0.15283609292207848,0.0,6.398918189798764,0.13217954705936022,1.0,,[],[],0.0006426071907324239,2.3368772235557616e-16,0.0,0.0006426071907324239,0
BISN,DOTmark,1,0.02065654586271825,0.001,7.998151230701955e-18,3.0594792034585845e-05,0.021392160079998827,3.0115388749999994,0.035611675938920825,0.000735614217280578,0.8600320142251651,,"[77, 54, 42, 41, 44, 40, 49, 41, 49, 41, 40, 45, 42, 33, 36, 29, 39, 32, 35, 28, 42, 34, 43, 31, 36, 30, 44, 29, 31, 42, 36, 39, 44, 39, 32, 45, 37, 65, 48, 54, 53, 55, 47, 42, 42, 43, 59, 60, 47, 50, 41, 50, 40, 78, 103, 200, 389]","[0.011687750000000108, 0.006127083999999838, 0.004825124999999986, 0.004726999999999926, 0.004993041999999948, 0.004432957999999987, 0.00575541700000004, 0.004723167000000084, 0.005779791999999784, 0.00478141700000001, 0.004833458000000013, 0.005473167000000112, 0.0050597500000000295, 0.0040020419999999834, 0.004437000000000024, 0.0034209159999998295, 0.004703917000000057, 0.003910332999999877, 0.004218500000000347, 0.0034894159999998564, 0.005167040999999983, 0.004172916999999998, 0.005148917000000086, 0.003779209000000172, 0.004347375000000042, 0.0038390420000000702, 0.0053188340000001055, 0.003543291999999809, 0.0036590420000002233, 0.005144416999999901, 0.00433883299999982, 0.004742707999999762, 0.005393333000000222, 0.0046658749999997085, 0.0038680000000002046, 0.005398374999999955, 0.0044443329999999115, 0.008091499999999918, 0.005914208000000087, 0.00674891699999991, 0.006553499999999879, 0.006907915999999847, 0.005806124999999884, 0.005151791000000294, 0.00525670800000011, 0.005075582999999995, 0.007711707999999984, 0.007673708000000001, 0.005837541000000002, 0.006288332999999646, 0.0050910840000000235, 0.00617516699999987, 0.004883625000000169, 0.009926749999999984, 0.01362979200000014, 0.027330875000000088, 0.05573820899999937]",2.925869269470417e-05,2.925869269470417e-05,2.7333594018246166e-19,4.251058250231677e-06,57
BISN,DOTmark,2,0.02065654586271825,0.001,8.980572769858512e-18,1.9546296433439592e-05,0.02090907733420283,4.984406166999999,0.012225251654506265,0.00025253147148458083,0.02258223311668597,,"[125, 357, 708, 499, 398, 395, 324, 451, 521, 476, 758, 485, 584, 536, 607, 355, 449, 297, 341, 299, 320, 350, 357, 377, 329]","[0.012506665999999278, 0.031879500000000505, 0.06691583299999948, 0.0474120840000003, 0.03709137500000015, 0.03722945799999966, 0.02891741599999964, 0.04210795799999989, 0.05372429200000006, 0.04444441600000015, 0.07293154099999999, 0.04559416699999996, 0.05684958299999998, 0.05069170799999956, 0.05987533299999992, 0.03418337499999957, 0.04411570799999964, 0.027899500000000188, 0.03324033300000018, 0.029350707999999948, 0.03271116600000035, 0.03444454200000013, 0.03451333299999959, 0.037176999999999794, 0.03287875000000007]",0.00017871305767311514,1.8692693842112037e-05,5.057456306081638e-19,0.00017871305767311514,25
BISN,DOTmark,3,0.02065654586271825,0.001,8.505980095328614e-18,4.225385687617881e-06,0.020776995993872643,7.652654249999999,0.005831087731457909,0.00012045013115439401,0.006316937769134828,,"[42, 36, 42, 40, 39, 47, 50, 43, 41, 43, 51, 57, 45, 47, 55, 50, 45, 51, 56, 54, 56, 56, 58, 71, 75, 68, 70, 68, 67, 56, 74, 77, 75, 106, 92, 188, 282, 540, 639, 517, 401, 421, 411, 315]","[0.0023607089999995168, 0.001996541999999657, 0.002541790999999627, 0.0023709579999993124, 0.002361916999999991, 0.002993667000000144, 0.0032104589999999433, 0.0028012920000000108, 0.0027255830000001424, 0.0027540000000003673, 0.0032797499999999147, 0.003765167000000069, 0.002941124999999545, 0.003512374999999679, 0.003908457999999726, 0.0032346249999992693, 0.003023750000000547, 0.003395333000000278, 0.00373466599999972, 0.0035369159999998345, 0.003690041000000477, 0.003711458999999806, 0.0038999999999997925, 0.004722207999999561, 0.0049990410000004815, 0.004545249999999612, 0.004600959000000238, 0.004592584000000066, 0.004468124999999823, 0.0037408340000002482, 0.0049154170000003106, 0.005163665999999623, 0.004989333000001039, 0.007254500000000164, 0.006088749999999976, 0.013408000000000087, 0.019756540999999572, 0.0396797909999993, 0.04772841700000008, 0.03902725000000018, 0.030461458999999635, 0.03258979099999948, 0.03198366700000044, 0.024622334000000023]",2.1276370668988502e-05,4.04085967346522e-06,1.0552702665482688e-19,2.1276370668988502e-05,44
BISN,DOTmark,4,0.02065654586271825,0.001,8.498375917064617e-18,5.827637202950031e-07,0.020718344267726268,8.696397042,0.0029917104930672223,6.17984050080185e-05,0.002822916564245983,,"[60, 75, 58, 59, 54, 63, 62, 59, 64, 70, 74, 72, 89, 97, 84, 122, 156, 282, 295]","[0.003488042000000746, 0.0043139579999991184, 0.003313292000001411, 0.0034502920000001325, 0.0031808330000000495, 0.0036766660000004947, 0.0035804999999999865, 0.0035390839999998036, 0.0038032499999989255, 0.004220333999999326, 0.004368875000000827, 0.00427516700000119, 0.0053051249999995775, 0.0058732920000004185, 0.004946582999998839, 0.007480666999999386, 0.009427291000001503, 0.01759316700000113, 0.019352250000000737]",5.573139567825419e-07,5.573139567825419e-07,2.049599226104467e-19,4.7074327833374996e-07,19
BISN,DOTmark,5,0.02065654586271825,0.001,7.558375698998913e-18,1.2224691009153958e-07,0.02069070751900022,8.803497292,0.0016537932580309735,3.416165628197104e-05,0.0013339265130900566,,"[226, 298]","[0.012855458000000652, 0.01777562499999874]",3.0803217312403424e-07,1.1690828854800238e-07,1.7522432950725442e-19,3.0803217312403424e-07,2
BISN,DOTmark,6,0.02065654586271825,0.001,8.472748075990884e-18,6.077254452791741e-09,0.020676307364293375,8.905000042,0.000956670186122047,1.9761501575125268e-05,0.0006959720779785878,,"[209, 292]","[0.011192916000000608, 0.016308416000001102]",2.089143257248114e-07,5.811855830258567e-09,3.0381660387640744e-19,2.089143257248114e-07,2
BISN,DOTmark,7,0.02065654586271825,0.001,8.349061738244983e-18,3.405189285068707e-09,0.02066853435038828,9.007412708999999,0.0005803723308681354,1.1988487670030329e-05,0.0003759382063800436,,"[204, 303]","[0.010563958999998846, 0.01632920800000015]",1.5728426411731292e-07,3.2564819119050238e-09,1.1419684202063062e-19,1.5728426411731292e-07,2
BISN,DOTmark,8,0.02065654586271825,0.001,9.214443602606516e-18,1.6874721588412377e-09,0.02066416499302264,9.111875625999998,0.0003688482263697577,7.619130304389182e-06,0.00021140141296758488,,"[251, 356]","[0.012381082999999293, 0.018220166999999066]",1.257667551265181e-07,1.6137788833665186e-09,2.1359104866222457e-19,1.257667551265181e-07,2
BISN,DOTmark,9,0.02065654586271825,0.001,7.15655688778176e-18,1.2819063261335413e-09,0.02066160101804935,9.226081083999997,0.000244724135617599,5.055155331099015e-06,0.0001240783246821687,,"[329, 415]","[0.015461832999999814, 0.02021404199999921]",1.0137578764811455e-07,1.2259244389482653e-09,2.30939647815843e-19,1.0137578764811455e-07,2
