algo,data_name,iter,opt,eta,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,cg_time,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
PINS,DOTmark,0,0.02065654586271825,0.001,1.0016408679895317e-17,2.4435908128591724e-16,0.1528360929220786,0.0,6.39891818979877,0.13217954705936033,1.0,,0,,0.0006426071907324239,2.3368772235557616e-16,0.0,0.0006426071907324239,0
PINS,DOTmark,1,0.02065654586271825,0.001,3.198896004862061e-05,3.335972936352464e-05,0.021424614677201092,5.163229875000001,0.03718282909385559,0.0007680688144828425,0.8598196651878288,,568,,0.002718409428475507,3.190288297179724e-05,0.002718409428475507,2.0132253961703673e-05,2
PINS,DOTmark,2,0.02065654586271825,0.001,1.1422603864999804e-06,1.4627326148992647e-06,0.02090762268477194,5.545908375000001,0.01215483090553127,0.00025107682205369186,0.024130748684096773,,731,,0.00037472859045245923,1.3988538972736963e-06,0.00037472859045245923,4.903833139474621e-06,2
PINS,DOTmark,3,0.02065654586271825,0.001,4.06574226238229e-08,5.4433428280919e-08,0.020774568868140775,6.180019917000001,0.00571358862255562,0.00011802300542252536,0.0063638902728083094,,1381,,0.00029278492097520586,5.205627639469547e-08,0.00029278492097520586,4.438084717767381e-06,3
PINS,DOTmark,4,0.02065654586271825,0.001,3.6278998581889105e-08,4.056295396274513e-08,0.0207182931829406,6.835654626000001,0.0029892374375036983,6.174732022234952e-05,0.0027088737945593884,,1509,,0.0002652711098441781,3.879153692052407e-08,0.0002652711098441781,4.308082452445752e-06,3
PINS,DOTmark,5,0.02065654586271825,0.001,3.846172462563068e-08,4.076438173214757e-08,0.020690706250955752,7.461442667000001,0.0016537318709783431,3.4160388237503e-05,0.001331525321186281,,1615,,0.00025310511076590984,3.8984168176146385e-08,0.00025310511076590984,4.256091989690901e-06,3
PINS,DOTmark,6,0.02065654586271825,0.001,5.783635402144771e-08,6.01059442610537e-08,0.020676360949126615,8.089821126,0.0009592642709993949,1.981508640836599e-05,0.0006933210328900382,,1706,,0.00024764335588661014,5.7481069009103145e-08,0.00024764335588661014,4.231596697302261e-06,3
PINS,DOTmark,7,0.02065654586271825,0.001,6.223536571406402e-08,6.388320835877275e-08,0.020668596832793255,8.663805751,0.0005833971543498016,1.2050970075005996e-05,0.0003755069062908749,,1790,,0.00024524138906970635,6.109337692533168e-08,0.00024524138906970635,4.219276174439357e-06,3
PINS,DOTmark,8,0.02065654586271825,0.001,6.301857420519862e-08,6.37053033170592e-08,0.020664233107429392,9.275117543,0.0003721456995875206,7.687244711142988e-06,0.0002111282831227045,,1983,,0.00024435753275040245,6.092324114083442e-08,0.00024435753275040245,4.21289441296677e-06,3
PINS,DOTmark,9,0.02065654586271825,0.001,6.372971104867923e-08,6.35078126565532e-08,0.02066167477484348,9.90233396,0.00024829476134664185,5.12891212522959e-06,0.00012380486479285807,,2140,,0.0002442617042955504,6.073437505737528e-08,0.0002442617042955504,4.209488336439868e-06,3
PINS,DOTmark,10,0.02065654586271825,0.001,8.887423161961753e-08,8.798220897497983e-08,0.020660142691192717,10.518796001,0.00017412535950453141,3.596828474467656e-06,7.41509905396108e-05,,2191,,0.00024459145972865136,8.413995467235492e-08,0.00024459145972865136,4.207598956082912e-06,3
PINS,DOTmark,11,0.02065654586271825,0.001,9.839641539684171e-08,1.0048658137328434e-07,0.020659162514552253,11.168319584,0.00012667421994915908,2.6166518340038636e-06,4.744287854708938e-05,,2388,,0.00024511939125351995,9.609825100359145e-08,0.00024511939125351995,4.206498592040199e-06,3
PINS,DOTmark,12,0.02065654586271825,0.001,1.1292749311115794e-07,1.2096937181814137e-07,0.02065853111432321,11.824502542000001,9.610762700384998e-05,1.985251604962046e-06,3.056272143641162e-05,,2589,,0.00024572718450523114,1.1568654140538981e-07,0.00024572718450523114,4.205844415411023e-06,3
PINS,DOTmark,13,0.02065654586271825,0.001,1.2928342970676702e-07,1.4571812999413896e-07,0.020658105643445942,12.495644125000002,7.551023961405156e-05,1.5597807276925002e-06,2.0595408014007033e-05,,2722,,0.00024622103477941944,1.393545012734773e-07,0.00024622103477941944,4.205451863979582e-06,3
PINS,DOTmark,14,0.02065654586271825,0.001,1.554856117780475e-08,1.804845453034539e-08,0.020657607683500064,13.476727000000002,5.140359810739588e-05,1.06182078181416e-06,2.410482134581999e-05,,4349,,0.0002463977817568558,1.7260263907685865e-08,0.0002463977817568558,4.2051936815614865e-06,4
PINS,DOTmark,15,0.02065654586271825,0.001,2.3571176618416706e-08,2.9297161797477946e-08,0.02065736597700934,14.484503959000003,3.970239247836953e-05,8.201142910890802e-07,1.1700604175871687e-05,,4615,,0.0002466900529864379,2.8017731020705003e-08,0.0002466900529864379,4.205041754373544e-06,4
PINS,DOTmark,16,0.02065654586271825,0.001,2.8846142431980756e-08,4.0452437825391336e-08,0.020657179192855375,15.508704001000003,3.066002134795019e-05,6.333301371258537e-07,9.042012140904522e-06,,4762,,0.0002468867451353642,3.868584711237028e-08,0.0002468867451353642,4.2049314762724266e-06,4
PINS,DOTmark,17,0.02065654586271825,0.001,3.108714630151529e-08,4.7143879546731246e-08,0.020657032548723673,16.563476960000003,2.35608609812121e-05,4.866860054235367e-07,7.0989427130029605e-06,,5059,,0.00024707725516003303,4.508506815586959e-08,0.00024707725516003303,4.204849091500919e-06,4
PINS,DOTmark,18,0.02065654586271825,0.001,3.2104655832068166e-08,5.000989036758045e-08,0.02065691816018162,17.610035251000003,1.8023219653766e-05,3.722974633718623e-07,5.537510858922573e-06,,5057,,0.0002472636750700759,4.7825917963645016e-08,0.0002472636750700759,4.20478260972286e-06,4
