algo,data_name,iter,opt,eta,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,cg_time,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
ExtraGrad,DOTmark,0,0.005323961371414864,0.001,9.813077866773595e-18,0.030250369999686607,0.17941918658560319,0.0,32.7003171264411,0.17409522521418833,1.0,,0,,,,,,
ExtraGrad,DOTmark,1,0.005323961371414864,0.001,4.892144747334145e-18,0.011311794897148635,0.17285801498984063,0.021531457999998338,31.467931852011716,0.16753405361842577,0.036568951853051326,,0,,,,,,
ExtraGrad,DOTmark,2,0.005323961371414864,0.001,4.347638642032957e-18,0.002752060970202011,0.16416134555662149,0.04197924999999714,29.834435884157244,0.15883738418520663,0.05031105693149533,,0,,,,,,
ExtraGrad,DOTmark,3,0.005323961371414864,0.001,4.187885777261439e-18,0.0008320922004876001,0.15593125211252584,0.06192637499999876,28.28857691375144,0.15060729074111098,0.05013417388965645,,0,,,,,,
ExtraGrad,DOTmark,4,0.005323961371414864,0.001,4.46501936294352e-18,0.00042061672699385765,0.14815975646339788,0.08130104100000324,26.8288563960831,0.14283579509198302,0.04983924353740044,,0,,,,,,
ExtraGrad,DOTmark,5,0.005323961371414864,0.001,4.438614525589201e-18,0.00024672049505075275,0.14067260897513073,0.10647449900001504,25.422545011393733,0.13534864760371587,0.050534285874834106,,0,,,,,,
ExtraGrad,DOTmark,6,0.005323961371414864,0.001,4.385327876396744e-18,0.0002229569065914294,0.1335605691387707,0.12552558200002295,24.08669012060778,0.12823660776735585,0.05055738916179019,,0,,,,,,
ExtraGrad,DOTmark,7,0.005323961371414864,0.001,4.5277626551925894e-18,0.00016110714749287418,0.12679193036831446,0.14524108200002672,22.81533627367755,0.1214679689968996,0.05067842113957726,,0,,,,,,
ExtraGrad,DOTmark,8,0.005323961371414864,0.001,4.342227757497547e-18,0.00017593155899832763,0.12039862110536531,0.16494799900002022,21.61448059180206,0.11507465973395045,0.05042362904624448,,0,,,,,,
ExtraGrad,DOTmark,9,0.005323961371414864,0.001,4.6253660876279625e-18,0.00012029333323865646,0.1143032049424931,0.18500062400002548,20.469578189692346,0.10897924357107824,0.05062695990129225,,0,,,,,,
ExtraGrad,DOTmark,10,0.005323961371414864,0.001,4.5536505818523456e-18,0.00015636129544487317,0.10859582718135219,0.2045987070000308,19.39756106504064,0.10327186580993733,0.049931913667795605,,0,,,,,,
ExtraGrad,DOTmark,11,0.005323961371414864,0.001,4.584523113271265e-18,0.00013090531227925064,0.10324468954500832,0.22403291500003775,18.39245654548591,0.09792072817359346,0.04927572058001467,,0,,,,,,
ExtraGrad,DOTmark,12,0.005323961371414864,0.001,4.680942949473885e-18,0.00011602794491102867,0.09825653104564624,0.2437934150000416,17.45553042011163,0.09293256967423139,0.04831394739375474,,0,,,,,,
ExtraGrad,DOTmark,13,0.005323961371414864,0.001,4.6909772027711155e-18,0.00011043919303098516,0.09360702605749827,0.2629431230000421,16.58221360509643,0.0882830646860834,0.04732006044451127,,0,,,,,,
ExtraGrad,DOTmark,14,0.005323961371414864,0.001,4.720951790259801e-18,8.83290222113375e-05,0.08924205074412903,0.28278229000004274,15.762340016830851,0.08391808937271417,0.04663085130690988,,0,,,,,,
ExtraGrad,DOTmark,15,0.005323961371414864,0.001,4.7999690668245925e-18,0.00010777142667446579,0.08521986998820603,0.30320708200004276,15.00685355189918,0.07989590861679118,0.04507046535108449,,0,,,,,,
ExtraGrad,DOTmark,16,0.005323961371414864,0.001,4.745786010292487e-18,7.986001143746343e-05,0.08146668805680672,0.32253624900003786,14.3018931531347,0.07614272668539186,0.04404116002428463,,0,,,,,,
ExtraGrad,DOTmark,17,0.005323961371414864,0.001,4.795068762209816e-18,8.606709596545025e-05,0.07800688297503358,0.34179729100004863,13.652037746529132,0.07268292160361872,0.04246895466476577,,0,,,,,,
ExtraGrad,DOTmark,18,0.005323961371414864,0.001,4.74578606698474e-18,7.020468433253521e-05,0.07477331882569535,0.361245541000045,13.044677188524389,0.06944935745428049,0.04145229274669449,,0,,,,,,
ExtraGrad,DOTmark,19,0.005323961371414864,0.001,4.83899379218916e-18,7.085152904062385e-05,0.07176876698015992,0.38048512400003176,12.4803320259792,0.06644480560874506,0.04018213839804759,,0,,,,,,
ExtraGrad,DOTmark,20,0.005323961371414864,0.001,4.735868023414906e-18,7.107161922803897e-05,0.06899321751697804,0.4003894990000276,11.959000395347125,0.06366925614556318,0.03867350074370331,,0,,,,,,
ExtraGrad,DOTmark,21,0.005323961371414864,0.001,4.640589310893784e-18,5.856404315925735e-05,0.06640559987058876,0.4198337490000199,11.472968009709884,0.0610816384991739,0.03750539168219699,,0,,,,,,
ExtraGrad,DOTmark,22,0.005323961371414864,0.001,4.715969166558965e-18,6.315540155680028e-05,0.06401212544292767,0.439035457000017,11.023401557084588,0.058688164071512804,0.03604326189847688,,0,,,,,,
ExtraGrad,DOTmark,23,0.005323961371414864,0.001,4.9304398642770075e-18,5.116006590616355e-05,0.061761581952101303,0.45905729000001827,10.60068183133491,0.05643762058068644,0.03515808099252883,,0,,,,,,
ExtraGrad,DOTmark,24,0.005323961371414864,0.001,4.944723911350436e-18,5.6581951293058845e-05,0.059681194870694246,0.4787658730000288,10.20992259469263,0.05435723349927938,0.033684161183249565,,0,,,,,,
ExtraGrad,DOTmark,25,0.005323961371414864,0.001,4.625365850107731e-18,4.994532958505811e-05,0.057736663436303556,0.49833187300002635,9.844681132793383,0.05241270206488869,0.032581978939994864,,0,,,,,,
ExtraGrad,DOTmark,26,0.005323961371414864,0.001,5.052895164319508e-18,4.906777774880554e-05,0.055923749348377245,0.5178013730000259,9.504161365377316,0.05059978797696238,0.03139970306608313,,0,,,,,,
ExtraGrad,DOTmark,27,0.005323961371414864,0.001,4.755683402809886e-18,4.7612826533558044e-05,0.054227295051096094,0.5375309560000261,9.18551624777942,0.04890333367968123,0.03033513162204275,,0,,,,,,
ExtraGrad,DOTmark,28,0.005323961371414864,0.001,4.8680570580264386e-18,4.349459532061096e-05,0.05263203576367269,0.5569249980000279,8.885878595262144,0.04730807439225782,0.029418013307141,,0,,,,,,
ExtraGrad,DOTmark,29,0.005323961371414864,0.001,4.730901123856437e-18,4.531818895951193e-05,0.051148582869574875,0.5764690400000347,8.607241544651165,0.04582462149816001,0.02818536035274758,,0,,,,,,
ExtraGrad,DOTmark,30,0.005323961371414864,0.001,4.765560315167543e-18,4.0900371389753394e-05,0.049749030940492496,0.5960640810000228,8.344363617587911,0.04442506956907763,0.027362477131597836,,0,,,,,,
ExtraGrad,DOTmark,31,0.005323961371414864,0.001,5.080735128046358e-18,4.225272897871643e-05,0.048436407073211965,0.6151779980000214,8.097813393852592,0.0431124457017971,0.02638491328304729,,0,,,,,,
ExtraGrad,DOTmark,32,0.005323961371414864,0.001,4.9589671532312006e-18,3.922863580581808e-05,0.04719608480817667,0.6351462060000159,7.864843584624681,0.041872123436761804,0.025607231006225105,,0,,,,,,
ExtraGrad,DOTmark,33,0.005323961371414864,0.001,4.9352057842053305e-18,3.892002261908523e-05,0.046033279633116805,0.6549758310000158,7.646433815293307,0.04070931826170194,0.024637746537365543,,0,,,,,,
ExtraGrad,DOTmark,34,0.005323961371414864,0.001,4.88733669410847e-18,3.797422519899146e-05,0.044935067481242666,0.6746325390000152,7.440156557578665,0.0396111061098278,0.023856917443789396,,0,,,,,,
ExtraGrad,DOTmark,35,0.005323961371414864,0.001,4.853547227684038e-18,3.671146308779861e-05,0.04389509631626587,0.6991652890000211,7.244818708104295,0.038571134944851,0.023143865654834367,,0,,,,,,
ExtraGrad,DOTmark,36,0.005323961371414864,0.001,5.038917800094281e-18,3.662036674249094e-05,0.04291005187010396,0.7194217890000232,7.059797747687347,0.03758609049868909,0.02244087674542566,,0,,,,,,
ExtraGrad,DOTmark,37,0.005323961371414864,0.001,5.390568947762792e-18,3.4727856946504766e-05,0.04197892207404042,0.7394484970000264,6.884903579397,0.036654960702625555,0.021699572838602618,,0,,,,,,
ExtraGrad,DOTmark,38,0.005323961371414864,0.001,5.167905361034821e-18,3.458533946225404e-05,0.0410973370132492,0.7595546220000244,6.719315401856009,0.03577337564183433,0.021000659789127643,,0,,,,,,
ExtraGrad,DOTmark,39,0.005323961371414864,0.001,4.901746385171351e-18,3.323658311092395e-05,0.04025879504934337,0.779845581000032,6.561812011916314,0.034934833677928503,0.02040380289446721,,0,,,,,,
ExtraGrad,DOTmark,40,0.005323961371414864,0.001,5.117619245000194e-18,3.287065196090804e-05,0.03945928498773325,0.7997241650000433,6.411639986645279,0.03413532361631838,0.01985926455648263,,0,,,,,,
ExtraGrad,DOTmark,41,0.005323961371414864,0.001,5.122211244710821e-18,3.174389621499588e-05,0.03869815580137895,0.8198953730000511,6.268677043592966,0.03337419442996408,0.019288975626165362,,0,,,,,,
ExtraGrad,DOTmark,42,0.005323961371414864,0.001,5.126798890906713e-18,3.070141235347442e-05,0.03797444456816163,0.8403431230000535,6.132742317037092,0.032650483196746766,0.018701439854958854,,0,,,,,,
ExtraGrad,DOTmark,43,0.005323961371414864,0.001,5.085360380731267e-18,2.9835521941199606e-05,0.0372845042405285,0.8639259560000454,6.003150781805917,0.03196054286911364,0.01816854296301112,,0,,,,,,
ExtraGrad,DOTmark,44,0.005323961371414864,0.001,5.176995786040223e-18,2.8751806887006497e-05,0.03662410387056548,0.8841819980000452,5.87910773868603,0.03130014249915061,0.017712462145203056,,0,,,,,,
ExtraGrad,DOTmark,45,0.005323961371414864,0.001,5.190601607666428e-18,2.7940411720138563e-05,0.035991345324639476,0.9042891650000371,5.760256661117478,0.030667383953224613,0.01727710657883281,,0,,,,,,
ExtraGrad,DOTmark,46,0.005323961371414864,0.001,4.996750178154985e-18,2.652205730703944e-05,0.03538612068005616,0.9244139980000483,5.646577277973781,0.030062159308641295,0.01681583833902939,,0,,,,,,
ExtraGrad,DOTmark,47,0.005323961371414864,0.001,4.760624436938501e-18,2.5441243813333674e-05,0.0348073621654377,0.9530742900000462,5.53786902968973,0.029483400794022837,0.016355523111767648,,0,,,,,,
ExtraGrad,DOTmark,48,0.005323961371414864,0.001,5.145108931703226e-18,2.4083367753973317e-05,0.034252267778208195,0.9741834980000448,5.433605615944866,0.028928306406793333,0.015947614317659804,,0,,,,,,
ExtraGrad,DOTmark,49,0.005323961371414864,0.001,4.916114145530554e-18,2.294470241528617e-05,0.03371826772193022,0.9932577890000545,5.333304351712353,0.028394306350515357,0.015590210252230771,,0,,,,,,
ExtraGrad,DOTmark,50,0.005323961371414864,0.001,4.916113985907093e-18,2.150674988623232e-05,0.033204537383836816,1.012511206000056,5.236810349924192,0.027880576012421953,0.015235964739649907,,0,,,,,,
ExtraGrad,DOTmark,51,0.005323961371414864,0.001,5.135962112344876e-18,1.9970845016271535e-05,0.03271100505886929,1.0315155810000505,5.14411014221469,0.02738704368745443,0.014863400120965483,,0,,,,,,
ExtraGrad,DOTmark,52,0.005323961371414864,0.001,4.968439760513654e-18,1.849407969005216e-05,0.032236622501981525,1.05145620600004,5.055006836650755,0.026912661130566663,0.014502231161470928,,0,,,,,,
ExtraGrad,DOTmark,53,0.005323961371414864,0.001,4.944723897747589e-18,1.6919604648314197e-05,0.031779402132124275,1.0711248730000449,4.9691271057586155,0.026455440760709412,0.01418325911249374,,0,,,,,,
ExtraGrad,DOTmark,54,0.005323961371414864,0.001,5.034249918223562e-18,1.5483030382099818e-05,0.03133786548631011,1.0904728730000386,4.8861932497421465,0.026013904114895247,0.013893799637213348,,0,,,,,,
ExtraGrad,DOTmark,55,0.005323961371414864,0.001,5.038917720002885e-18,1.3689745100341556e-05,0.030911661277781503,1.1098257060000378,4.806139286387536,0.02558769990636664,0.013600294784429194,,0,,,,,,
ExtraGrad,DOTmark,56,0.005323961371414864,0.001,4.9494762355361315e-18,1.207360749503681e-05,0.030500638173868697,1.1309098310000394,4.728936790869884,0.025176676802453835,0.01329670056291145,,0,,,,,,
ExtraGrad,DOTmark,57,0.005323961371414864,0.001,4.9826150875294696e-18,1.0363148165852545e-05,0.03010389859543234,1.1539738310000303,4.6544171708428665,0.024779937224017477,0.013007582863504247,,0,,,,,,
ExtraGrad,DOTmark,58,0.005323961371414864,0.001,4.853547278498116e-18,8.849143277854834e-06,0.029720117990837534,1.1737736640000378,4.582331635689403,0.02439615661942267,0.01274853499051568,,0,,,,,,
ExtraGrad,DOTmark,59,0.005323961371414864,0.001,5.0853602616913366e-18,7.271128290418931e-06,0.029348462931901673,1.193785289000047,4.512523642541419,0.02402450156048681,0.012505167679698977,,0,,,,,,
ExtraGrad,DOTmark,60,0.005323961371414864,0.001,5.010845627942263e-18,5.554077639337797e-06,0.028988750221472386,1.2141755800000453,4.444958781466236,0.023664788850057523,0.012256611573285498,,0,,,,,,
ExtraGrad,DOTmark,61,0.005323961371414864,0.001,5.080735167762457e-18,4.180235095793289e-06,0.02864090701170447,1.2343182050000507,4.379623369448497,0.023316945640289608,0.011999248229413588,,0,,,,,,
ExtraGrad,DOTmark,62,0.005323961371414864,0.001,4.963705754926721e-18,2.915599806986288e-06,0.028304195072498928,1.2545744960000604,4.316378744682172,0.022980233701084065,0.011756329471966148,,0,,,,,,
ExtraGrad,DOTmark,63,0.005323961371414864,0.001,5.135962107979428e-18,2.586667084538345e-06,0.027980036972080957,1.2745377040000676,4.255492108246674,0.022656075600666094,0.011452652145297386,,0,,,,,,
ExtraGrad,DOTmark,64,0.005323961371414864,0.001,5.2131989155565175e-18,2.3926451203965156e-06,0.0276657550082963,1.294316038000062,4.196460507177576,0.02234179363688144,0.011232364135124363,,0,,,,,,
ExtraGrad,DOTmark,65,0.005323961371414864,0.001,5.48567858210259e-18,2.832459819948798e-06,0.027362311559114737,1.3140303290000617,4.139464704989604,0.022038350187699875,0.010968196931208582,,0,,,,,,
ExtraGrad,DOTmark,66,0.005323961371414864,0.001,5.181534957416519e-18,3.332216606439194e-06,0.02706805063338321,1.3340757870000601,4.0841936567600925,0.021744089261968347,0.010754242202665992,,0,,,,,,
ExtraGrad,DOTmark,67,0.005323961371414864,0.001,5.2041716471600356e-18,3.6328134591056186e-06,0.02678185925634684,1.354299328000053,4.0304383123706735,0.02145789788493198,0.01057303242529801,,0,,,,,,
ExtraGrad,DOTmark,68,0.005323961371414864,0.001,5.062192313400978e-18,3.6166395928439483e-06,0.02650359687086892,1.3742361610000557,3.9781722709654983,0.021179635499454057,0.010389957725282959,,0,,,,,,
ExtraGrad,DOTmark,69,0.005323961371414864,0.001,4.920894126842303e-18,3.094506458343443e-06,0.02623252238536293,1.3942296190000576,3.9272563332651558,0.020908561013948068,0.010227837633764237,,0,,,,,,
ExtraGrad,DOTmark,70,0.005323961371414864,0.001,5.1496762489420105e-18,2.511665618063981e-06,0.02596816278968338,1.4221330780000585,3.877601653744201,0.020644201418268518,0.010077551513957932,,0,,,,,,
ExtraGrad,DOTmark,71,0.005323961371414864,0.001,5.27595678893122e-18,1.884160152390356e-06,0.02571017775636656,1.4461567440000636,3.829144308673671,0.020386216384951698,0.009934666360737405,,0,,,,,,
ExtraGrad,DOTmark,72,0.005323961371414864,0.001,4.90654044591439e-18,1.5656959090764204e-06,0.025459442013048804,1.4659922020000664,3.7820485982006398,0.02013548064163394,0.009752392445270718,,0,,,,,,
ExtraGrad,DOTmark,73,0.005323961371414864,0.001,5.22221065215884e-18,1.3624297614985436e-06,0.02521615204580356,1.4859245350000663,3.736351428316669,0.019892190674388698,0.009555981907244817,,0,,,,,,
ExtraGrad,DOTmark,74,0.005323961371414864,0.001,5.0714720562279786e-18,1.4218042735772091e-06,0.02497922591946491,1.5057538680000704,3.691849579071342,0.01965526454805005,0.00939580812759569,,0,,,,,,
ExtraGrad,DOTmark,75,0.005323961371414864,0.001,5.21770687982707e-18,1.7817017952742657e-06,0.024749228722580018,1.525471368000069,3.6486491910820935,0.019425267351165156,0.009207539001665741,,0,,,,,,
ExtraGrad,DOTmark,76,0.005323961371414864,0.001,5.333570773016903e-18,2.090982113729481e-06,0.024524888357872084,1.5458878680000794,3.606511326237234,0.01920092698645722,0.009064539635663735,,0,,,,,,
ExtraGrad,DOTmark,77,0.005323961371414864,0.001,5.244671680620154e-18,2.2383713075122904e-06,0.02430587567891825,1.5658299930000794,3.565374160943408,0.018981914307503386,0.00893022124129408,,0,,,,,,
