algo,data_name,iter,opt,eta,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,cg_time,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
BISN,FashionMNIST,0,0.03089022733273732,0.001,5.959414658690765e-18,2.998397881586093e-16,0.12305736443873913,0.0,2.983698893284722,0.09216713710600181,1.0,,[],[],0.0006689822419094145,2.8620274779980574e-16,0.0,0.0006689822419094145,0
BISN,FashionMNIST,1,0.03089022733273732,0.001,8.937656784708988e-18,9.782611044615254e-05,0.0316084708933924,1.382282542,0.023251481865719084,0.0007182435606550817,0.74314035541426,,"[76, 39, 51, 62, 46, 48, 53, 49, 43, 59, 46, 51, 54, 59, 49, 55, 59, 55, 60, 47, 58, 61, 69, 67, 60, 67, 66, 61, 69, 67, 71, 55, 53, 42, 38, 64, 41, 37, 45, 64, 71, 57, 107, 113, 102, 173, 224, 258]","[0.007266707999999955, 0.0023252499999997234, 0.003113416999999785, 0.0036924169999998924, 0.0026362499999996736, 0.0027739590000002146, 0.0029456660000000134, 0.0026117499999998017, 0.0024661249999997636, 0.003392208000000174, 0.0026407499999998585, 0.0030593750000003084, 0.0034671670000001598, 0.003722499999999851, 0.0030297500000000532, 0.0035036669999999326, 0.0037573749999997297, 0.003435082999999839, 0.0038270420000001693, 0.003076792000000328, 0.00400758300000037, 0.004305165999999971, 0.004875209000000158, 0.004877250000000277, 0.004441250000000174, 0.005056790999999894, 0.004910790999999914, 0.004590333999999974, 0.005435875000000312, 0.00515416699999971, 0.005620332999999977, 0.004256541999999808, 0.004163457999999842, 0.0032112499999996658, 0.002997208000000029, 0.004934833000000083, 0.003138417000000171, 0.002848791999999989, 0.003488374999999877, 0.00510679199999986, 0.00573354100000012, 0.004548416999999638, 0.008827542000000133, 0.009384542000000273, 0.008576417000000003, 0.01500400000000024, 0.01975691700000004, 0.023036124999999963]",9.337687232304772e-05,9.337687232304772e-05,2.317294664356794e-19,4.772622515009008e-06,48
BISN,FashionMNIST,2,0.03089022733273732,0.001,8.858679986603992e-18,1.8440474439975943e-05,0.031105918757534105,2.5233369170000004,0.006982513351988066,0.00021569142479678505,0.01589928654104406,,"[132, 353, 316, 321, 524, 350, 443, 236, 297, 326, 390, 568, 437, 545, 334, 521, 458, 322, 501, 426, 277, 355, 322, 311, 571, 423]","[0.007299208000000057, 0.020792208000000034, 0.018779750000000206, 0.019279292000000225, 0.032484291999999915, 0.02104858399999987, 0.02727187500000028, 0.013951500000000117, 0.017938125000000582, 0.019723292000000114, 0.02383391700000015, 0.03550645799999952, 0.02670450000000013, 0.03421424999999978, 0.02040833400000075, 0.03220624999999977, 0.028334458999999868, 0.01964499999999969, 0.0313573749999998, 0.026713499999999613, 0.016970999999999847, 0.02248087500000029, 0.020394916999999957, 0.01987387500000004, 0.03667183399999985, 0.027763332999999335]",0.00032526948583984594,1.7601781564297906e-05,5.130776436472213e-19,0.00032526948583984594,26
BISN,FashionMNIST,3,0.03089022733273732,0.001,8.507073344876972e-18,7.111093688379405e-06,0.030974207537169538,4.2307475,0.002718665794447447,8.398020443221854e-05,0.004234281629526374,,"[47, 52, 46, 48, 45, 50, 47, 48, 57, 55, 58, 51, 56, 48, 61, 50, 53, 48, 50, 59, 57, 56, 52, 51, 52, 58, 55, 59, 57, 57, 53, 56, 58, 68, 62, 88, 76, 97, 110, 110, 204, 347, 629, 471, 515, 508]","[0.00205125000000006, 0.002190290999999789, 0.0019311249999995894, 0.0020286670000002616, 0.0020115419999999773, 0.0021713339999998027, 0.0021761250000000842, 0.0022024580000001848, 0.002583249999999815, 0.0024959999999998317, 0.0026708749999997394, 0.0023963339999992783, 0.002587915999999524, 0.00221729100000001, 0.0028776670000008053, 0.002313625000000208, 0.0025075420000000292, 0.0022495830000002215, 0.0023688330000002367, 0.00280158400000019, 0.002704458000000187, 0.0026774999999998883, 0.0024385420000001545, 0.002396708000000025, 0.0024418749999997047, 0.002737416999999631, 0.00266429099999943, 0.0028238750000006974, 0.0026797080000005025, 0.002691665999999593, 0.002522416999999777, 0.0026598340000001386, 0.0028119169999998306, 0.0033929999999999794, 0.0030105420000001715, 0.004318834000000216, 0.0037783749999995564, 0.00479729200000012, 0.005283624999999681, 0.005436875000000008, 0.01000574999999948, 0.017288290999999845, 0.032277917000000045, 0.024030416000000443, 0.026920542000000047, 0.032279292000000126]",6.787673397099163e-06,6.787673397099163e-06,2.4673413026150445e-19,8.848179107401703e-07,46
BISN,FashionMNIST,4,0.03089022733273732,0.001,8.712887551953498e-18,1.8988707820415438e-06,0.030924827211816993,4.406190457999999,0.001120091435617393,3.459987907967338e-05,0.0015942401526588853,,"[202, 577, 564, 478]","[0.009097166000000101, 0.028656416000000462, 0.026652540999999808, 0.0228487089999998]",1.8125080693079172e-06,1.8125080693079172e-06,1.973800880337129e-19,4.1626912402150924e-07,4
BISN,FashionMNIST,5,0.03089022733273732,0.001,8.225184942341293e-18,9.342544290132379e-07,0.030905297714090372,4.4835755409999996,0.0004878689039973738,1.5070381353052276e-05,0.0006315151768789348,,"[218, 527]","[0.009376459000000281, 0.0228689589999993]",8.917635193441547e-07,8.917635193441547e-07,2.1213671876402142e-19,2.3841339867663868e-07,2
BISN,FashionMNIST,6,0.03089022733273732,0.001,8.309250420233143e-18,3.260882346492765e-07,0.03089729915842081,4.567320456999999,0.00022893407702430523,7.071825683491184e-06,0.0002588085623234227,,"[296, 695]","[0.012076374999999473, 0.028792417000000015]",3.112573863360737e-07,3.112573863360737e-07,2.3683454053180704e-19,1.551411544781892e-07,2
BISN,FashionMNIST,7,0.03089022733273732,0.001,7.615134490370925e-18,1.866038767771672e-08,0.0308938684362656,4.659852665999999,0.00011787234483778036,3.6411035282818416e-06,0.00011103631219087726,,"[366, 900]","[0.014301750000000446, 0.035844250000000244]",1.1951723093375992e-07,1.7811692908304285e-08,2.268408492856052e-19,1.1951723093375992e-07,2
BISN,FashionMNIST,8,0.03089022733273732,0.001,7.472987849462384e-18,3.546185831627646e-09,0.030892288481641914,4.758952623999999,6.67249509818349e-05,2.061148904594634e-06,5.114136570325182e-05,,"[424, 1032]","[0.016209250000000175, 0.040087125000000334]",1.0273418657481875e-07,3.3849014350413516e-09,1.7427000932245029e-19,1.0273418657481875e-07,2
BISN,FashionMNIST,9,0.03089022733273732,0.001,8.354957906673282e-18,3.0007444241378047e-09,0.030891459914154956,4.861351873999999,3.9901985969856896e-05,1.2325814176365746e-06,2.6821175370366134e-05,,"[438, 1139]","[0.016390582999999737, 0.0433465420000001]",9.165137646102662e-08,2.8642672972370365e-09,2.216188179919007e-19,9.165137646102662e-08,2
