algo,data_name,iter,opt,eta,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,cg_time,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
BISN,MNIST,0,0.005893590178288052,0.001,4.802482900709422e-18,6.977165352580523e-16,0.07868468619328577,0.0,12.350892039144432,0.07279109601499771,1.0,,[],[],0.00042775707096939195,6.439650201482867e-16,0.0,0.00042775707096939195,0
BISN,MNIST,1,0.005893590178288052,0.001,6.926327944527523e-17,9.996010668171533e-05,0.006589249586663849,1.015718166,0.11803661050926172,0.0006956594083757971,0.9162575349099363,,"[84, 53, 60, 56, 58, 53, 53, 45, 49, 62, 51, 55, 54, 58, 48, 38, 45, 63, 43, 74, 62, 97, 148, 345, 651, 525]","[0.008970334000000246, 0.004308750000000305, 0.004894832999999821, 0.004645333999999668, 0.0046705409999998615, 0.004323499999999925, 0.004412791000000027, 0.0038037500000003277, 0.003943458000000177, 0.005022458000000007, 0.004259124999999919, 0.0044961659999995796, 0.004382791999999913, 0.004661332999999601, 0.0038548340000001957, 0.00303583300000021, 0.0036524159999999917, 0.0050935420000000065, 0.0034275409999997564, 0.006033458000000103, 0.0050957500000001765, 0.008143750000000338, 0.01301316599999991, 0.033236749999999926, 0.06663854200000019, 0.054961291000000134]",9.225926126218005e-05,9.225926126218005e-05,7.26876192228457e-20,7.574923406906697e-06,26
BISN,MNIST,2,0.005893590178288052,0.001,5.038120292500304e-17,2.491607660472859e-05,0.006140947695514665,1.330338041,0.04197060021884059,0.00024735751722661323,0.06803534837358621,,"[128, 247, 455, 604, 605, 576]","[0.007934917000000041, 0.01554166700000037, 0.029708959000000146, 0.04035041699999997, 0.041121082999999725, 0.039720666000000016]",2.299656230283547e-05,2.299656230283547e-05,8.861217381736915e-20,1.9272778402138413e-06,6
BISN,MNIST,3,0.005893590178288052,0.001,4.7816034906898364e-17,7.415495911321754e-06,0.006000840387894141,1.9801537069999995,0.018197771877861174,0.00010725020960608914,0.022815258257753632,,"[140, 577, 741, 670, 654, 627, 786, 771, 604, 672]","[0.007226833999999904, 0.031329624999999695, 0.040832499999999605, 0.03724866700000007, 0.036102999999999774, 0.034380125000000206, 0.043133250000000345, 0.04289633300000073, 0.03302695799999977, 0.037100499999999315]",6.844212130041731e-06,6.844212130041731e-06,5.825994786022979e-20,9.520878321470864e-07,10
BISN,MNIST,4,0.005893590178288052,0.001,4.793521678526749e-17,2.773039774374802e-06,0.005944124745469238,2.2619345409999996,0.008574496300634414,5.0534567181186214e-05,0.0094512832801417,,"[146, 565, 714, 679, 874]","[0.006711166000000546, 0.026714999999999378, 0.034199124999999775, 0.032608499999999374, 0.042976208999999876]",2.559407042742378e-06,2.559407042742378e-06,6.194521905933266e-20,4.992327236532369e-07,5
BISN,MNIST,5,0.005893590178288052,0.001,4.8394055983206064e-17,2.3337830337033453e-07,0.0059184475759108774,2.3440373329999993,0.004217700394981706,2.4857397622825815e-05,0.004319756172333393,,"[152, 528]","[0.006691791999999808, 0.023458250000000014]",2.9585422359971e-07,2.1539902845568398e-07,6.676314897954949e-20,2.9585422359971e-07,2
BISN,MNIST,6,0.005893590178288052,0.001,4.126243833522672e-17,1.7364589585855004e-07,0.005906112972969273,2.4330378749999992,0.002124815995410565,1.2522794681221056e-05,0.002084094314159132,,"[174, 662]","[0.007346375000000016, 0.028055375000000105]",1.9761906977420148e-07,1.6026835709699908e-07,5.948805205382104e-20,1.9761906977420148e-07,2
BISN,MNIST,7,0.005893590178288052,0.001,4.569512699594225e-17,8.312587229097858e-08,0.005900093710787123,2.5263169999999997,0.0011034924896933683,6.503532499071464e-06,0.001019157982534058,,"[185, 842]","[0.007471415999999564, 0.033981957999999146]",1.4067774116828975e-07,7.672192261418265e-08,6.909245442766764e-20,1.4067774116828975e-07,2
BISN,MNIST,8,0.005893590178288052,0.001,4.009795718905455e-17,4.9429401458851265e-08,0.005897119092795212,2.6245207089999996,0.0005987716146536011,3.5289145071601413e-06,0.0005041645332637409,,"[207, 1005]","[0.007829791999999891, 0.03893379100000072]",1.0920722940813689e-07,4.56214005227699e-08,6.733779719901354e-20,1.0920722940813689e-07,2
BISN,MNIST,9,0.005893590178288052,0.001,4.682962157053184e-17,2.7231467673377916e-08,0.0058956036800932215,2.729215416999999,0.0003416426565572128,2.0135018051698275e-06,0.00025697508870759704,,"[225, 1137]","[0.008529624999999541, 0.04253308400000044]",8.654243686612788e-08,2.513357752438596e-08,6.128331958187115e-20,8.654243686612788e-08,2
BISN,MNIST,10,0.005893590178288052,0.001,4.434590577704248e-17,6.252678729381385e-09,0.00589478661239639,2.851579499999999,0.00020300598992201003,1.1964341083380015e-06,0.00013858931861222167,,"[255, 1571]","[0.009660084000000069, 0.059284749999999775]",7.587504988992797e-08,5.770977439222697e-09,3.687951475970483e-20,7.587504988992797e-08,2
BISN,MNIST,11,0.005893590178288052,0.001,3.9487271314744286e-17,3.1374023967067544e-09,0.0058943347865365765,2.9923445419999988,0.0001263420472071565,7.446082485249028e-07,7.6648382634061e-05,,"[348, 2134]","[0.012383333999999913, 0.078647417]",6.55656160209852e-08,2.8956994646275746e-09,6.433684180753216e-20,6.55656160209852e-08,2
BISN,MNIST,12,0.005893590178288052,0.001,4.8837796599990656e-17,1.1983509523852723e-09,0.005894057120373248,3.1464603759999994,7.922880130293166e-05,4.6694208519649366e-07,4.7107294272228074e-05,,"[393, 2592]","[0.013829709000000356, 0.0913191659999999]",5.566855369613619e-08,1.1060309684535233e-09,6.719231371036172e-20,5.566855369613619e-08,2
BISN,MNIST,13,0.005893590178288052,0.001,4.2358219290619474e-17,6.182081421157104e-10,0.005893878853394872,3.307453001,4.8981197892576326e-05,2.8867510682047126e-07,3.0245207118850153e-05,,"[417, 2605]","[0.014494707999999967, 0.0937612080000001]",4.712517726722062e-08,5.705818890276671e-10,1.7987786329035086e-20,4.712517726722062e-08,2
BISN,MNIST,14,0.005893590178288052,0.001,4.364232963361279e-17,4.450870292066456e-07,0.005893836193722989,3.355267167,4.174288124819444e-05,2.4601543493780326e-07,7.23796212032693e-06,,[463],[0.015866833999999663],4.107978860280146e-07,4.107978860280146e-07,3.750048431523048e-20,4.003621190403406e-08,1
BISN,MNIST,15,0.005893590178288052,0.001,4.152556781410874e-17,1.1180252199183787e-09,0.005893682384193132,3.5539373329999995,1.56451165233962e-05,9.220590508045995e-08,2.609667537437712e-05,,"[604, 3638]","[0.020403250000000206, 0.12492087499999993]",3.175325995699981e-08,1.0318934651659774e-09,3.630226476352411e-20,3.175325995699981e-08,2
BISN,MNIST,16,0.005893590178288052,0.001,5.2416749195337776e-17,8.949014280810475e-10,0.00589363261404798,3.74340125,7.200324190324395e-06,4.2435759928585726e-08,8.444660215378733e-06,,"[635, 3429]","[0.02144049999999975, 0.1150004580000008]",2.2007832616960677e-08,8.259589490047011e-10,5.820718873801555e-20,2.2007832616960677e-08,2
BISN,MNIST,17,0.005893590178288052,0.001,4.4440408322767276e-17,5.254056810979768e-10,0.005893608028730552,3.958203791,3.028789237121143e-06,1.785044250000173e-08,4.1715049170154886e-06,,"[765, 4003]","[0.025902625000000512, 0.1341986249999998]",1.1703348347567775e-08,4.849288542217878e-10,6.734795344994313e-20,1.1703348347567775e-08,2
BISN,MNIST,18,0.005893590178288052,0.001,4.678646961332203e-17,2.3587826976420627e-07,0.005893627115897131,4.022993333,6.267420699717088e-06,3.693760907905186e-08,3.238621653493538e-06,,[985],[0.032203166000000394],2.177063994693353e-07,2.177063994693353e-07,1.6594656158484016e-20,4.801717637500141e-09,1
BISN,MNIST,19,0.005893590178288052,0.001,4.5666952186863523e-17,4.148988214261828e-08,0.005893606385019536,4.107739124999999,2.749891151970357e-06,1.6206731484613712e-08,3.5175075020474013e-06,,[1610],[0.05210391699999928],3.829353532525854e-08,3.829353532525854e-08,6.691491282817524e-20,1.5568773958266502e-09,1
BISN,MNIST,20,0.005893590178288052,0.001,4.520140358948072e-17,7.146700062253026e-09,0.005893596234024715,4.2405698329999995,1.027512344733717e-06,6.0557366629923615e-09,1.722374070895422e-06,,[3085],[0.10162908299999973],6.596124094838009e-09,6.596124094838009e-09,2.9495890611417596e-20,6.295857797536979e-10,1
BISN,MNIST,21,0.005893590178288052,0.001,4.725545771945825e-17,1.3928192481191014e-09,0.005893593117025237,4.421384291,4.986327681637228e-07,2.9387371850223e-09,5.288790331402588e-07,,[4541],[0.14664279199999974],1.2855175846537848e-09,1.2855175846537848e-09,6.153208473143013e-20,3.3183899163489416e-10,1
BISN,MNIST,22,0.005893590178288052,0.001,5.1210520457766144e-17,7.969444354142874e-08,0.005893602873569019,4.438124833,2.1540827548330643e-06,1.2695280967103817e-08,1.6554491612081437e-06,,[],[],7.355484834809263e-08,7.355484834809263e-08,5.795523627403208e-20,3.2999711034563597e-10,0
BISN,MNIST,23,0.005893590178288052,0.001,5.710917049248348e-17,1.8203334210043613e-07,0.005893620190934822,4.456092249,5.092421743400418e-06,3.001264677060522e-08,2.938332659155645e-06,,[],[],1.6800964129366958e-07,1.6800964129366958e-07,6.447556742168951e-20,3.2853558526251504e-10,0
BISN,MNIST,24,0.005893590178288052,0.001,4.416016710715177e-17,1.5583268625333157e-09,0.005893592635871763,4.641134249,4.1699263722842394e-07,2.4575837111878718e-09,4.675405297036401e-06,,[4812],[0.15053699999999992],1.5030154793457818e-09,1.4382746268980611e-09,3.5265361592624304e-20,1.5030154793457818e-09,1
BISN,MNIST,25,0.005893590178288052,0.001,4.057564875471116e-17,8.051101934335084e-10,0.005893591913939075,4.824700332,2.9449808530504207e-07,1.7356510230784328e-09,1.2249450084407688e-07,,[4786],[0.14882112499999955],7.430851581355248e-10,7.430851581355248e-10,6.489263903236872e-20,2.2334111085692115e-10,1
BISN,MNIST,26,0.005893590178288052,0.001,4.1335267839140164e-17,9.332950308432463e-09,0.005893596482718648,4.840039415,1.0697097025375273e-06,6.3044305964946035e-09,7.752113889342153e-07,,[],[],8.613947397978495e-09,8.613947397978495e-09,3.155151357586869e-20,2.224398391588735e-10,0
BISN,MNIST,27,0.005893590178288052,0.001,3.972424413689046e-17,2.584212911610355e-08,0.005893605057057498,4.8555135819999995,2.524568047053975e-06,1.4878769446537154e-08,1.4548567882420257e-06,,[],[],2.3851272480981654e-08,2.3851272480981654e-08,5.906856742636204e-20,2.2164862195897678e-10,0
BISN,MNIST,28,0.005893590178288052,0.001,5.1599260458979724e-17,4.896561471395298e-08,0.00589361697061198,4.8698440409999995,4.5460106857644784e-06,2.679232392801406e-08,2.0214375354538925e-06,,[],[],4.519334353195704e-08,4.519334353195704e-08,6.165203133146416e-20,2.209485257882124e-10,0
BISN,MNIST,29,0.005893590178288052,0.001,4.4559970284194163e-17,7.78359525888543e-08,0.005893631718099033,4.8830905829999995,7.048303279491813e-06,4.1539810981608416e-08,2.5022812183301777e-06,,[],[],7.183953402882202e-08,7.183953402882202e-08,1.3557072962442942e-20,2.2032435808495268e-10,0
BISN,MNIST,30,0.005893590178288052,0.001,4.622584341753228e-17,1.5391132717512507e-09,0.005893591802751232,5.1012112499999995,2.7563219211880823e-07,1.6244631802914133e-09,6.772623351869623e-06,,[6246],[0.18656837499999934],1.4205412355423335e-09,1.4205412355423335e-09,6.233288063541922e-20,9.53349838422918e-10,1
BISN,MNIST,31,0.005893590178288052,0.001,4.404561420210662e-17,7.184212969786018e-08,0.005893626630188604,5.11772625,6.185007686314917e-06,3.64519005527017e-08,5.9093738653824355e-06,,[],[],6.630747038447005e-08,6.630747038447005e-08,2.2127882973669797e-20,9.528164312839934e-10,0
BISN,MNIST,32,0.005893590178288052,0.001,4.627244888175281e-17,2.001424106629389e-09,0.0058935919292319085,5.314429207999999,2.9709291008534184e-07,1.7509438569179858e-09,5.887878359656664e-06,,[5569],[0.16282516700000116],1.847236019244087e-09,1.847236019244087e-09,2.1559073573809126e-20,2.9849374064985716e-10,1
BISN,MNIST,33,0.005893590178288052,0.001,4.4288917656369794e-17,7.73246629570592e-08,0.005893629675018109,5.330098291999998,6.7016417604085894e-06,3.949673005754911e-08,6.404546947577757e-06,,[],[],7.136763373493151e-08,7.136763373493151e-08,6.114011157630625e-20,2.980517078671726e-10,0
BISN,MNIST,34,0.005893590178288052,0.001,4.6846421608071363e-17,2.6162236659438193e-09,0.0058935918307785945,5.511923375999998,2.803877590484733e-07,1.6524905428402792e-09,6.421210968704536e-06,,[5051],[0.14922166699999906],2.414671919920637e-09,2.414671919920637e-09,1.8528451751255408e-20,1.1228418791167846e-09,1
BISN,MNIST,35,0.005893590178288052,0.001,4.430219939732402e-17,7.325441202779684e-08,0.005893625734633386,5.527963500999998,6.033053581697343e-06,3.555634533417701e-08,5.752664209672243e-06,,[],[],6.761095163092835e-08,6.761095163092835e-08,1.6271338476957678e-20,1.1224865422844125e-09,0
BISN,MNIST,36,0.005893590178288052,0.001,4.694517574109157e-17,1.889333585144228e-09,0.0058935915413348,5.704945375999999,2.3127613341840767e-07,1.3630467483871644e-09,5.8017424460558905e-06,,[4751],[0.14039958299999888],1.743780860481185e-09,1.743780860481185e-09,1.2577933555594493e-20,2.6822313722666406e-10,1
BISN,MNIST,37,0.005893590178288052,0.001,4.233950140952484e-17,5.993436682396736e-10,0.0058935908996366314,5.887158709999999,1.2239544284641768e-07,7.213485798268637e-10,1.088806653904907e-07,,[4960],[0.14832829100000033],5.531707188951204e-10,5.531707188951204e-10,3.522893977103604e-20,6.644370587177218e-11,1
BISN,MNIST,38,0.005893590178288052,0.001,4.3548176063182264e-17,2.2070130245957063e-09,0.005893591942445383,5.901562084999999,2.9933491778957713e-07,1.7641573315033132e-09,1.7693945328657673e-07,,[],[],2.0369865339735085e-09,2.0369865339735085e-09,3.077139557680699e-20,6.622760491384581e-11,0
BISN,MNIST,39,0.005893590178288052,0.001,5.0135640473147304e-17,6.166735066171713e-09,0.005893593962048578,5.917755334999998,6.420128328896524e-07,3.7837605262533436e-09,3.426778125246404e-07,,[],[],5.69165480601326e-09,5.69165480601326e-09,6.50991318585969e-20,6.603155563487931e-11,0
BISN,MNIST,40,0.005893590178288052,0.001,4.633347105148842e-17,1.18346476625634e-08,0.005893596636802684,5.933963542999998,1.0958540442375998e-06,6.458514631955958e-09,4.538409199762527e-07,,[],[],1.0922916020116724e-08,1.0922916020116724e-08,2.610231186038897e-20,6.585291112301652e-11,0
BISN,MNIST,41,0.005893590178288052,0.001,4.540557253660914e-17,1.9064531103683104e-08,0.005893599885661021,5.949131333999998,1.6471068866404019e-06,9.707372969694483e-09,5.512522383108072e-07,,[],[],1.7595815113884736e-08,1.7595815113884736e-08,5.848788930222375e-20,6.568942393123666e-11,0
BISN,MNIST,42,0.005893590178288052,0.001,4.1190858460813314e-17,2.7714462662065232e-08,0.005893603632186204,5.964365999999997,2.2828017805226724e-06,1.3453898152666899e-08,6.356938468265578e-07,,[],[],2.557936297148951e-08,2.557936297148951e-08,3.552914348906149e-20,6.55391782111439e-11,0
