algo,trial,m,n,iter,opt,eta,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
ExtraGrad,1,10000,10000,0,9.69519770231933e-06,0.0001,2.5753432231041624e-18,0.0057668756169466165,0.1677592325284989,0.0,17302.332812735396,0.16774953733079656,1.0,,0,,,,,
ExtraGrad,1,10000,10000,1,9.69519770231933e-06,0.0001,1.3927097184588644e-18,0.0014957706882036258,0.15476377501541225,6.747014541000226,15961.931315819267,0.15475407981770992,0.07746493183842493,,0,,,,,
ExtraGrad,1,10000,10000,2,9.69519770231933e-06,0.0001,1.3060076805057231e-18,0.002391740091268166,0.14301370085639353,12.914105958000164,14749.983450516034,0.1430040056586912,0.07592263860098124,,0,,,,,
ExtraGrad,1,10000,10000,3,9.69519770231933e-06,0.0001,1.3278110699075827e-18,0.0017619685215488124,0.12989904285807302,20.896663708000233,13397.287156846523,0.1298893476603707,0.09170210909715236,,0,,,,,
ExtraGrad,1,10000,10000,4,9.69519770231933e-06,0.0001,1.3087816517794494e-18,0.0016874429240136784,0.11872350389747309,28.15271754100013,12244.599062829993,0.11871380869977077,0.08603249658128939,,0,,,,,
ExtraGrad,1,10000,10000,5,9.69519770231933e-06,0.0001,1.3480592414171333e-18,0.0017513332351475847,0.1105390471236049,34.03806241600023,11400.422695811685,0.11052935192590259,0.06893712285425888,,0,,,,,
ExtraGrad,1,10000,10000,6,9.69519770231933e-06,0.0001,1.2968936442615933e-18,0.0013818622541226138,0.09969604610937417,39.65988208300041,10282.033845253556,0.09968635091167186,0.09809204345778443,,0,,,,,
ExtraGrad,1,10000,10000,7,9.69519770231933e-06,0.0001,1.3162869778161554e-18,0.001760851323984563,0.09247115369870211,45.32204604200024,9536.830639243255,0.0924614585009998,0.0724691970506614,,0,,,,,
ExtraGrad,1,10000,10000,8,9.69519770231933e-06,0.0001,1.3186085204520837e-18,0.0010661493073044336,0.08285379531591443,48.478397917000166,8544.8592862004,0.08284410011821211,0.10400387578296937,,0,,,,,
ExtraGrad,1,10000,10000,9,9.69519770231933e-06,0.0001,1.422849711467386e-18,0.0017279254406627482,0.08155898300823423,51.540251334000004,8411.307362099828,0.08154928781053192,0.015627676472069682,,0,,,,,
ExtraGrad,1,10000,10000,10,9.69519770231933e-06,0.0001,1.2990086106060717e-18,0.0009083271226911879,0.0725490943709924,56.41343325099979,7481.992776272821,0.07253939917329008,0.11047083110798712,,0,,,,,
ExtraGrad,1,10000,10000,11,9.69519770231933e-06,0.0001,1.3658268234246115e-18,0.0016631531221481478,0.07013777208647873,59.246536001000095,7233.27971661682,0.07012807688877641,0.03323711075127905,,0,,,,,
ExtraGrad,1,10000,10000,12,9.69519770231933e-06,0.0001,1.3485818270119266e-18,0.000821567607063273,0.06246483462584326,63.88102854300041,6441.8634199898925,0.062455139428140946,0.10939807798820382,,0,,,,,
ExtraGrad,1,10000,10000,13,9.69519770231933e-06,0.0001,1.3884720717843654e-18,0.001553434715508577,0.06338484011705503,69.58754146000047,6536.756326711297,0.06337514491935271,0.014728374720312442,,0,,,,,
ExtraGrad,1,10000,10000,14,9.69519770231933e-06,0.0001,1.3683701094074777e-18,0.0007759898793038346,0.05741357611010118,75.02546775200017,5920.857178463359,0.05740388091239886,0.09420650104861834,,0,,,,,
ExtraGrad,1,10000,10000,15,9.69519770231933e-06,0.0001,1.4200584261619305e-18,0.0014862251157972371,0.05645429083745499,79.91184887700001,5821.912803928664,0.056444595639752675,0.016708335164606018,,0,,,,,
ExtraGrad,1,10000,10000,16,9.69519770231933e-06,0.0001,1.370662940081256e-18,0.0007554644886454143,0.050540474618652166,84.16985387700015,5211.939041620744,0.05053077942094985,0.10475406087076844,,0,,,,,
ExtraGrad,1,10000,10000,17,9.69519770231933e-06,0.0001,1.3998744404364864e-18,0.0013598367120676565,0.05130040281266213,89.13712275200032,5290.320959900571,0.05129070761495981,0.015036032006899798,,0,,,,,
ExtraGrad,1,10000,10000,18,9.69519770231933e-06,0.0001,1.405739535258338e-18,0.0007692353859113731,0.04767711307992612,93.93596433600032,4916.600913751412,0.047667417882223805,0.07062887490313612,,0,,,,,
ExtraGrad,1,10000,10000,19,9.69519770231933e-06,0.0001,1.473076698455699e-18,0.0012990486915769016,0.047226756500558645,99.56830533600032,4870.149403096839,0.04721706130285633,0.009445969990097699,,0,,,,,
ExtraGrad,1,10000,10000,20,9.69519770231933e-06,0.0001,1.4373544800545861e-18,0.0007217489330625298,0.04276922102830491,102.85065392000024,4410.382041035993,0.04275952583060259,0.09438580589799782,,0,,,,,
ExtraGrad,1,10000,10000,21,9.69519770231933e-06,0.0001,1.4294091915186034e-18,0.0011901742428596146,0.04283709021275882,107.5545334200001,4417.382329894225,0.0428273950150565,0.001586869782103173,,0,,,,,
