algo,m,n,iter,opt,eta,cost,time,rel_err,abs_err,kkt_err
HOT,10000,10000,0,9.69519770231933e-06,,0.1677592325284954,0.0,17302.332812735036,0.16774953733079306,1.0
HOT,10000,10000,1,9.69519770231933e-06,,0.0019007734039051764,283.90845712500004,195.05308341989402,0.0018910782062028571,0.01125909946848617
HOT,10000,10000,2,9.69519770231933e-06,,-0.001947941340807496,382.3549720000001,201.91816594327938,0.0019576365385098153,0.00031600873240580343
HOT,10000,10000,3,9.69519770231933e-06,,-0.0006914296639554612,451.6728290420001,72.31671629450673,0.0007011248616577805,4.01282102453255e-05
HOT,10000,10000,4,9.69519770231933e-06,,-0.0007677068685396478,520.411054917,80.18424070465251,0.0007774020662419672,9.311912252774509e-06
HOT,10000,10000,5,9.69519770231933e-06,,-0.0004476929631198442,572.5035548330002,47.17677502468516,0.00045738816082216356,3.61457498634858e-06
HOT,10000,10000,6,9.69519770231933e-06,,-0.0002113306235362863,626.3142863749999,22.797453752359356,0.00022102582123860562,2.582778237151512e-06
HOT,10000,10000,7,9.69519770231933e-06,,-0.00017151256112631476,680.5657231670002,18.69046556784342,0.00018120775882863409,1.6218161243676277e-06
HOT,10000,10000,8,9.69519770231933e-06,,-0.00011880639426846564,749.8527080420004,13.254148694672232,0.00012850159197078497,1.365583036041041e-06
HOT,10000,10000,9,9.69519770231933e-06,,-8.861557549841156e-05,805.1303797080004,10.140151466659884,9.831077320073088e-05,1.2244429619634942e-06
HOT,10000,10000,10,9.69519770231933e-06,,-5.382302259300101e-05,856.1815893330004,6.551513671570124,6.351822029532034e-05,1.1311575949936075e-06
HOT,10000,10000,11,9.69519770231933e-06,,-4.583547532942763e-05,904.4225150830002,5.727647309189234,5.553067303174696e-05,1.0619595049740744e-06
HOT,10000,10000,12,9.69519770231933e-06,,-3.205780044111084e-05,954.9159813330002,4.306564902069179,4.1752998143430175e-05,1.0072957401807194e-06
HOT,10000,10000,13,9.69519770231933e-06,,-5.962934329010809e-05,1009.95807625,7.150399932106932,6.932454099242743e-05,9.163707131249523e-07
HOT,10000,10000,14,9.69519770231933e-06,,-3.2086435493020576e-05,1064.2014790829999,4.309518431516328,4.178163319533991e-05,8.786457833844435e-07
HOT,10000,10000,15,9.69519770231933e-06,,-7.104995986520661e-06,1121.3633045410002,1.732836627438858,1.6800193688839993e-05,8.47099201500305e-07
HOT,10000,10000,16,9.69519770231933e-06,,2.7914205471300972e-06,1181.7826690410002,0.712082142846626,6.903777155189233e-06,8.193154063389199e-07
HOT,10000,10000,17,9.69519770231933e-06,,4.323486807992598e-06,1235.737242666,0.5540589330160525,5.371710894326732e-06,7.939050962361546e-07
HOT,10000,10000,18,9.69519770231933e-06,,5.2793996571201285e-06,1296.8100569569997,0.45546240322080633,4.4157980451992015e-06,7.704383973420958e-07
HOT,10000,10000,19,9.69519770231933e-06,,8.42485905407769e-06,1354.2503683739997,0.13102761668673804,1.2703386482416407e-06,7.487184282849904e-07
HOT,10000,10000,20,9.69519770231933e-06,,1.1606689343404655e-05,1402.2351006649997,0.19715860364848972,1.911491641085325e-06,7.279335465763682e-07
HOT,10000,10000,21,9.69519770231933e-06,,1.3435958867290736e-05,1457.572879415,0.38583650172255113,3.740761164971406e-06,7.082083981050715e-07
HOT,10000,10000,22,9.69519770231933e-06,,1.3630548363837857e-05,1513.2408856230004,0.40590721121417606,3.935350661518527e-06,6.893579390644156e-07
HOT,10000,10000,23,9.69519770231933e-06,,1.5614005962118294e-05,1568.5893094980001,0.6104886606265945,5.918808259798964e-06,6.713372706335824e-07
HOT,10000,10000,24,9.69519770231933e-06,,1.7311277956965157e-05,1622.8354527480005,0.7855518256037083,7.6160802546458274e-06,6.539316691710705e-07
HOT,10000,10000,25,9.69519770231933e-06,,1.7160540711765633e-05,1698.9435088310001,0.7700042060679597,7.465343009446303e-06,6.308546070376588e-07
HOT,10000,10000,26,9.69519770231933e-06,,1.849384135178461e-05,1756.2057419559997,0.9075259648764488,8.798643649465279e-06,6.135685493367802e-07
HOT,10000,10000,27,9.69519770231933e-06,,2.0535149969042175e-05,1814.174542748,1.118074391008,1.0839952266722845e-05,5.968469836251938e-07
HOT,10000,10000,28,9.69519770231933e-06,,2.181071163004579e-05,1869.087741456,1.2496407293301643,1.2115513927726461e-05,5.807073415348001e-07
HOT,10000,10000,29,9.69519770231933e-06,,2.3182665244156825e-05,1917.4867878310006,1.391149304630576,1.3487467541837495e-05,5.649445431757506e-07
HOT,10000,10000,30,9.69519770231933e-06,,2.368563117015033e-05,1970.381355081,1.4430271457470272,1.3990433467830999e-05,5.496509765246157e-07
HOT,10000,10000,31,9.69519770231933e-06,,2.472633317157559e-05,2019.8731469559998,1.550369154995204,1.5031135469256261e-05,5.348174111570536e-07
HOT,10000,10000,32,9.69519770231933e-06,,2.4871137362891664e-05,2069.0679697899996,1.5653048165218824,1.5175939660572334e-05,5.204046475809074e-07
HOT,10000,10000,33,9.69519770231933e-06,,2.4755134614753714e-05,2117.9984561230003,1.5533398466780801,1.5059936912434384e-05,5.064120432522324e-07
HOT,10000,10000,34,9.69519770231933e-06,,2.477576958204616e-05,2175.4331787480005,1.5554682166119402,1.508057187972683e-05,4.927916168911763e-07
HOT,10000,10000,35,9.69519770231933e-06,,2.5329765634597955e-05,2226.318568623001,1.6126095013553412,1.5634567932278625e-05,4.79515864903572e-07
HOT,10000,10000,36,9.69519770231933e-06,,2.526356664287648e-05,2283.2642555400007,1.605781482602754,1.556836894055715e-05,4.665853673540821e-07
HOT,10000,10000,37,9.69519770231933e-06,,2.507651445710602e-05,2337.0662654980006,1.5864882003496537,1.538131675478669e-05,4.540307871476341e-07
HOT,10000,10000,38,9.69519770231933e-06,,2.5381846131456973e-05,2391.2451784570003,1.6179812842171346,1.5686648429137643e-05,4.418365881239571e-07
HOT,10000,10000,39,9.69519770231933e-06,,2.528794564893253e-05,2442.036737374,1.6082960271024727,1.55927479466132e-05,4.2997594791474275e-07
HOT,10000,10000,40,9.69519770231933e-06,,2.5321623408843245e-05,2498.3673949990007,1.611769680858152,1.5626425706523915e-05,4.1838753054514555e-07
HOT,10000,10000,41,9.69519770231933e-06,,2.4876050555985214e-05,2558.0945797080003,1.5658115821644616,1.5180852853665884e-05,4.071267485577723e-07
HOT,10000,10000,42,9.69519770231933e-06,,2.5487771075734162e-05,2619.500698875001,1.628906790589413,1.5792573373414832e-05,3.9615145011663075e-07
HOT,10000,10000,43,9.69519770231933e-06,,2.502803685018728e-05,2675.755395250001,1.581488033420913,1.533283914786795e-05,3.854552705604537e-07
HOT,10000,10000,44,9.69519770231933e-06,,2.53541849494131e-05,2726.4653732920005,1.6151282034555885,1.565898724709377e-05,3.750491086196408e-07
HOT,10000,10000,45,9.69519770231933e-06,,2.488255313811369e-05,2778.094059708,1.5664822835083774,1.5187355435794358e-05,3.6484980012513483e-07
HOT,10000,10000,46,9.69519770231933e-06,,2.524800128549984e-05,2831.9923672919995,1.604176011744443,1.555280358318051e-05,3.5495132534466287e-07
HOT,10000,10000,47,9.69519770231933e-06,,2.4986290729936078e-05,2889.5166772089997,1.5771821779311155,1.5291093027616748e-05,3.4529955883994777e-07
HOT,10000,10000,48,9.69519770231933e-06,,2.4909167919507192e-05,2941.070412792,1.5692274344800938,1.5213970217187862e-05,3.359313175868398e-07
HOT,10000,10000,49,9.69519770231933e-06,,1.908517254835504e-05,2991.0301461260005,0.9685181400467364,9.38997484603571e-06,3.228940850903514e-07
HOT,10000,10000,50,9.69519770231933e-06,,2.3735801000811695e-05,3041.433357334001,1.4482018551445843,1.4040603298492365e-05,3.107074348089326e-07
HOT,10000,10000,51,9.69519770231933e-06,,2.4683463353755908e-05,3090.975844501001,1.5459473970139892,1.4988265651436578e-05,2.9885677914031554e-07
HOT,10000,10000,52,9.69519770231933e-06,,2.4569278793916994e-05,3139.0824038340015,1.5341699621080875,1.4874081091597664e-05,2.873712626188209e-07
HOT,10000,10000,53,9.69519770231933e-06,,2.5028811448180033e-05,3190.239776501002,1.5815679284386872,1.5333613745860703e-05,2.7622595723226864e-07
HOT,10000,10000,54,9.69519770231933e-06,,2.490071563131293e-05,3246.7437568760015,1.5683556329497093,1.5205517928993599e-05,2.6537612307415877e-07
HOT,10000,10000,55,9.69519770231933e-06,,2.5088407008931455e-05,3299.2357807920016,1.5877148439097524,1.5393209306612125e-05,2.54848178688889e-07
HOT,10000,10000,56,9.69519770231933e-06,,2.503382621766823e-05,3353.3798294590015,1.582085171061496,1.53386285153489e-05,2.4464280526024834e-07
HOT,10000,10000,57,9.69519770231933e-06,,2.5058631761434846e-05,3406.164295251002,1.5846437103020812,1.5363434059115516e-05,2.3469892996179965e-07
HOT,10000,10000,58,9.69519770231933e-06,,2.504190034568219e-05,3458.8990709590016,1.582917967695651,1.534670264336286e-05,2.2506146146727677e-07
HOT,10000,10000,59,9.69519770231933e-06,,2.508359730322717e-05,3508.452852501002,1.5872187523547412,1.538839960090784e-05,2.157148179130093e-07
HOT,10000,10000,60,9.69519770231933e-06,,2.5247822604869757e-05,3559.5897908760016,1.604157581936659,1.5552624902550427e-05,2.066247708001054e-07
HOT,10000,10000,61,9.69519770231933e-06,,2.4978773603234698e-05,3613.8309516670015,1.5764068325557878,1.5283575900915368e-05,1.9778403072960075e-07
HOT,10000,10000,62,9.69519770231933e-06,,2.5136747451311316e-05,3665.600150125001,1.5927008631601176,1.5441549748991986e-05,1.8924163644960112e-07
HOT,10000,10000,63,9.69519770231933e-06,,2.5099230981700737e-05,3716.488281750001,1.5888312701139022,1.5404033279381407e-05,1.8096792640718976e-07
HOT,10000,10000,64,9.69519770231933e-06,,2.4790091650139177e-05,3770.464377792001,1.5569454498291229,1.5094893947819847e-05,1.7298034298182093e-07
HOT,10000,10000,65,9.69519770231933e-06,,2.5119350355119243e-05,3822.410807376001,1.5909064597115,1.5424152652799913e-05,1.6522844192062948e-07
HOT,10000,10000,66,9.69519770231933e-06,,2.5002975809969587e-05,3875.8277939590007,1.578903141293164,1.5307778107650257e-05,1.5774638774759974e-07
HOT,10000,10000,67,9.69519770231933e-06,,2.49935584063263e-05,3928.3737602090014,1.5779317940414177,1.529836070400697e-05,1.504776416919121e-07
HOT,10000,10000,68,9.69519770231933e-06,,2.505275372848024e-05,3979.1673653750013,1.5840374273633435,1.535755602616091e-05,1.4350852584731643e-07
HOT,10000,10000,69,9.69519770231933e-06,,2.512503199217746e-05,4027.2251210000013,1.591492485621715,1.542983428985813e-05,1.3677115147275976e-07
HOT,10000,10000,70,9.69519770231933e-06,,2.4711956364325567e-05,4081.434904875001,1.548886275770721,1.5016758662006237e-05,1.301024951260225e-07
HOT,10000,10000,71,9.69519770231933e-06,,2.4519588617838783e-05,4133.2861612920005,1.52904472613004,1.4824390915519453e-05,1.2385001855304795e-07
HOT,10000,10000,72,9.69519770231933e-06,,2.4679741321030273e-05,4185.047539084,1.5455634922355705,1.4984543618710943e-05,1.178761324904541e-07
HOT,10000,10000,73,9.69519770231933e-06,,2.449620736662926e-05,4233.999625834001,1.5266330939047446,1.480100966430993e-05,1.1211134320955637e-07
