algo,m,n,iter,opt,eta,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,cg_time,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
PINS,10000,10000,0,9.69519770231933e-06,0.0001,1.2157664054560777e-18,3.20408431532783e-17,0.16775923252849886,0.0,17302.332812735393,0.16774953733079653,1.0,,0,,6.493473417777459e-05,3.1675194424479156e-17,0.0,6.493473417777459e-05,0
PINS,10000,10000,1,9.69519770231933e-06,0.0001,7.136433435190541e-06,5.51469519888607e-06,0.0001343505764754172,63.98061791600048,12.857435464495708,0.00012465537877309787,0.9991991464526245,,1799,,0.00030066228379847863,7.054973504308329e-06,0.00030066228379847863,1.7592240665416103e-07,4
PINS,10000,10000,2,9.69519770231933e-06,0.0001,5.439828187399287e-06,5.7774062152811905e-06,7.385138340704348e-05,84.07320145799895,6.617315878909454,6.415618570472415e-05,0.45030839952847956,,493,,6.334935825273487e-05,5.7114747031712265e-06,6.334935825273487e-05,4.2411178599993934e-08,1
PINS,10000,10000,3,9.69519770231933e-06,0.0001,4.9583216520268245e-06,5.30694129147897e-06,4.274449061337417e-05,103.51981345799868,3.40883125087265,3.304929291105484e-05,0.4212093444779334,,471,,5.021361707464658e-05,5.246378704915376e-06,5.021361707464658e-05,4.009509223342397e-08,1
PINS,10000,10000,4,9.69519770231933e-06,0.0001,1.4122760057866902e-06,1.4717278584966365e-06,2.631001702818111e-05,122.83277670799907,1.7137164022851339,1.661481932586178e-05,0.3844816805478771,,496,,4.7164306458661505e-05,1.4549325632535236e-06,4.7164306458661505e-05,3.943191333311427e-08,1
PINS,10000,10000,5,9.69519770231933e-06,0.0001,1.6075536810506762e-06,1.6484793147641746e-06,2.467843090125471e-05,141.71335287499824,1.545428330497172,1.498323319893538e-05,0.062013875748494506,,509,,4.551291633034753e-05,1.6296669394776794e-06,4.551291633034753e-05,3.9155669176640655e-08,1
PINS,10000,10000,6,9.69519770231933e-06,0.0001,8.727381641226797e-08,8.239569002373067e-08,1.825360366855452e-05,178.8273277499975,0.882746925747353,8.558405966235189e-06,0.260341804485371,,1415,,4.4467019514384615e-05,8.627761584270708e-08,4.4467019514384615e-05,3.900497153071318e-08,2
PINS,10000,10000,7,9.69519770231933e-06,0.0001,1.3461218963972909e-08,1.1414025193491392e-08,1.689465151192714e-05,214.18801849999727,0.7425793708039107,7.199453809607809e-06,0.0744484311866838,,1290,,4.3755409708658754e-05,1.3307563783643146e-08,4.3755409708658754e-05,3.8924051136070177e-08,2
PINS,10000,10000,8,9.69519770231933e-06,0.0001,1.2852028814046289e-08,1.1900521414657645e-08,1.593522622704963e-05,251.13815187499858,0.6436205548688843,6.240028524730298e-06,0.05678869932298892,,1466,,4.323352838306866e-05,1.2705327329558828e-08,4.323352838306866e-05,3.8871167920130105e-08,2
PINS,10000,10000,9,9.69519770231933e-06,0.0001,1.34529118049508e-08,1.2461338223383312e-08,1.5247869906000568e-05,288.4464897909984,0.5727239788367494,5.5526722036812375e-06,0.043134393654373826,,1431,,4.283525053236602e-05,1.3299351447981462e-08,4.283525053236602e-05,3.883543584026652e-08,2
