algo,m,n,iter,opt,eta,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,cg_time,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
BISN,1000,1000,0,0.002144739808710604,0.001,2.480917714426016e-18,3.0028103405359835e-17,0.5001658420169115,0.0,232.2058368971135,0.4980211022082009,1.0,,[],[],0.0008632518642845419,2.897230190177476e-17,0.0,0.0008632518642845419,0
BISN,1000,1000,1,0.002144739808710604,0.001,2.478871833501016e-17,2.506979277018081e-06,0.002456664127352764,0.592366417,0.14543690445587712,0.0003119243186421603,0.9950883008774725,,"[52, 39, 44, 37, 66, 40, 54, 50, 65, 76]","[0.0033153749999998983, 0.002259250000000046, 0.0025534160000000306, 0.0021815830000000425, 0.0038535830000001603, 0.0023792920000000883, 0.003352041999999944, 0.0029501250000001367, 0.00390574999999993, 0.004732458000000106]",2.4188327679162156e-06,2.4188327679162156e-06,3.9683147650086054e-21,9.634545662679725e-07,10
BISN,1000,1000,2,0.002144739808710604,0.001,1.658646821603241e-17,4.522385429546471e-06,0.0022275585268710677,0.8421217920000001,0.038614809043085625,8.281871816046395e-05,0.09325882115133681,,"[55, 68, 87, 67, 75]","[0.0025893329999999715, 0.00318358299999999, 0.004176624999999934, 0.0032915840000000696, 0.003668208999999978]",4.363376341564773e-06,4.363376341564773e-06,4.3640388790449915e-21,2.807492901739032e-07,5
BISN,1000,1000,3,0.002144739808710604,0.001,1.6033974246761786e-17,2.517654938030877e-07,0.002180148412642327,0.9913742510000001,0.016509510285543823,3.5408603931723e-05,0.02128344268257472,,"[90, 94, 95]","[0.003895333000000001, 0.0040341249999999995, 0.004255833000000209]",2.429133067928121e-07,2.429133067928121e-07,4.354377633991618e-21,1.4401216220382753e-07,3
BISN,1000,1000,4,0.002144739808710604,0.001,1.5768286129974387e-17,6.879848692781354e-07,0.0021650253906099885,1.100379209,0.00945829504212922,2.0285581899384675e-05,0.006936693825357198,,"[92, 106]","[0.003730500000000081, 0.00448449999999978]",6.63795014540324e-07,6.63795014540324e-07,4.4585958343679064e-21,8.852054803889892e-08,2
BISN,1000,1000,5,0.002144739808710604,0.001,1.6587820415028942e-17,5.507907889465562e-08,0.002156927299142337,1.2043847500000002,0.005682503016093263,1.2187490431733294e-05,0.003740414086030544,,"[124, 132]","[0.00494733299999961, 0.005115541000000334]",6.131645155306707e-08,5.314247392403738e-08,4.7788657980421496e-21,6.131645155306707e-08,2
BISN,1000,1000,6,0.002144739808710604,0.001,1.6021512124693895e-17,2.5388667416871483e-08,0.002153041193355117,1.3088840420000005,0.0038705788976351654,8.301384644513344e-06,0.0018016860321463728,,"[148, 150]","[0.005293167000000043, 0.00556549999999989]",4.588846237858313e-08,2.4495990551106807e-08,4.560784837088537e-21,4.588846237858313e-08,2
BISN,1000,1000,7,0.002144739808710604,0.001,1.6391698826471667e-17,1.559532999211603e-06,0.0021579837214483594,1.3749816260000005,0.006175067336358032,1.3243912737755624e-05,0.0022956031257071598,,[155],[0.005439291999999707],1.5046991236507427e-06,1.5046991236507427e-06,4.3077904926754826e-21,3.6964053155769246e-08,1
BISN,1000,1000,8,0.002144739808710604,0.001,1.634094763230322e-17,8.223030799586778e-07,0.0021529664358368866,1.4401372920000004,0.0038357226796795433,8.226627126282828e-06,0.002324987701068189,,[160],[0.0055652919999999995],7.933905370483573e-07,7.933905370483573e-07,4.8253999317818175e-21,2.997176037897367e-08,1
BISN,1000,1000,9,0.002144739808710604,0.001,1.5682902838434232e-17,5.247881895162527e-07,0.002150545702690464,1.504383167,0.0027070388474538815,5.805893979860411e-06,0.0011243710566632434,,[177],[0.005854124999999932],5.063364027991452e-07,5.063364027991452e-07,4.3723483743706206e-21,2.5218091403002272e-08,1
BISN,1000,1000,10,0.002144739808710604,0.001,1.5596453655045676e-17,3.710843964521001e-07,0.0021490544482042346,1.5674957500000002,0.0020117309690002748,4.314639493630847e-06,0.0006934307345172502,,[178],[0.005788416999999768],3.5803690362705694e-07,3.5803690362705694e-07,4.7063653603460166e-21,2.207765610078404e-08,1
BISN,1000,1000,11,0.002144739808710604,0.001,1.6516989597784403e-17,2.490455626051317e-07,0.0021479792557576815,1.6303110420000004,0.0015104149388755915,3.2394470470776746e-06,0.000500309541925106,,[196],[0.006230959000000258],2.402890095884415e-07,2.402890095884415e-07,4.602030119146535e-21,1.940716555573825e-08,1
BISN,1000,1000,12,0.002144739808710604,0.001,1.6057365775772417e-17,1.4932777948527366e-07,0.0021472527310339197,1.6910008750000005,0.001171667683469093,2.512922323315899e-06,0.00033823637812810257,,[209],[0.006613499999999828],1.4407734818166257e-07,1.4407734818166257e-07,4.535016850640698e-21,1.7028052340824878e-08,1
BISN,1000,1000,13,0.002144739808710604,0.001,1.5630933864684588e-17,9.80667533851052e-08,0.0021467810818740457,1.7522575420000004,0.0009517579499161165,2.041273163441888e-06,0.0002196523739648048,,[205],[0.006474459000000099],9.461868261360188e-08,9.461868261360188e-08,4.887377251756255e-21,1.4975813276740607e-08,1
BISN,1000,1000,14,0.002144739808710604,0.001,1.595383273253161e-17,7.07074275092728e-08,0.0021464522478625283,1.8120282500000002,0.000798436782387151,1.7124391519245281e-06,0.0001531753816417566,,[221],[0.0069673329999999645],6.822132283355766e-08,6.822132283355766e-08,4.786592726214826e-21,1.3249322428023207e-08,1
BISN,1000,1000,15,0.002144739808710604,0.001,1.599025192708191e-17,5.1882911744168224e-08,0.0021461963527883827,1.8721165830000006,0.0006791239067150637,1.4565440777788638e-06,0.00011921768788496868,,[213],[0.006725750000000197],5.005868543555338e-08,5.005868543555338e-08,4.427942902917132e-21,1.1859830260742786e-08,1
BISN,1000,1000,16,0.002144739808710604,0.001,1.6528482847424613e-17,3.607553338417392e-08,0.0021459934081253787,1.9357882080000006,0.000584499532150017,1.2535994147748648e-06,9.456015650214345e-05,,[207],[0.0065073330000000595],3.4807101546322795e-08,3.4807101546322795e-08,4.433500981035609e-21,1.0716968995707018e-08,1
BISN,1000,1000,17,0.002144739808710604,0.001,1.549731350687804e-17,2.538115137965052e-08,0.002145832077966176,1.995878708000001,0.000509278212273578,1.092269255572112e-06,7.517737873374084e-05,,[210],[0.006534959000000118],2.4488738781105512e-08,2.4488738781105512e-08,5.045572596163211e-21,9.754621900877954e-09,1
BISN,1000,1000,18,0.002144739808710604,0.001,1.5663207140773778e-17,2.0471187742794236e-08,0.002145702797053305,2.0566305830000005,0.0004490000786063682,9.62988342701268e-07,6.024745095309442e-05,,[215],[0.006755124999999751],1.9751411654799394e-08,1.9751411654799394e-08,4.704126766414446e-21,8.953545649517804e-09,1
