algo,m,n,iter,opt,eta,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,cg_time,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
BISN,5000,5000,0,5.813596238851425e-05,0.0001,1.8820401196685e-18,3.2524927812438965e-17,0.16585476616235323,0.0,2851.877278507402,0.1657966301999647,1.0,,[],[],0.00012831981643427468,3.2001338145247454e-17,0.0,0.00012831981643427468,0
BISN,5000,5000,1,5.813596238851425e-05,0.0001,3.586664936425713e-17,8.582756398966564e-05,0.0005312591973591974,6.197778167000001,8.138219710011315,0.00047312323497068315,0.9967968409370934,,"[274, 514]","[1.0931278339999997, 2.1590321670000003]",8.444590294726909e-05,8.444590294726909e-05,1.0812928247370878e-21,5.791880979011386e-08,2
BISN,5000,5000,2,5.813596238851425e-05,0.0001,4.228112507389736e-17,2.0510021747232275e-05,8.490846818271705e-05,22.701766167000002,0.46051539691191495,2.67725057942028e-05,0.8401750621828606,,"[287, 326, 316, 230, 364, 348, 286]","[0.8151888330000006, 0.9864156669999993, 0.9984980830000012, 0.6657709589999996, 1.0632732089999983, 1.0031848329999988, 0.8604332919999997]",2.017984928620019e-05,2.017984928620019e-05,4.746722287861042e-21,3.1435205333565834e-07,7
BISN,5000,5000,3,5.813596238851425e-05,0.0001,4.1869274807066086e-17,0.00870196329951044,0.00046398775922044006,73.787621376,6.981079871348422,0.0004058517968319258,4.464564008173731,,"[53, 188, 194, 183, 182, 162, 184, 189, 198, 172, 172, 166, 165, 155, 145, 166, 90, 149, 148, 104]","[0.10492012499999959, 0.382015041999999, 0.40237662500000226, 0.37359933299999426, 0.3810611250000022, 0.32998845799999543, 0.3811631250000005, 0.38826466599999776, 0.40922808300000213, 0.3498919170000008, 0.353426958, 0.3532933329999963, 0.34462658300000015, 0.3232544170000011, 0.3022908330000007, 0.35056616600000723, 0.19327512499999955, 0.31158441700000594, 0.3107297920000036, 0.2186148750000001]",0.008561878190200501,0.008561878190200501,2.6462776033683975e-21,1.0265198142186163e-07,20
BISN,5000,5000,4,5.813596238851425e-05,0.0001,3.336370741145625e-17,1.832845306937318e-06,7.270673273085466e-05,103.509265126,0.2506326504920664,1.4570770342340411e-05,0.843300321428713,,"[107, 110, 109, 174, 149, 133, 136, 134, 127, 194, 129, 200, 220, 342, 410]","[0.19089816700000029, 0.19263070799999582, 0.1907449170000035, 0.31260479099999827, 0.2629505000000023, 0.24047170800000117, 0.23982779099999618, 0.24060362499999144, 0.22845329199999753, 0.3543960830000117, 0.23328529199999082, 0.3732771250000013, 0.42368025000000387, 0.675945083000002, 0.8425741249999987]",1.803339972757735e-06,1.803339972757735e-06,1.2146047161014324e-21,3.5293145282711666e-08,15
BISN,5000,5000,5,5.813596238851425e-05,0.0001,3.665542026293079e-17,1.5277162325841878e-06,7.275710350314214e-05,127.900530334,0.251499081014896,1.4621141114627891e-05,0.0006927937812023886,,"[231, 196, 159, 143, 190, 183, 116, 119, 146, 116, 179, 325, 419]","[0.3758267909999944, 0.3273370830000033, 0.2574617079999939, 0.23100825000000214, 0.3091801250000117, 0.3080212500000101, 0.18821420899999453, 0.19418374999999344, 0.23648004199999662, 0.19057237500000213, 0.29652274999999406, 0.568635874999984, 0.7670742919999896]",1.503122897945766e-06,1.503122897945766e-06,6.594000998759159e-22,9.541006324270006e-09,13
BISN,5000,5000,6,5.813596238851425e-05,0.0001,3.766363146201277e-17,1.0740106397894262e-06,6.63795699107708e-05,134.048746959,0.14179876247968,8.243607522256544e-06,0.08765513311144833,,"[533, 455, 492]","[0.8902402909999978, 0.7508251250000058, 0.8382744159999902]",1.0567211049228054e-06,1.0567211049228054e-06,6.353782394649476e-21,6.501899322337424e-07,3
BISN,5000,5000,7,5.813596238851425e-05,0.0001,3.777884577292817e-17,4.062404297711529e-08,6.518076316875297e-05,172.644676417,0.1211780194358758,7.044800780238725e-06,0.01805987510357911,,"[55, 197, 172, 164, 144, 163, 165, 106, 125, 164, 111, 104, 113, 106, 198, 273, 314, 328, 360]","[0.07221154199999091, 0.25412799999998015, 0.22233074999999758, 0.21570833300000913, 0.19348037500000714, 0.21434716699999967, 0.2141306250000241, 0.13724683300000606, 0.16294766600000798, 0.22343833300001847, 0.1489513329999852, 0.1347711249999861, 0.14653741699999046, 0.14296200000001136, 0.2692465000000084, 0.3882269160000078, 0.4637645839999891, 0.48835683400000107, 0.5553382090000127]",2.311230148040715e-07,3.997007291252297e-08,4.644648137804965e-21,2.311230148040715e-07,19
BISN,5000,5000,8,5.813596238851425e-05,0.0001,3.7608600904202115e-17,0.006681153219122603,7.106756476765738e-05,217.785017251,0.22243722900333354,1.293160237914313e-05,0.09031501493260331,,"[58, 183, 183, 114, 137, 152, 140, 127, 150, 164, 162, 104, 131, 100, 148, 109, 117, 75, 104, 115]","[0.0669709590000025, 0.24913079199998833, 0.21900287500000104, 0.14030041600000231, 0.16320466700000225, 0.18271174999998152, 0.16686204100000168, 0.15227320799999688, 0.1862486249999904, 0.21813345799998274, 0.19257175000001325, 0.1257647080000197, 0.15939891599998646, 0.12391337500000077, 0.18616545899999437, 0.13179625000000783, 0.14587062499998638, 0.09056308300000637, 0.13002433299999439, 0.14564808299999754]",0.006573599320444371,0.006573599320444371,7.413020763177378e-22,2.702794911902783e-08,20
BISN,5000,5000,9,5.813596238851425e-05,0.0001,3.766322839988114e-17,5.540843243038439e-08,6.361158725531703e-05,241.065226167,0.09418653518126992,5.475624866802782e-06,0.10491392995829146,,"[114, 115, 150, 129, 89, 147, 98, 139, 153, 148, 202, 297, 339, 348]","[0.13010933399999658, 0.1345708340000158, 0.1771760000000029, 0.1514906250000081, 0.10286508400000116, 0.1677053330000149, 0.11162029199999779, 0.15901287500000194, 0.18052624999998557, 0.18721820900000807, 0.23633154200001627, 0.3608795830000133, 0.4244672499999922, 0.4634357920000127]",5.451646172830852e-08,5.451646172830852e-08,6.371635243175258e-22,1.3266671653326505e-08,14
BISN,5000,5000,10,5.813596238851425e-05,0.0001,3.685070239437314e-17,2.2811991105989418e-08,6.305601367273783e-05,257.093821501,0.08463008234633816,4.920051284223579e-06,0.008733842473530875,,"[243, 140, 167, 134, 98, 174, 257, 447, 486, 437]","[0.2792972080000027, 0.16433879199999524, 0.18096470799997633, 0.15073812500000372, 0.11343766699999946, 0.19244520899999884, 0.29616745900000296, 0.5401747500000056, 0.5959676249999575, 0.5667390410000053]",2.2444761303050617e-08,2.2444761303050617e-08,8.152972117440671e-22,3.8543730950023004e-09,10
BISN,5000,5000,11,5.813596238851425e-05,0.0001,3.801069582523328e-17,6.0885442622648355e-09,6.261441586982791e-05,259.191809876,0.07703413338863815,4.478453481313658e-06,0.007003262293138671,,[440],[0.5299157080000327],5.990530244144838e-09,5.990530244144838e-09,7.846672485685077e-22,3.4921254221548356e-09,1
BISN,5000,5000,12,5.813596238851425e-05,0.0001,3.754265299699642e-17,1.9701979396910596e-09,6.223749181770982e-05,261.31118096,0.07055064130160324,4.101529429195566e-06,0.006019764728009237,,[489],[0.5452123750000055],3.2006187550743577e-09,1.938481488558777e-09,8.506099493072883e-22,3.2006187550743577e-09,1
BISN,5000,5000,13,5.813596238851425e-05,0.0001,3.766830962902732e-17,1.7043774502494804e-09,6.191906182439803e-05,263.378689627,0.06507330885144509,3.783099435883783e-06,0.0051163693139249025,,[487],[0.5150615000000016],2.954153137730773e-09,1.6769402049743795e-09,8.572794139058514e-22,2.954153137730773e-09,1
BISN,5000,5000,14,5.813596238851425e-05,0.0001,3.8343054997409186e-17,1.4208375439819164e-09,6.164628773356705e-05,265.369254711,0.06038130618005082,3.5103253450527973e-06,0.004405333071818353,,[431],[0.4390635419999853],2.7425120239028844e-09,1.3979647535770694e-09,7.146937799651904e-22,2.7425120239028844e-09,1
BISN,5000,5000,15,5.813596238851425e-05,0.0001,3.6741582913788667e-17,1.2456617899991002e-09,6.141004228582955e-05,267.388778378,0.05631763477888434,3.274079897315302e-06,0.003832273708978864,,[446],[0.454512750000049],2.5592469895522135e-09,1.2256089970822355e-09,7.8717765159529885e-22,2.5592469895522135e-09,1
BISN,5000,5000,16,5.813596238851425e-05,0.0001,3.675418794783065e-17,1.1043940846156547e-09,6.12034365070233e-05,269.444177961,0.0527637970110406,3.067474118509057e-06,0.0033643647051179405,,[449],[0.4422881250000046],2.398881243739207e-09,1.0866154338974499e-09,7.322844787675365e-22,2.398881243739207e-09,1
BISN,5000,5000,17,5.813596238851425e-05,0.0001,3.7742251102859494e-17,9.881634463167596e-10,6.102121005901474e-05,271.498103627,0.04962930950069767,2.8852476705004925e-06,0.0029773891534285524,,[464],[0.43795037499995715],2.257370792271978e-09,9.722558884899923e-10,7.56218265705082e-22,2.257370792271978e-09,1
BISN,5000,5000,18,5.813596238851425e-05,0.0001,3.7971524984789394e-17,8.908003308757919e-10,6.0859292722802616e-05,273.552250752,0.04684416017900835,2.7233303342883664e-06,0.002653459937217451,,[476],[0.445027041000003],2.1315751170685054e-09,8.764601345972021e-10,6.209188350829358e-22,2.1315751170685054e-09,1
BISN,5000,5000,19,5.813596238851425e-05,0.0001,3.80057797003125e-17,8.083195011967226e-10,6.0714454255957036e-05,275.618108543,0.044352785461967546,2.5784918674427867e-06,0.002379890734275852,,[495],[0.4510157079999999],2.019012892725677e-09,7.953070898838791e-10,6.715249072799503e-22,2.019012892725677e-09,1
BISN,5000,5000,20,5.813596238851425e-05,0.0001,3.745173028736961e-17,7.378031623715917e-10,6.05841390001418e-05,277.709057876,0.042111225324984576,2.448176611627552e-06,0.0021463629610480894,,[510],[0.47381925000001957],1.917693625310472e-09,7.259259304076443e-10,6.69652356479867e-22,1.917693625310472e-09,1
BISN,5000,5000,21,5.813596238851425e-05,0.0001,3.823233755904367e-17,6.769944013916434e-10,6.0466262727963666e-05,279.75007154299993,0.04008362885396745,2.3303003394494162e-06,0.0019456622496171788,,[525],[0.45428400000002966],1.8260152911146254e-09,6.660960751798447e-10,6.173349926774011e-22,1.8260152911146254e-09,1
BISN,5000,5000,22,5.813596238851425e-05,0.0001,3.75531558784307e-17,6.240990670714828e-10,6.035912750347438e-05,281.80791425099994,0.03824078975596964,2.2231651149601318e-06,0.0017718181950699245,,[533],[0.4404288329999986],1.7426745773224446e-09,6.140522554472763e-10,6.925221271351311e-22,1.7426745773224446e-09,1
BISN,5000,5000,23,5.813596238851425e-05,0.0001,3.747615430613803e-17,5.778064286247835e-10,6.026133238608756e-05,283.838411293,0.036558610372178356,2.125369997573308e-06,0.001620220858580083,,[542],[0.4473601249999888],1.6665837963178657e-09,5.685048407039931e-10,7.139745750033795e-22,1.6665837963178657e-09,1
BISN,5000,5000,24,5.813596238851425e-05,0.0001,3.6833644553055794e-17,5.369922793252452e-10,6.017170573954199e-05,285.852297418,0.035016937320537726,2.035743351027742e-06,0.0014872994505222338,,[550],[0.43618587500003514],1.5968345361490033e-09,5.283477218203771e-10,5.9536017117842835e-22,1.5968345361490033e-09,1
BISN,5000,5000,25,5.813596238851425e-05,0.0001,3.7037516402100706e-17,5.008014563303568e-10,6.008926504876767e-05,287.85028775199993,0.03359887030337229,1.95330266025342e-06,0.0013700906391315097,,[555],[0.44703399999997373],1.5326691178806142e-09,4.927395024542054e-10,7.513525283640442e-22,1.5326691178806142e-09,1
BISN,5000,5000,26,5.813596238851425e-05,0.0001,3.74372496537372e-17,4.685474505667184e-10,6.001317754846775e-05,289.9107900439999,0.032290084877383544,1.8772151599535025e-06,0.0012662411536930227,,[562],[0.456255375000012],1.4734447850548199e-09,4.610047250264688e-10,6.541729461322595e-22,1.4734447850548199e-09,1
BISN,5000,5000,27,5.813596238851425e-05,0.0001,3.750369662482627e-17,4.396681383540836e-10,5.994274011252844e-05,291.94298925199985,0.031078486530243678,1.8067777240141932e-06,0.001173699490956344,,[566],[0.43381954199998063],1.4186044515331048e-09,4.325903149823286e-10,7.243805327165387e-22,1.4186044515331048e-09,1
BISN,5000,5000,28,5.813596238851425e-05,0.0001,3.7780263763529966e-17,4.135718164402666e-10,5.987734893950394e-05,293.93633391799983,0.02995368923889584,1.7413865509896924e-06,0.0010908939581631427,,[572],[0.42198916699999245],1.3676789940061513e-09,4.0691409437002936e-10,5.939223865894619e-22,1.3676789940061513e-09,1
BISN,5000,5000,29,5.813596238851425e-05,0.0001,3.800603626375261e-17,3.899392302067192e-10,5.981647649773022e-05,295.94274820899983,0.02890661890114311,1.680514109215971e-06,0.001016618852568487,,[578],[0.42941741700002467],1.3202674760340734e-09,3.836619479650422e-10,6.62260930214853e-22,1.3202674760340734e-09,1
BISN,5000,5000,30,5.813596238851425e-05,0.0001,3.772432592161018e-17,3.6843172017848086e-10,5.975967386493745e-05,297.96729508399983,0.027929553579455205,1.6237114764232013e-06,0.0009496151582068722,,[582],[0.41452620799998385],1.2760170134812825e-09,3.6250066806782037e-10,6.903045546678986e-22,1.2760170134812825e-09,1
BISN,5000,5000,31,5.813596238851425e-05,0.0001,3.740647309694836e-17,3.4870012388205866e-10,5.9706541922905775e-05,299.9799994179998,0.027015628018601787,1.5705795343915252e-06,0.0008890935742346806,,[586],[0.4393822090000299],1.2346190002016926e-09,3.430867130586465e-10,6.997043930616353e-22,1.2346190002016926e-09,1
BISN,5000,5000,32,5.813596238851425e-05,0.0001,3.705409188375587e-17,3.306280577311345e-10,5.9656742741339637e-05,302.0732339179998,0.026159029460323217,1.5207803528253868e-06,0.0008340657482799804,,[593],[0.4698294170000281],1.1958132502845202e-09,3.2530557290626693e-10,7.075981626265447e-22,1.1958132502845202e-09,1
BISN,5000,5000,33,5.813596238851425e-05,0.0001,3.765865947371354e-17,3.140048154501935e-10,5.960996709277689e-05,304.0540622089998,0.025354438865432042,1.474004704262641e-06,0.0007840798275822077,,[600],[0.4209944579999956],1.159363853501665e-09,3.08949933306682e-10,7.63686867066044e-22,1.159363853501665e-09,1
BISN,5000,5000,34,5.813596238851425e-05,0.0001,3.734742426255636e-17,2.9843719708379454e-10,5.956594852576597e-05,306.0407848339998,0.024597272987334932,1.4299861372517211e-06,0.000738443068462184,,[605],[0.4276852090000034],1.125065534121997e-09,2.936329240781859e-10,6.4513399213861085e-22,1.125065534121997e-09,1
BISN,5000,5000,35,5.813596238851425e-05,0.0001,3.86554380698264e-17,2.8411072116015e-10,5.9524454957235176e-05,308.0571037089998,0.023883539751897987,1.3884925687209263e-06,0.0006965988044804869,,[608],[0.4171111660000406],1.092731934123383e-09,2.795370772524488e-10,5.508591917277675e-22,1.092731934123383e-09,1
BISN,5000,5000,36,5.813596238851425e-05,0.0001,3.69424964869331e-17,2.7077434123165594e-10,5.948527053087629e-05,310.0423501249998,0.023209526202470136,1.3493081423620397e-06,0.0006582912247922022,,[613],[0.416958999999963],1.0621947342670035e-09,2.6641538775366354e-10,6.30420801486649e-22,1.0621947342670035e-09,1
BISN,5000,5000,37,5.813596238851425e-05,0.0001,3.7865169493220384e-17,2.5827549272888056e-10,5.94482105015613e-05,312.0077639999998,0.0225720545275829,1.312248113047052e-06,0.0006230118646892817,,[617],[0.3998944169999845],1.0333074366283305e-09,2.541177470126881e-10,6.6636516910881325e-22,1.0333074366283305e-09,1
BISN,5000,5000,38,5.813596238851425e-05,0.0001,3.755735098958338e-17,2.466829847097502e-10,5.941310716173568e-05,313.9835264579998,0.021968239980039436,1.2771447732214277e-06,0.0005904860639110829,,[628],[0.4153421670000057],1.0059400108378731e-09,2.4271185639208523e-10,6.337915132647799e-22,1.0059400108378731e-09,1
BISN,5000,5000,39,5.813596238851425e-05,0.0001,3.887101241129224e-17,2.3574948718876474e-10,5.9379805115388666e-05,315.9779881249998,0.02139540958420874,1.2438427268744167e-06,0.0005605168276480706,,[623],[0.4192704160000176],9.799768887826103e-10,2.319543674501584e-10,7.840776288857869e-22,9.799768887826103e-10,1
BISN,5000,5000,40,5.813596238851425e-05,0.0001,3.751002119678042e-17,2.2548341146979523e-10,5.9348171134310765e-05,317.9721255839998,0.02085127167407153,1.212208745796515e-06,0.0005327397255081869,,[624],[0.40809045800000376],9.553139372516528e-10,2.21853556084735e-10,7.600018791351112e-22,9.553139372516528e-10,1
BISN,5000,5000,41,5.813596238851425e-05,0.0001,3.86959601557643e-17,2.1575862217538535e-10,5.931808959374841e-05,319.9093466259998,0.020333837381656762,1.1821272052341627e-06,0.0005068655021276859,,[558],[0.35720758299999034],9.318580547733253e-10,2.122853174587703e-10,6.483741658907979e-22,9.318580547733253e-10,1
BISN,5000,5000,42,5.813596238851425e-05,0.0001,3.8815013950989635e-17,2.0684665008579293e-10,5.928943963110645e-05,321.8264266259998,0.019841027742581743,1.1534772425922e-06,0.00048298862687887575,,[562],[0.3566405409999902],9.095194768670182e-10,2.0351681122181e-10,7.240165438272069e-22,9.095194768670182e-10,1
BISN,5000,5000,43,5.813596238851425e-05,0.0001,3.794564303289088e-17,1.9815684653456689e-10,5.926212851547886e-05,323.87952479299975,0.019371247687250882,1.126166126964611e-06,0.00046064047488922767,,[664],[0.4128931249999823],8.882196247467265e-10,1.9496689703100264e-10,6.237076865368952e-22,8.882196247467265e-10,1
BISN,5000,5000,44,5.813596238851425e-05,0.0001,3.824778440553317e-17,1.9012833711579558e-10,5.923605809585026e-05,325.9843159599998,0.01892280891445866,1.1000957073360108e-06,0.000439917031022446,,[674],[0.4195619999999849],8.678908951107083e-10,1.8706763139099878e-10,7.092019610648098e-22,8.678908951107083e-10,1
BISN,5000,5000,45,5.813596238851425e-05,0.0001,3.7576404054452644e-17,1.8249864544904823e-10,5.9211154197601234e-05,328.02061358499975,0.01849443554235212,1.075191809086984e-06,0.0004204178848080943,,[677],[0.4116453749999778],8.484642269800075e-10,1.7956076329341056e-10,7.436289104602318e-22,8.484642269800075e-10,1
