algo,m,n,iter,opt,eta,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,cg_time,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
SPLR,5000,5000,0,0.00045949154617637954,0.0001,50.02148145868984,49.4194158666841,0.2166885126331528,0.0,470.58324116364736,0.21622902108697642,1.0,70.31559600381723,0,0.0,,,,,
SPLR,5000,5000,1,0.00045949154617637954,0.0001,49.63249544052419,49.034864852001306,0.21664054000028982,2.8917623330000026,470.47883743029865,0.21618104845411343,0.00022138982948398243,69.76862037236201,11085,1.390985332999989,,,,,
SPLR,5000,5000,2,0.00045949154617637954,0.0001,50.92890805376439,54.75297231189044,0.21636056016427865,4.38773508300001,469.8695121046403,0.21590106861810227,0.001292370467737886,74.7764141634951,2297,0.29466974999999707,,,,,
SPLR,5000,5000,3,0.00045949154617637954,0.0001,17.8043995347871,17.589516283200485,0.21452523426785824,5.261388832999998,465.87525821315324,0.21406574272168186,0.008482719285931221,25.027323350113342,1336,0.1791980419999959,,,,,
SPLR,5000,5000,4,0.00045949154617637954,0.0001,37.825813708632126,55.63181741073049,0.21423201048845644,6.807107500000001,465.23710984711295,0.21377251894228005,0.00136684982725939,67.27314379229487,763,0.10025029199999835,,,,,
SPLR,5000,5000,5,0.00045949154617637954,0.0001,5.799319451772184,5.7286188477061515,0.21356981900340868,7.645398208000003,463.7959701992606,0.2131103274572323,0.003091001589995532,8.151487629922588,1054,0.13991429200000027,,,,,
SPLR,5000,5000,6,0.00045949154617637954,0.0001,5.4769269674807886,7.670655144274413,0.2133168384011768,9.165400750000003,463.2454038083508,0.2128573468550004,0.0011845334861095309,9.42523221880416,643,0.08568116600000053,,,,,
SPLR,5000,5000,7,0.00045949154617637954,0.0001,1.8746571041498827,1.9726426134053263,0.20998244416718442,9.934171416000012,455.9886996061968,0.20952295262100804,0.015631181574712372,2.721290206943564,745,0.10091149999999516,,,,,
SPLR,5000,5000,8,0.00045949154617637954,0.0001,13.79117183977397,20.68571780670449,0.20455246221691295,10.640896291000004,444.1713288722701,0.20409297067073656,0.02585921871615236,24.861522779946778,221,0.02998374999999953,,,,,
SPLR,5000,5000,9,0.00045949154617637954,0.0001,1.8983665685879632,2.9106512986167803,0.19811631357496828,11.515856874000008,430.1642188492402,0.1976568220287919,0.03146453761636758,3.4750069253618836,417,0.05825220799999897,,,,,
SPLR,5000,5000,10,0.00045949154617637954,0.0001,1.0321586413998611,1.5241400268415488,0.191681511718919,12.519864458000015,416.16003986140913,0.19122202017274262,0.03247991919461147,1.8407464561030946,401,0.05581079200000261,,,,,
SPLR,5000,5000,11,0.00045949154617637954,0.0001,0.6777196962537055,1.0292248219270808,0.17590120422510255,13.285694791000012,381.81706309691594,0.17544171267892616,0.08232566277417841,1.232317370546488,617,0.08537191599999971,,,,,
SPLR,5000,5000,12,0.00045949154617637954,0.0001,0.4246632194412312,0.5103733453243909,0.15407375825189984,14.03219199900002,334.3135863630391,0.15361426670572345,0.12408923559880755,0.6639423264449857,312,0.043315917000001036,,,,,
SPLR,5000,5000,13,0.00045949154617637954,0.0001,0.26958432253424586,0.39485653867220266,0.1504077543540904,15.173695582000022,326.33519388048796,0.149948262807914,0.023793824071038614,0.4781077856434799,480,0.06622812500000919,,,,,
SPLR,5000,5000,14,0.00045949154617637954,0.0001,0.5305296155929099,0.3885604444738566,0.12875475270465037,16.02780366600004,279.211363573655,0.12829526115847398,0.14396200343809715,0.6576022839853983,285,0.03930808399999819,,,,,
SPLR,5000,5000,15,0.00045949154617637954,0.0001,0.3089111552429354,0.28056038721155535,0.08961770413730652,16.744869332000036,194.036676698522,0.08915821259113015,0.3039658555915217,0.4173010971071905,380,0.05316583399999786,,,,,
SPLR,5000,5000,16,0.00045949154617637954,0.0001,0.08570600234428062,0.1235741161367819,0.09936184355018911,17.970044873000035,215.2430285758691,0.09890235200401273,0.108730071883489,0.1503862951422043,318,0.04414945799999259,,,,,
SPLR,5000,5000,17,0.00045949154617637954,0.0001,0.07298518527254516,0.09710487184417642,0.0840036469734219,18.96717499800002,181.81869965280367,0.08354415542724553,0.15456835368608635,0.12147497035314378,452,0.06315549999999348,,,,,
SPLR,5000,5000,18,0.00045949154617637954,0.0001,0.05862144964661919,0.06668805319378057,0.05100654860619035,19.720603331999996,110.00650062147405,0.050547057060013965,0.39280554542675483,0.08879055084972291,409,0.05662924999998609,,,,,
