algo,m,n,iter,opt,eta,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,cg_time,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
SSNS,4096,4096,0,0.0015077837935959237,0.001,1529.4823163677156,1529.482420175968,0.03554491973384174,0.0,22.574281594492017,0.034037135940245815,1.0,2162.9960628510353,0,0.0,,,,,
SSNS,4096,4096,1,0.0015077837935959237,0.001,301.04787609393685,301.0587123240735,0.035785803523531036,2.211536917,22.734041760845056,0.03427801972993511,0.006776883771099244,425.736797548513,8,0.0015375000000004135,,,,,
SSNS,4096,4096,2,0.0015077837935959237,0.001,56.324132778181514,56.33606006775089,0.03609991165810786,4.3992021249999995,22.942366147876506,0.034592127864511935,0.008777450934426547,79.64859636084279,9,0.0008511249999996195,,,,,
SSNS,4096,4096,3,0.0015077837935959237,0.001,10.422917602289882,10.434905142951235,0.03649116547357827,6.66527575,23.201855483902136,0.03498338167998235,0.01083808235255171,14.73746392890959,10,0.001112624999999312,,,,,
SSNS,4096,4096,4,0.0015077837935959237,0.001,1.9613479858228509,1.9716766287293266,0.03700653454070116,8.874787542,23.543661165400927,0.035498750747105234,0.014123118854508565,2.772634289653357,12,0.001260165999999785,,,,,
SSNS,4096,4096,5,0.0015077837935959237,0.001,0.3767280428276556,0.38485167354086874,0.037506228886049896,11.054948999999999,23.87507097857912,0.03599844509245397,0.013502867846194982,0.5323545158303665,14,0.0014580830000010536,,,,,
SSNS,4096,4096,6,0.0015077837935959237,0.001,0.0723326434908047,0.07890264330555682,0.038559618583953834,13.2266795,24.573705426288434,0.03705183479035791,0.028085726802988095,0.10218316508892751,18,0.0019088340000017467,,,,,
SSNS,4096,4096,7,0.0015077837935959237,0.001,0.013594813444830734,0.01989553539025922,0.04206024729987671,15.410446375,26.895410123467993,0.040552463506280785,0.09078483772605635,0.019134183232524356,21,0.0023622500000008984,,,,,
SSNS,4096,4096,8,0.0015077837935959237,0.001,0.004502660036018979,0.01046642386994286,0.03023248328003246,17.598593917,19.050940598008953,0.028724699486436536,0.28121004461804294,0.00609263451199638,23,0.0032560830000001317,,,,,
SSNS,4096,4096,9,0.0015077837935959237,0.001,0.002306892131168043,0.008419247098663001,0.025179041510387263,19.805580625,15.699371366989956,0.02367125771679134,0.16715271857878858,0.0033011369155285077,23,0.0050136250000001326,,,,,
SSNS,4096,4096,10,0.0015077837935959237,0.001,0.0017505591330618244,0.009843266266273848,0.02121261933495942,21.997838375000004,13.068740773748006,0.019704835541363496,0.15752871982007538,0.0025380323091287868,33,0.008531000000001399,,,,,
SSNS,4096,4096,11,0.0015077837935959237,0.001,0.0013662052721744756,0.01186072386523554,0.0184347547628315,24.189703667000003,11.226391370652903,0.016926970969235577,0.13095339751606558,0.0019618184530951826,43,0.012025375000000338,,,,,
SSNS,4096,4096,12,0.0015077837935959237,0.001,0.0010719652631512647,0.013513109487398676,0.016179811499877513,26.388287667000004,9.730856485259183,0.01467202770628159,0.12232022025595081,0.0014953081276842062,49,0.014761041999999946,,,,,
SSNS,4096,4096,13,0.0015077837935959237,0.001,0.000821015819439008,0.014812879669567345,0.014207393254305443,28.600555084000003,8.422699272036965,0.01269960946070952,0.12190613256446169,0.001098361033689759,57,0.01866920800000571,,,,,
SSNS,4096,4096,14,0.0015077837935959237,0.001,0.0006035309102019817,0.01582982097287088,0.012564272687500159,30.816116459000003,7.332940532233431,0.011056488893904235,0.11565250129944488,0.0007702272649919877,64,0.02254433299999903,,,,,
SSNS,4096,4096,15,0.0015077837935959237,0.001,0.00042857222779846076,0.016612468893930785,0.011300185849028276,33.027006459000006,6.49456646040636,0.009792402055432352,0.10060963096809318,0.0005194673216388496,70,0.027242582999996046,,,,,
SSNS,4096,4096,16,0.0015077837935959237,0.001,0.0003016102281649388,0.01715631402284421,0.010408181932795742,35.246088668000006,5.902967107753028,0.008900398139199819,0.07893710140256129,0.0003552318984452856,78,0.03348154200000408,,,,,
SSNS,4096,4096,17,0.0015077837935959237,0.001,0.0002210651219791557,0.017398452764995506,0.00954011883604758,37.453826584000005,5.327245906586704,0.008032335042451657,0.08340199108289334,0.00026484581054349624,84,0.038695416999999566,,,,,
SSNS,4096,4096,18,0.0015077837935959237,0.001,0.00017595979282695082,0.01728919663886531,0.008647661284052532,39.67337362500001,4.73534569132665,0.007139877490456609,0.09354784435418922,0.00022172755109614082,90,0.044161125000002244,,,,,
SSNS,4096,4096,19,0.0015077837935959237,0.001,0.00015290467516235244,0.016887376292356537,0.007985328996079769,41.983674125000014,4.29607031856703,0.006477545202483845,0.07659091472444633,0.00020164163140231405,90,0.045919542000000035,,,,,
SSNS,4096,4096,20,0.0015077837935959237,0.001,0.00014140506214702835,0.016301843132953516,0.007517009753102463,44.28503962500002,3.9854692596045855,0.006009225959506539,0.0586474575070379,0.00019041060875886365,93,0.04929016700000233,,,,,
SSNS,4096,4096,21,0.0015077837935959237,0.001,0.0001340225618889771,0.015623501273768584,0.00717021345810091,46.53173150000002,3.7554652653485676,0.005662429664504986,0.04613487362556923,0.00018171874416353316,91,0.04774416700000472,,,,,
SSNS,4096,4096,22,0.0015077837935959237,0.001,0.00012785922857569483,0.014905843372555592,0.00688840043822963,48.77243979200002,3.568559807770209,0.005380616644633706,0.03930329571330784,0.00017350896548294734,93,0.04930045900000124,,,,,
SSNS,4096,4096,23,0.0015077837935959237,0.001,0.0001218694910142941,0.014174937875581517,0.0066437848550129,51.068039584000026,3.4063246224235453,0.005136001061416976,0.03551123158565942,0.0001652832739389682,87,0.04575125000000213,,,,,
SSNS,4096,4096,24,0.0015077837935959237,0.001,0.0001160198542304988,0.01344342276848433,0.006416686410456604,53.32553791700002,3.2557072424511246,0.00490890261686068,0.03418208890147072,0.0001571350359035854,97,0.05334674999999578,,,,,
SSNS,4096,4096,25,0.0015077837935959237,0.001,0.00011018101999085138,0.01271889995779462,0.006200925660902293,55.567270501000024,3.1126093059494053,0.00469314186730637,0.03362494841616507,0.00014900499861572828,98,0.053566082999999765,,,,,
SSNS,4096,4096,26,0.0015077837935959237,0.001,0.00010446341032612986,0.012001861041390257,0.0059905852761725316,57.816967668000025,2.9731062912445454,0.004482801482576608,0.03392080412380807,0.00014099137496512143,99,0.055058584000001076,,,,,
SSNS,4096,4096,27,0.0015077837935959237,0.001,9.88205205343066e-05,0.011295214818546105,0.0057853270286184,60.08232483400002,2.836973877283118,0.004277543235022476,0.034263471445860776,0.0001330679700518204,100,0.05517191600000615,,,,,
SSNS,4096,4096,28,0.0015077837935959237,0.001,9.324025266275828e-05,0.010598463043580692,0.005582592234198299,62.357353209000024,2.7025150806829785,0.004074808440602375,0.035042927291271314,0.00012525982978483472,101,0.056323207999994906,,,,,
SSNS,4096,4096,29,0.0015077837935959237,0.001,8.773774560293076e-05,0.009912686478782413,0.005384893900479463,64.61254387500003,2.571396591043728,0.003877110106883539,0.035413357348179485,0.00011758895691242994,102,0.058340749999999275,,,,,
SSNS,4096,4096,30,0.0015077837935959237,0.001,8.231916444963077e-05,0.009240391945983261,0.005188394835370449,66.85919816600003,2.4410734864025905,0.003680611041774525,0.036490796056634994,0.00011001035640794676,103,0.05864545900000451,,,,,
SSNS,4096,4096,31,0.0015077837935959237,0.001,7.706263181933826e-05,0.008581102737460895,0.004994839561723879,69.08664899900003,2.3127027780366656,0.0034870557681279555,0.03730542485453496,0.00010264748403481029,104,0.059580499999995595,,,,,
SSNS,4096,4096,32,0.0015077837935959237,0.001,7.18652010188062e-05,0.007936854562940176,0.004805072294031426,71.33754054000003,2.1868443701545406,0.003297288500435502,0.037992665299335246,9.53834882560839e-05,105,0.061163749999991524,,,,,
SSNS,4096,4096,33,0.0015077837935959237,0.001,6.681665879132949e-05,0.007307162049955799,0.0046181767720364685,73.61629929000004,2.062890575990705,0.0031103929784405447,0.038895465158163715,8.834193102493023e-05,106,0.06275387499999852,,,,,
SSNS,4096,4096,34,0.0015077837935959237,0.001,6.18919829230833e-05,0.00669436642078273,0.004436263572515867,75.86148524800004,1.9422411829588595,0.0029284797789199436,0.03939069648050376,8.146128580566728e-05,107,0.06462425000000849,,,,,
SSNS,4096,4096,35,0.0015077837935959237,0.001,5.70959095544742e-05,0.006098902874135355,0.004259256477319291,78.10208670600004,1.824845641271526,0.0027514726837233675,0.03990004027109529,7.479131709758924e-05,109,0.06679954199999827,,,,,
SSNS,4096,4096,36,0.0015077837935959237,0.001,5.248069014286287e-05,0.005522180892810963,0.004087259816248656,80.34645337300005,1.7107731450680486,0.002579476022652732,0.040381851148557156,6.837116963468995e-05,110,0.06752441700000134,,,,,
SSNS,4096,4096,37,0.0015077837935959237,0.001,4.796182650100623e-05,0.00496601681033353,0.003921456878817359,82.58914053900004,1.600808481609323,0.0024136730852214357,0.04056579343748999,6.212687560543135e-05,111,0.06980312500000707,,,,,
SSNS,4096,4096,38,0.0015077837935959237,0.001,4.363238036791131e-05,0.004431768074965369,0.0037605563437063364,84.84377058100004,1.4940952142334414,0.0022527725501104126,0.04103080566311053,5.6132653191483504e-05,112,0.07076104200000088,,,,,
SSNS,4096,4096,39,0.0015077837935959237,0.001,3.946613949098589e-05,0.003920701386383344,0.0036067631013983223,87.09405258100004,1.3920956815675334,0.0020989793078023985,0.0408964068748504,5.040027146423968e-05,114,0.07323904199999731,,,,,
SSNS,4096,4096,40,0.0015077837935959237,0.001,3.545931454079333e-05,0.003435255048574985,0.0034607580310278946,89.37940299800005,1.2952614597178482,0.001952974237431971,0.040480914954969534,4.491300437713006e-05,116,0.07774216700001091,,,,,
SSNS,4096,4096,41,0.0015077837935959237,0.001,3.16271205495097e-05,0.002977438075451577,0.0033227568332099325,91.65761320600005,1.2037356067380638,0.0018149730396140088,0.039876003055022535,3.96882087872254e-05,118,0.07882250000000113,,,,,
SSNS,4096,4096,42,0.0015077837935959237,0.001,2.8037284397653152e-05,0.002548427033289393,0.003193026958673106,93.97409274700006,1.117695502654286,0.0016852431650771823,0.03904284335230803,3.480229580419805e-05,120,0.08300295799999446,,,,,
SSNS,4096,4096,43,0.0015077837935959237,0.001,2.4593316984756348e-05,0.002150990525759108,0.003072597910147116,96.25009228800006,1.0378239394782567,0.0015648141165511922,0.03771626424852848,3.0165614804494342e-05,121,0.08426516600000866,,,,,
SSNS,4096,4096,44,0.0015077837935959237,0.001,2.144004983805163e-05,0.0017864310999177741,0.0029623077716532087,98.53776741300005,0.9646767555369334,0.001454523978057285,0.035894751516193826,2.592406036018957e-05,122,0.08648154099999772,,,,,
SSNS,4096,4096,45,0.0015077837935959237,0.001,1.8475291621435047e-05,0.0014570090037914938,0.0028624617103582073,100.79961041300005,0.8984563453434548,0.0013546779167622836,0.03370549888517464,2.1986011187441194e-05,124,0.08978583299999343,,,,,
SSNS,4096,4096,46,0.0015077837935959237,0.001,1.577239849024815e-05,0.0011639399342983925,0.00277358468926837,103.08266949600005,0.8395108775201976,0.0012658008956724465,0.031049156314728522,1.8425877821770684e-05,126,0.09502483299999653,,,,,
SSNS,4096,4096,47,0.0015077837935959237,0.001,1.3250861529019125e-05,0.0009084886143953371,0.0026963571572579323,105.40010716300006,0.7882916428139687,0.0011885733636620086,0.027843942284960246,1.5181714058563335e-05,128,0.0979157920000091,,,,,
SSNS,4096,4096,48,0.0015077837935959237,0.001,1.0962124830500255e-05,0.0006905665086368673,0.002630433142913243,107.71524032900005,0.744569184312497,0.0011226493493173193,0.024449288614172636,1.2303103095999518e-05,130,0.10234954100000948,,,,,
SSNS,4096,4096,49,0.0015077837935959237,0.001,8.847063711742952e-06,0.0005094230165181756,0.0025758864510330164,110.05144528700005,0.7083924512079861,0.0010681026574370926,0.02073677182299163,9.73681325103948e-06,128,0.10315674999999658,,,,,
SSNS,4096,4096,50,0.0015077837935959237,0.001,6.93363698509112e-06,0.00036266446105741215,0.0025323588301453294,112.36618157900004,0.679523842145756,0.0010245750365494057,0.016898113218550826,7.496242500019178e-06,133,0.11144395900001314,,,,,
SSNS,4096,4096,51,0.0015077837935959237,0.001,5.20166132068639e-06,0.00024725345036376734,0.0024983829912535397,114.66458607900005,0.6569902142900271,0.000990599197657616,0.013416676375930442,5.540182898052618e-06,131,0.1119825420000069,,,,,
SSNS,4096,4096,52,0.0015077837935959237,0.001,3.695782760477769e-06,0.00015909799444926526,0.0024726985685134097,117.00961382900005,0.6399556614256041,0.000964914774917486,0.01028041850670905,3.887439600174755e-06,137,0.13330833300000222,,,,,
SSNS,4096,4096,53,0.0015077837935959237,0.001,2.426715594195375e-06,9.409157521653946e-05,0.0024540457953829697,119.34240453700005,0.6275846748095756,0.000946262001787046,0.007543488465581161,2.526107456667103e-06,142,0.13371099999999103,,,,,
SSNS,4096,4096,54,0.0015077837935959237,0.001,1.4009431331347903e-06,4.864288770877617e-05,0.0024412211483995226,121.69123616200004,0.6190790475187679,0.0009334373548035989,0.005225919992029219,1.445845801046202e-06,144,0.14425470899999482,,,,,
SSNS,4096,4096,55,0.0015077837935959237,0.001,6.440115677094806e-07,1.976438412001535e-05,0.002433182431431469,124.03524587100004,0.613747568959178,0.0009253986378355453,0.0032929081305574756,6.59724973731384e-07,146,0.15436283299999332,,,,,
SSNS,4096,4096,56,0.0015077837935959237,0.001,1.82549024043951e-07,4.995850487187436e-06,0.0024291568617787656,126.39778616300005,0.6110777102766525,0.0009213730681828418,0.0016544462925186998,1.8600435062653005e-07,146,0.16669091600002162,,,,,
SSNS,4096,4096,57,0.0015077837935959237,0.001,1.7883190491465182e-08,4.5170400848664937e-07,0.0024279440004795374,128.75918428800003,0.6102733102662666,0.0009201602068836137,0.0004992931161884684,1.816688195624305e-08,141,0.17934745900001303,,,,,
SSNS,4096,4096,58,0.0015077837935959237,0.001,1.7458818352108342e-10,4.364038029585073e-09,0.002427826021886795,131.15496478800003,0.6101950639067796,0.0009200422282908713,4.8591974410912116e-05,1.7743214831967028e-10,126,0.19194158299998776,,,,,
