algo,m,n,iter,opt,eta,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,cg_time,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
SPLR,10000,10000,0,9.69519770231933e-06,0.001,55184.31760772599,55184.317603885924,0.04210326335628136,0.0,4341.69260401046,0.042093568158579044,1.0,78041.90550382783,0,0.0,,,,,
SPLR,10000,10000,1,9.69519770231933e-06,0.001,7740.132556454012,7740.24260385858,0.04215006357523645,2.3151283329999615,4346.519758689719,0.04214036837753413,0.0011115579939507871,10945.767062164336,6,0.0015794590000268727,,,,,
SPLR,10000,10000,2,9.69519770231933e-06,0.001,5618.905032203779,5619.025894608767,0.04215093669307697,4.908915167000032,4346.609815423715,0.042141241495374654,2.0714508270243407e-05,7945.91906250618,7,0.002104916999996931,,,,,
SPLR,10000,10000,3,9.69519770231933e-06,0.001,2403.1612414246656,2403.4486883121485,0.042195590449612,7.397787375000007,4351.2155757089695,0.04218589525190968,0.001059377561646497,3398.254832919587,7,0.0019552500000372675,,,,,
SPLR,10000,10000,4,9.69519770231933e-06,0.001,1275.0838570119092,1275.4304587635152,0.0422560486483091,10.09061625000004,4357.451466977348,0.04224635345060678,0.0014328084535111824,1803.022348173222,9,0.0027324580000822607,,,,,
SPLR,10000,10000,5,9.69519770231933e-06,0.001,621.3861009518511,621.9704624226165,0.04218036294658823,12.460321667000017,4349.644952448742,0.042170667748885914,0.001791121132758741,878.5344588540703,9,0.0025690830000257847,,,,,
SPLR,10000,10000,6,9.69519770231933e-06,0.001,313.36159710893367,313.77270267883364,0.042375813067448774,14.948064541999997,4369.8044300439005,0.04236611786974646,0.0046336756539538644,443.08190140254464,9,0.002619707999997445,,,,,
SPLR,10000,10000,7,9.69519770231933e-06,0.001,166.4938997306425,167.7407711600707,0.0423245591079475,17.33387716699997,4364.51789942586,0.042314863910245186,0.001209509760194837,235.1399391137182,12,0.0036246669999400183,,,,,
SPLR,10000,10000,8,9.69519770231933e-06,0.001,56.15413458762402,56.81495907621584,0.04293340255382266,19.972055291999936,4427.316355379935,0.04292370735612034,0.01438511017497707,79.35484684287627,14,0.003872000000001208,,,,,
SPLR,10000,10000,9,9.69519770231933e-06,0.001,28.858015573051237,30.320075402352725,0.042921985287973065,22.49197737499992,4426.138734644377,0.04291229009027075,0.0002659296764396667,40.638336447143274,12,0.0033687090000285025,,,,,
SPLR,10000,10000,10,9.69519770231933e-06,0.001,8.120444602606185,9.033964405097388,0.04405557316972263,25.00419904099988,4543.061351031909,0.044045877972020316,0.026410425196879327,11.441915219900432,19,0.005187458000023071,,,,,
SPLR,10000,10000,11,9.69519770231933e-06,0.001,4.17085341433517,5.2677648294695505,0.04360913410446559,27.51669583299997,4497.013907858033,0.04359943890676327,0.010133543457422537,5.846401749388259,15,0.004156500000021879,,,,,
SPLR,10000,10000,12,9.69519770231933e-06,0.001,1.11934434859575,1.6810245939300816,0.045103889085895785,30.015035832999956,4651.188688746989,0.04509419388819347,0.03427619034694687,1.5720201909158615,23,0.006046292000064568,,,,,
SPLR,10000,10000,13,9.69519770231933e-06,0.001,0.5674397338099082,1.1704145804364186,0.04439160725031556,32.56161508299999,4577.7211992279435,0.04438191205261324,0.015792027029504187,0.7847944917249828,19,0.005425166000009085,,,,,
SPLR,10000,10000,14,9.69519770231933e-06,0.001,0.14800531358844818,0.41670164364014384,0.04528817658032486,35.07371308300003,4670.196810096076,0.04527848138262254,0.02019682065021253,0.20483287936202146,28,0.007655166999938956,,,,,
SPLR,10000,10000,15,9.69519770231933e-06,0.001,0.06952817556663476,0.27581202106346725,0.04229002321566119,37.59859241699996,4360.955734594703,0.042280328017958876,0.0662016797992744,0.09423085355405994,25,0.006772749999981897,,,,,
SPLR,10000,10000,16,9.69519770231933e-06,0.001,0.015580512073181759,0.10434132413796056,0.03764959861122111,40.12753433399996,3882.3244836476515,0.03763990341351879,0.10972858966702115,0.020952530051954556,31,0.008032542000023568,,,,,
SPLR,10000,10000,17,9.69519770231933e-06,0.001,0.0074705079744026215,0.06830252840909898,0.0353105751008769,42.67628441699992,3641.0685977790577,0.035300879903174584,0.06212612077216364,0.009798325333500153,27,0.007663041999990128,,,,,
SPLR,10000,10000,18,9.69519770231933e-06,0.001,0.0026653462864272967,0.03708341815866126,0.029709756586204783,45.12352195899996,3063.378623150457,0.029700061388502463,0.15861589619176233,0.00394099193134507,32,0.008578166000006604,,,,,
SPLR,10000,10000,19,9.69519770231933e-06,0.001,0.0015249463445447854,0.03157908015055167,0.018770638183807996,47.566203249999944,1935.075855298711,0.018760942986105675,0.36819952969510966,0.002030576663078596,38,0.00953916699995716,,,,,
SPLR,10000,10000,20,9.69519770231933e-06,0.001,0.0008233806466073133,0.025712261762147404,0.005361263213698353,50.039317540999946,551.9813190313599,0.005351568015996034,0.7143803443868463,0.0009528851975943138,48,0.012794957999972212,,,,,
SPLR,10000,10000,21,9.69519770231933e-06,0.001,0.00042329051923888214,0.020879718063104645,0.0070161908846822175,52.614355457999864,722.6769274961532,0.007006495686979898,0.3086824140167981,0.0006932890649246896,54,0.014298791999976856,,,,,
