algo,m,n,iter,opt,eta,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,cg_time,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
SSNS,10000,10000,0,9.69519770231933e-06,0.001,55184.31760772599,55184.317603885924,0.04210326335628136,0.0,4341.69260401046,0.042093568158579044,1.0,78041.90550382783,0,0.0,,,,,
SSNS,10000,10000,1,9.69519770231933e-06,0.001,9565.964278578518,9566.043967236414,0.04206711663286667,11.414074292,4337.964291857936,0.042057421435164354,0.0008585254570129976,13527.828562815945,6,0.011951165999999347,,,,,
SSNS,10000,10000,2,9.69519770231933e-06,0.001,1477.4650883196998,1477.9071440621092,0.042104499461168496,22.256498626000003,4341.820100625288,0.04209480426346618,0.0008886472687937579,2089.2011757041596,5,0.0014419580000009091,,,,,
SSNS,10000,10000,3,9.69519770231933e-06,0.001,214.1661604147601,214.82314142532508,0.04225675779154529,32.169345668000005,4357.524610739648,0.04224706259384297,0.0036162009363681735,302.7709710013322,5,0.000819874999997694,,,,,
SSNS,10000,10000,4,9.69519770231933e-06,0.001,30.040505631305486,30.784026801471896,0.04266353242600078,43.29744791800001,4399.480911884305,0.04265383722829846,0.00962626230015406,42.441744201736284,5,0.0015750830000058613,,,,,
SSNS,10000,10000,5,9.69519770231933e-06,0.001,4.146882537324727,4.872464510839601,0.0436067291963272,54.18276079300001,4496.7658563780915,0.043597033998624884,0.022107798316100075,5.847899766509344,5,0.001483582999995292,,,,,
SSNS,10000,10000,6,9.69519770231933e-06,0.001,0.5671267203765663,1.1113259187819053,0.045379451930135525,64.29472375200001,4679.611300920625,0.04536975673243321,0.04065250401668815,0.7949479633401024,5,0.0009823329999960606,,,,,
SSNS,10000,10000,7,9.69519770231933e-06,0.001,0.07512520960397395,0.3662013695187138,0.04744298703125133,75.691857544,4892.452252129093,0.04743329183354901,0.04547289606522224,0.1026851833044013,7,0.0017324580000064316,,,,,
SSNS,10000,10000,8,9.69519770231933e-06,0.001,0.00956239618621158,0.1417025326158906,0.049872370671162944,86.096396961,5143.028229484402,0.04986267547346063,0.051206380372115896,0.011339204305218325,10,0.0016053330000005417,,,,,
SSNS,10000,10000,9,9.69519770231933e-06,0.001,0.0029004398296901793,0.06714777388259352,0.034524804798892125,96.75985800299999,3560.0212250373133,0.03451510960118981,0.3077368423784403,0.0035208220521093935,16,0.024902208000000314,,,,,
SSNS,10000,10000,10,9.69519770231933e-06,0.001,0.0012063470267319409,0.03679277622103956,0.008474580352242932,108.64629696099999,873.1008293431297,0.008464885154540613,0.7545364730776154,0.0012877427187792084,25,0.10016854199999159,,,,,
SSNS,10000,10000,11,9.69519770231933e-06,0.001,0.0004426529180576451,0.020663347751853023,0.004422327386087655,121.23141329499998,455.13586456619913,0.004412632188385336,0.4781656197386557,0.0004946396118222521,47,0.3427063750000059,,,,,
SSNS,10000,10000,12,9.69519770231933e-06,0.001,0.00021140220861258483,0.012564499476054276,0.0030974473946751282,133.966334378,318.48264385925233,0.0030877521969728088,0.29958885350291126,0.00023792078528531884,80,0.787473083000009,,,,,
SSNS,10000,10000,13,9.69519770231933e-06,0.001,0.00011472381718205375,0.00813391407653228,0.002463378831360015,147.071709836,253.08237222132294,0.0024536836336576957,0.2047068061285401,0.00013722266615838553,126,1.4587030419999962,,,,,
SSNS,10000,10000,14,9.69519770231933e-06,0.001,7.127210221819665e-05,0.005517226063557982,0.001860877475946424,161.641297752,190.93806388303523,0.0018511822782441047,0.244583312864207,8.792785899774449e-05,203,2.6247137080000016,,,,,
SSNS,10000,10000,15,9.69519770231933e-06,0.001,4.505237431685223e-05,0.0038462147085252937,0.0013368599293235544,178.881306961,136.8888776041921,0.0013271647316212352,0.28159701721165675,5.54683922392617e-05,318,4.424168374999994,,,,,
SSNS,10000,10000,16,9.69519770231933e-06,0.001,2.693091518052853e-05,0.0027209322664057296,0.0009398929548974671,199.67154087699998,95.94417625672776,0.0009301977571951477,0.29693984068095375,3.236796155996371e-05,431,6.471409666,,,,,
SSNS,10000,10000,17,9.69519770231933e-06,0.001,1.5333030163673104e-05,0.001952843345868027,0.0007838209577902491,219.31725121099998,79.84630988006978,0.0007741257600879297,0.16605294921509853,1.8006822092398808e-05,468,7.563184833999998,,,,,
SSNS,10000,10000,18,9.69519770231933e-06,0.001,9.382943371562197e-06,0.0014218055064959029,0.0008752501453546884,238.46120791999996,89.27666812253936,0.000865554947652369,0.11664550004148501,1.139228957985528e-05,411,7.032817999999992,,,,,
SSNS,10000,10000,19,9.69519770231933e-06,0.001,6.626035399964131e-06,0.0010432962978749105,0.0008281152034333109,259.5843089199999,84.41498882845941,0.0008184200057309916,0.05385310950422797,8.203085789867563e-06,521,9.35423016599998,,,,,
SSNS,10000,10000,20,9.69519770231933e-06,0.001,4.928299599895567e-06,0.0007611251306482782,0.0007460108660875492,280.2852538779999,75.94643152135876,0.0007363156683852298,0.09914603307047445,6.033907316147039e-06,491,9.092213125,,,,,
SSNS,10000,10000,21,9.69519770231933e-06,0.001,3.6643091038311213e-06,0.0005453186239176164,0.0006723839355023424,301.3101839619999,68.35226657023111,0.000662688737800023,0.0986941798466595,4.417577528314978e-06,496,9.439307083000017,,,,,
SSNS,10000,10000,22,9.69519770231933e-06,0.001,2.674394426774998e-06,0.0003831779630480695,0.0006168935771638826,323.45787921199985,62.6287774736462,0.0006071983794615633,0.08252778718902996,3.1844156444783516e-06,519,10.253171375000022,,,,,
SSNS,10000,10000,23,9.69519770231933e-06,0.001,1.910356984582816e-06,0.0002645446986695177,0.0005777449496154847,346.56279396199983,58.59083737686689,0.0005680497519131654,0.0634609096246074,2.2531697055841406e-06,556,11.16622266600001,,,,,
SSNS,10000,10000,24,9.69519770231933e-06,0.001,1.3355592938593213e-06,0.00017971624534329222,0.0005508606915571483,370.94253696199985,55.81789154494176,0.0005411654938548289,0.04653309055532052,1.5637121854872134e-06,598,12.468139250000036,,,,,
SSNS,10000,10000,25,9.69519770231933e-06,0.001,9.150317986984255e-07,0.00012001364918417846,0.0005326183215512394,395.8690560869998,53.93630330238897,0.0005229231238489201,0.033116122252873297,1.064474124162629e-06,607,12.972694250000018,,,,,
