algo,data_name,iter,opt,eta,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,cg_time,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
PINS,Square,0,6.946465053373141e-05,0.01,2.480917714426016e-18,3.0028103405359835e-17,0.16583501934216086,0.0,2386.3296427458863,0.16576555469162713,1.0,,[],[],0.0006385251024598423,2.897230190177476e-17,0.0,0.0006385251024598423,0
PINS,Square,1,6.946465053373141e-05,0.01,4.511697124820834e-05,4.4718213639156504e-05,0.005160267177103806,1.243375125,73.28623245715498,0.005090802526570075,0.9688831273540794,,"[52, 78, 98, 109, 114, 118, 121, 123, 127, 133, 159]","[0.007639582999999561, 0.011033666999999525, 0.013865875000000472, 0.015318583999999191, 0.016071458000002536, 0.016642334000000147, 0.016860333000000338, 0.01729195799999772, 0.01788779199999979, 0.01861570800000223, 0.022250124999999343]",0.04394831937949226,4.353794152121062e-05,0.04394831937949226,8.994680213456387e-05,11
PINS,Square,2,6.946465053373141e-05,0.01,1.2083166149841482e-05,1.1963710192177916e-05,0.0025652513969306357,2.8034329589999984,35.92887500650381,0.002495786746396904,0.5028839963340076,,"[57, 115, 127, 134, 137, 157, 174, 176, 177, 150, 146, 146, 147, 151]","[0.008012458999999694, 0.01606291700000284, 0.017742166000001447, 0.01854283300000148, 0.018866042000002636, 0.021710624999997208, 0.024216750000000786, 0.024297458999999577, 0.024356374999999986, 0.022783624999998864, 0.020283916000000346, 0.02023154100000113, 0.02049000000000234, 0.021114916999998457]",0.017630417109565102,1.1660272546414812e-05,0.017630417109565102,4.189970246974673e-05,14
PINS,Square,3,6.946465053373141e-05,0.01,4.125766952021922e-06,4.154661100755716e-06,0.0016843527305101308,3.825716750999998,23.247624044293207,0.0016148880799763993,0.3433966228317873,,"[62, 139, 136, 150, 187, 156, 198, 200, 202]","[0.00865562499999939, 0.01921641700000265, 0.018615916999998205, 0.02065687500000024, 0.025716541000001314, 0.02155529200000217, 0.027344915999997, 0.02743787500000039, 0.02779245800000041]",0.01544308743267083,4.0085813641220225e-06,0.01544308743267083,3.9798430455978094e-05,9
PINS,Square,4,6.946465053373141e-05,0.01,2.53671342742512e-06,2.557730349243732e-06,0.0012845649372367235,4.962345375999998,17.492354418639884,0.001215100286702992,0.23735396157331348,,"[62, 140, 142, 183, 193, 197, 201, 163, 206, 208]","[0.008750625000001122, 0.019587916000002537, 0.019564500000001317, 0.02548108299999896, 0.02647825000000026, 0.02741400000000027, 0.027684292, 0.022397542000000215, 0.028254290999999654, 0.028611459000000394]",0.014549059066024909,2.467799409815347e-06,0.014549059066024909,3.918752307279442e-05,10
PINS,Square,5,6.946465053373141e-05,0.01,1.5526293098001144e-06,1.561024642796001e-06,0.0010426077838005489,6.094855542999998,14.009184898933132,0.0009731431332668174,0.18835727678871408,,"[64, 145, 155, 192, 199, 203, 206, 209, 212, 214]","[0.008771416000001864, 0.020049249999999574, 0.02142600000000172, 0.02628316700000255, 0.027908291999999335, 0.027904624999997907, 0.02818737500000168, 0.02869187499999981, 0.029242708000001727, 0.029487958000000702]",0.014059255407965923,1.5061383203816726e-06,0.014059255407965923,3.892676563999952e-05,10
PINS,Square,6,6.946465053373141e-05,0.01,9.637304409250013e-07,9.643760692948445e-07,0.0008811271269112736,7.237032417999998,11.684539836321585,0.0008116624763775421,0.1548814994461681,,"[67, 151, 186, 200, 204, 209, 214, 216, 216, 216]","[0.009163875000002264, 0.020982249999999425, 0.025502333000002153, 0.027520041999999023, 0.028084041999999698, 0.02872766600000176, 0.029338375000001804, 0.02984408300000041, 0.029579709000000065, 0.029425500000002103]",0.013749485016523585,9.304681767370609e-07,0.013749485016523585,3.879134605504484e-05,10
PINS,Square,7,6.946465053373141e-05,0.01,2.946489311689247e-07,2.9231790385491663e-07,0.0007652125355009358,8.737459167999997,10.015855253304059,0.0006957478849672044,0.131552630568381,,"[71, 155, 190, 205, 211, 214, 218, 217, 217, 222, 221, 169, 219]","[0.009805874999997855, 0.021745334000002003, 0.026042792000001924, 0.028026166000000075, 0.028722458999997258, 0.02910262500000016, 0.03022591599999913, 0.029851125000000422, 0.029739249999998663, 0.030285083999999074, 0.03037454200000056, 0.02321608300000122, 0.029878416000002517]",0.013535770021646527,2.84336638289506e-07,0.013535770021646527,3.8711984741319875e-05,13
PINS,Square,8,6.946465053373141e-05,0.01,2.95354698843589e-07,2.941630381872577e-07,0.0006784343407491561,9.88497971,8.766612738082005,0.0006089696902154247,0.11340404230959387,,"[75, 160, 200, 211, 218, 222, 224, 223, 219, 219]","[0.01044645900000063, 0.022323292000002937, 0.027112582999997414, 0.028565875000005292, 0.02958591700000568, 0.030128832999999133, 0.03061491699999408, 0.03019924999999546, 0.030058875000001706, 0.029813042000000678]",0.01337902285843539,2.8501770510088505e-07,0.01337902285843539,3.8661489454089314e-05,10
PINS,Square,9,6.946465053373141e-05,0.01,2.3173206183596443e-07,2.3092690436368057e-07,0.0006111253684414306,10.922917002000002,7.797645475012843,0.0005416607179076992,0.09921221298055179,,"[78, 163, 204, 223, 227, 232, 234, 234, 227]","[0.010890582999998344, 0.022242250000005015, 0.02775212499999924, 0.030234583000002146, 0.030674957999998753, 0.031529999999996505, 0.031656250000004604, 0.031677625000000376, 0.030885957999998936]",0.013259419503451343,2.2362176976151602e-07,0.013259419503451343,3.862736660716762e-05,9
