algo,data_name,iter,opt,eta,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,cg_time,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
PINS,Uniform,0,0.002144739808710604,0.001,2.480917714426016e-18,3.0028103405359835e-17,0.5001658420169115,0.0,232.2058368971135,0.4980211022082009,1.0,,[],[],0.0008648719468752482,2.897230190177476e-17,0.0,0.0008648719468752482,0
PINS,Uniform,1,0.002144739808710604,0.001,8.202793787256033e-06,7.0036301311543085e-06,0.002458661580413101,0.4528107500000118,0.14636823097493756,0.00031392177170249703,0.995084307295959,,"[145, 205]","[0.020119250000007582, 0.02892004200000997]",0.0007365678903665619,7.915707689138933e-06,0.0007365678903665619,1.1282629547820333e-05,2
PINS,Uniform,2,0.002144739808710604,0.001,4.93990138981529e-06,8.327485946861144e-06,0.0022315292084797056,0.8907211250000131,0.0404661672323221,8.678939976910181e-05,0.09238049422614428,,"[174, 179, 255]","[0.02469225000000108, 0.025152500000004352, 0.03566183300000603]",9.40412719611733e-05,8.03468782820906e-06,9.40412719611733e-05,1.8646420346968035e-06,3
PINS,Uniform,3,0.002144739808710604,0.001,1.1553135215499995e-06,7.14570620212213e-07,0.0021807064876351507,1.2224894580000125,0.016769716670746053,3.596667892454691e-05,0.02277484007443459,,"[219, 204, 285]","[0.030363540999999827, 0.028520459000006326, 0.04022354099998893]",8.573956972774736e-05,1.114879193977483e-06,8.573956972774736e-05,1.7609701314132914e-06,3
PINS,Uniform,4,0.002144739808710604,0.001,8.897981442027187e-07,7.623362085833599e-07,0.0021646269614831954,1.5497870000000091,0.009272524663281895,1.988715277259157e-05,0.0073735398335943204,,"[228, 285, 313]","[0.032018708999999035, 0.03982645899999682, 0.04408791699999881]",8.380032496300531e-05,8.586564766250377e-07,8.380032496300531e-05,1.740940459448975e-06,3
PINS,Uniform,5,0.002144739808710604,0.001,3.9955269576256633e-07,2.893568436785575e-07,0.0021571657603454675,1.8925204160000106,0.005793687226952759,1.2425951634863729e-05,0.0034468761918291222,,"[246, 337, 372]","[0.03387437499999635, 0.04656533300000376, 0.05199866700000655]",8.314412513256382e-05,3.8556892055211887e-07,8.314412513256382e-05,1.7346711260446022e-06,3
PINS,Uniform,6,0.002144739808710604,0.001,3.566815999262511e-07,2.773542505509979e-07,0.0021533421876395982,2.2224613740000194,0.004010919596893247,8.602378928994434e-06,0.0017724983291302352,,"[255, 356, 395]","[0.035460040999993225, 0.049537166999996884, 0.05545854199999667]",8.286151717709273e-05,3.4419825200251334e-07,8.286151717709273e-05,1.732164367323847e-06,3
PINS,Uniform,7,0.002144739808710604,0.001,3.8897032694299764e-07,2.968141376169605e-07,0.0021511251083281193,2.558138999000022,0.002977190795630489,6.3852996175155045e-06,0.0010295991618077187,,"[256, 324, 430]","[0.03580237500000294, 0.045083667000000105, 0.060133167000003596]",8.267438631003054e-05,3.7535691956722206e-07,8.267438631003054e-05,1.7309836773360207e-06,3
PINS,Uniform,8,0.002144739808710604,0.001,4.343573485746867e-07,3.297649129438592e-07,0.002149715793542586,2.909319041000032,0.002320087878153348,4.975984831982402e-06,0.0006551524037708987,,"[249, 326, 442]","[0.03253349999999955, 0.043339000000003125, 0.05898558299999479]",8.250588096080796e-05,4.191554600931638e-07,8.250588096080796e-05,1.7303490572096211e-06,3
PINS,Uniform,9,0.002144739808710604,0.001,4.748164996932301e-07,3.582268690387431e-07,0.002148770732571919,3.2109100410000337,0.0018794465626757826,4.03092386131506e-06,0.0004396213553001563,,"[256, 335, 456]","[0.030924125000012737, 0.04064145799999608, 0.05561641699999598]",8.237597308359262e-05,4.581985985544344e-07,8.237597308359262e-05,1.7299733279684878e-06,3
PINS,Uniform,10,0.002144739808710604,0.001,5.083637578486807e-07,3.8122595764475383e-07,0.0021481048850808654,3.5118050820000377,0.001568990493203319,3.3650763702616424e-06,0.000309873678452632,,"[256, 347, 488]","[0.028721750000002544, 0.03884437499999649, 0.05479995899999324]",8.228001874166354e-05,4.905717504607022e-07,8.228001874166354e-05,1.7297379758088647e-06,3
PINS,Uniform,11,0.002144739808710604,0.001,4.111467524976106e-09,3.0363661328913807e-09,0.0021470923069060927,3.8969181230000345,0.0010968688070853861,2.352498195488939e-06,0.00047138209209676685,,"[261, 357, 507, 476]","[0.0275576669999964, 0.03678162499998905, 0.05308325000000025, 0.04956775000000846]",8.219849510378752e-05,3.967572018165444e-09,8.219849510378752e-05,1.7295826852380219e-06,4
PINS,Uniform,12,0.002144739808710604,0.001,6.431153548117188e-09,4.697009536366294e-09,0.0021467154895473766,4.286529665000046,0.0009211750669003296,1.9756808367727904e-06,0.00017550123835110431,,"[265, 372, 518, 471]","[0.025619000000006054, 0.037205000000000155, 0.05085866699999997, 0.04621704199999499]",8.213307283683932e-05,6.206072334764083e-09,8.213307283683932e-05,1.729482888384983e-06,4
PINS,Uniform,13,0.002144739808710604,0.001,5.636861089051496e-09,4.107045126469221e-09,0.0021464228139207063,4.654940457000052,0.0007847130002749722,1.683005210102468e-06,0.00013633647686216283,,"[266, 376, 526, 491]","[0.024035707999999545, 0.034815374999993765, 0.04891487499999414, 0.04578920800000219]",8.207323957822501e-05,5.439578980338968e-09,8.207323957822501e-05,1.7294124000463244e-06,4
PINS,Uniform,14,0.002144739808710604,0.001,5.898818815726043e-09,4.285498995562136e-09,0.002146192964308852,5.009517207000059,0.0006775440043338724,1.453155598248046e-06,0.00010708496497694847,,"[269, 380, 536, 498]","[0.02300412499999993, 0.03267395899999315, 0.04658758399999385, 0.04257958300000553]",8.202234903248367e-05,5.6923685597245435e-09,8.202234903248367e-05,1.7293616257915613e-06,4
PINS,Uniform,15,0.002144739808710604,0.001,6.133282694212076e-09,4.445847287432358e-09,0.002146008709030889,5.3594527070000595,0.0005916336868145343,1.2689003202853537e-06,8.585214891058448e-05,,"[271, 394, 566, 509]","[0.022272041999997327, 0.03280508299999951, 0.04636566700000344, 0.04218316700000457]",8.19779106365663e-05,5.918626536444701e-09,8.19779106365663e-05,1.7293241344971628e-06,4
PINS,Uniform,16,0.002144739808710604,0.001,6.362440891959783e-09,4.604671711869906e-09,0.0021458586552317725,5.705665832000065,0.0005216700490309728,1.1188465211687398e-06,6.992226941351802e-05,,"[274, 407, 580, 521]","[0.022040708000005793, 0.03289579200000503, 0.04580845899999986, 0.04100849999998957]",8.193781243234121e-05,6.139764523694719e-09,8.193781243234121e-05,1.72929593380738e-06,4
PINS,Uniform,17,0.002144739808710604,0.001,6.583845646648519e-09,4.760185203646859e-09,0.0021457346808272334,6.047206957000071,0.00046386611214518827,9.948721166296026e-07,5.777379802573569e-05,,"[275, 416, 594, 530]","[0.021237458000001652, 0.032484708000012574, 0.04513216700000555, 0.041196042000009925]",8.19005101698928e-05,6.353420427348468e-09,8.19005101698928e-05,1.7292743597555292e-06,4
PINS,Uniform,18,0.002144739808710604,0.001,6.7936383605932695e-09,4.91086333521783e-09,0.0021456309503055395,6.3864507480000725,0.00041550102782464534,8.911415949356891e-07,4.83426597988913e-05,,"[281, 413, 595, 525]","[0.021285292000001732, 0.03135270899998943, 0.04544174999999484, 0.040116833999988444]",8.186538540368485e-05,6.555870695143546e-09,8.186538540368485e-05,1.729257573244549e-06,4
PINS,Uniform,19,0.002144739808710604,0.001,6.986175713383872e-09,5.0526447049337286e-09,0.0021455431663448816,6.719314914000066,0.0003745711395923624,8.033576342778362e-07,4.0912888884899975e-05,,"[284, 412, 584, 539]","[0.02051674999999875, 0.02978362500000742, 0.04285624999999982, 0.039100665999995954]",8.1832525444093e-05,6.74166951484554e-09,8.1832525444093e-05,1.7292442980045325e-06,4
PINS,Uniform,20,0.002144739808710604,0.001,7.155770997425652e-09,5.181769759852054e-09,0.0021454681563306886,7.050088330000065,0.0003395971936207448,7.283476200848141e-07,3.4960850645950025e-05,,"[287, 416, 594, 552]","[0.02019920899999761, 0.02940708400001313, 0.041889459000003626, 0.03985412499999086]",8.180213568593937e-05,6.905329205525184e-09,8.180213568593937e-05,1.7292336416684977e-06,4
PINS,Uniform,21,0.002144739808710604,0.001,7.297879231987116e-09,5.294601377157806e-09,0.0021454035110087194,7.381782080000065,0.00030945585819785115,6.63702298115635e-07,3.0131102984879288e-05,,"[289, 425, 593, 563]","[0.020402375000003303, 0.029922833000000537, 0.04122508400000413, 0.03975666600000238]",8.177440049150391e-05,7.042463854302504e-09,8.177440049150391e-05,1.7292249688234514e-06,4
PINS,Uniform,22,0.002144739808710604,0.001,7.412112886426942e-09,5.390862869722285e-09,0.002145347384192504,7.70805416400006,0.0002832863359147393,6.075754819001057e-07,2.616142647642995e-05,,"[286, 419, 592, 574]","[0.0197128750000104, 0.02899370800000156, 0.04120779200000868, 0.03951737500000263]",8.174941479948912e-05,7.152699493556609e-09,8.174941479948912e-05,1.7292178204899806e-06,4
PINS,Uniform,23,0.002144739808710604,0.001,7.50397936717237e-09,5.474892546619945e-09,0.0021452983513214024,8.033196664000059,0.0002604244153673943,5.58542610798636e-07,2.285544591181691e-05,,"[289, 429, 609, 585]","[0.019568417000002114, 0.028671291999998516, 0.040033082999997305, 0.039722582999999645]",8.172717863503711e-05,7.2413507783347884e-09,8.172717863503711e-05,1.7292118599320291e-06,4
PINS,Uniform,24,0.002144739808710604,0.001,7.581387986699958e-09,5.553235837369502e-09,0.002145255285106512,8.356909873000063,0.00024034449018702907,5.154763959083764e-07,2.0074697239073035e-05,,"[290, 454, 630, 587]","[0.019082957999998484, 0.030262500000006298, 0.04200108400000602, 0.038997583000011105]",8.170764285941058e-05,7.3160502064433096e-09,8.170764285941058e-05,1.7292068365597851e-06,4
PINS,Uniform,25,0.002144739808710604,0.001,7.656572574170896e-09,5.636135444356378e-09,0.002145217297203215,8.680928331000061,0.00022263236345599865,4.774884926114081e-07,1.7707870741864698e-05,,"[296, 467, 593, 596]","[0.01909612500000435, 0.030314875000001962, 0.03786354199999664, 0.038734375000004206]",8.169069839987335e-05,7.388603440449151e-09,8.169069839987335e-05,1.7292025644719224e-06,4
PINS,Uniform,26,0.002144739808710604,0.001,7.734583457991589e-09,5.729157025043058e-09,0.002145183656174155,8.999719039000055,0.00020694699736941,4.438474635513022e-07,1.56818747937399e-05,,"[296, 433, 614, 613]","[0.019157290999999077, 0.027889958000002935, 0.0386029160000021, 0.03899158299999783]",8.167613040534697e-05,7.463884054458411e-09,8.167613040534697e-05,1.7291989094884308e-06,4
PINS,Uniform,27,0.002144739808710604,0.001,7.820039347452388e-09,5.837278000882378e-09,0.002145153743448395,9.324910539000058,0.00019299997888333695,4.1393473779139864e-07,1.3944132789661305e-05,,"[299, 428, 692, 681]","[0.01854570800000488, 0.027105540999997402, 0.043742958000009935, 0.042827333000005297]",8.166361897115579e-05,7.546349109515383e-09,8.166361897115579e-05,1.7291957738324669e-06,4
