algo,m,n,iter,opt,eta,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,cg_time,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
BISN,1000,1000,0,6.946465053373141e-05,0.0001,2.480917714426016e-18,3.0028103405359835e-17,0.16583501934216086,0.0,2386.3296427458863,0.16576555469162713,1.0,,[],[],0.0006385251024598423,2.897230190177476e-17,0.0,0.0006385251024598423,0
BISN,1000,1000,1,6.946465053373141e-05,0.0001,4.5952239210485456e-18,1.537787569384438e-05,0.0001311133336673367,0.22602741700000029,0.8874828083050565,6.16486831336053e-05,0.9992093748703534,,"[0, 183, 167, 182]","[0.0008788749999999457, 0.02486612499999996, 0.02351649999999994, 0.025523249999999997]",1.4837182728313724e-05,1.4837182728313724e-05,3.2936821087787823e-21,1.9160305920961715e-07,4
BISN,1000,1000,2,6.946465053373141e-05,0.0001,4.228176878861231e-18,1.4309636536483234e-07,9.365565282627462e-05,0.4169102920000005,0.3482491037768378,2.4191002292543203e-05,0.28568933298653243,,"[201, 197, 205]","[0.028295916999999893, 0.0201532499999999, 0.02204633300000003]",1.6186583475504205e-07,1.3806503335993516e-07,3.695872778366289e-21,1.6186583475504205e-07,3
BISN,1000,1000,3,6.946465053373141e-05,0.0001,4.426116099955724e-18,9.849345494098396e-06,8.536917925529399e-05,0.5574104590000009,0.2289585940382652,1.5904528721562573e-05,0.08847809310935582,,"[195, 186, 210]","[0.02240262500000023, 0.0163909160000002, 0.01936608299999998]",9.503038115253358e-06,9.503038115253358e-06,3.174714717614819e-21,9.718401261783896e-08,3
BISN,1000,1000,4,6.946465053373141e-05,0.0001,4.240843672889423e-18,2.697065788782322e-06,8.128392351805042e-05,0.7715431250000011,0.17014802339759372,1.1819272984319004e-05,0.04785398867460976,,"[213, 226, 232, 242, 248]","[0.020034165999999853, 0.018399749999999937, 0.019243583000000175, 0.019990375000000338, 0.021068083000000293]",2.602235753177877e-06,2.602235753177877e-06,3.3751408590730388e-21,4.7093367562219844e-08,5
BISN,1000,1000,5,6.946465053373141e-05,0.0001,4.2878933686466345e-18,1.3358563750876994e-07,7.906592712958308e-05,0.8716300420000012,0.13821816596038838,9.60127659585167e-06,0.027287024204420852,,"[254, 283]","[0.021332292000000308, 0.021396208000000083]",1.288887069355938e-07,1.288887069355938e-07,3.577267794424178e-21,3.757317567841415e-08,2
BISN,1000,1000,6,6.946465053373141e-05,0.0001,4.190443978592986e-18,2.460015481545385e-07,7.72521854455546e-05,1.3018917500000013,0.11210788295899687,7.787534911823181e-06,0.022939611914698763,,"[271, 319, 295]","[0.021874457999999652, 0.022781332999999737, 0.021065208000000002]",2.3735202404308708e-07,2.3735202404308708e-07,3.370530271553777e-21,3.367087640997834e-08,3
BISN,1000,1000,7,6.946465053373141e-05,0.0001,4.127943721377803e-18,8.34844992493028e-08,7.611734107403924e-05,1.4026710830000015,0.09577087754983148,6.652690540307827e-06,0.014690126434224493,,"[301, 319]","[0.022654209000000147, 0.021736625000000398]",8.054914703462621e-08,8.054914703462621e-08,3.9641712121094426e-21,2.6691274428498505e-08,2
BISN,1000,1000,8,6.946465053373141e-05,0.0001,4.189983643097281e-18,1.932517097450598e-08,7.522229835828852e-05,1.7841756660000019,0.08288601152267,5.757647824557107e-06,0.011758722823490553,,"[317, 341]","[0.02277604199999983, 0.021949499999999844]",2.329567052843458e-08,1.8645689347028966e-08,3.285928872413828e-21,2.329567052843458e-08,2
BISN,1000,1000,9,6.946465053373141e-05,0.0001,4.281801900873758e-18,1.5415784417021406e-08,7.453836500507437e-05,2.0935263740000023,0.07304023603889294,5.0737144713429525e-06,0.009092162405840576,,"[315, 357]","[0.021383042000000074, 0.022474208000000218]",2.0686198644442996e-08,1.4873758563882464e-08,3.776384965292603e-21,2.0686198644442996e-08,2
BISN,1000,1000,10,6.946465053373141e-05,0.0001,4.2656368978731854e-18,8.786577167566455e-09,7.399277248429876e-05,2.1962067900000024,0.06518598907178733,4.528121950567342e-06,0.007319620181345112,,"[334, 374]","[0.02272404200000011, 0.02347337500000002]",1.854252285414577e-08,8.477637196911263e-09,3.7751229099594085e-21,1.854252285414577e-08,2
BISN,1000,1000,11,6.946465053373141e-05,0.0001,4.30176548367237e-18,6.427665997254739e-09,7.35492631997107e-05,2.294252665000002,0.05880131310810854,4.08461266597928e-06,0.00599395413494169,,"[296, 381]","[0.019397000000000553, 0.023101042000000405]",1.6812431503074695e-08,6.2016663950543254e-09,3.2728186681921875e-21,1.6812431503074695e-08,2
BISN,1000,1000,12,6.946465053373141e-05,0.0001,4.117213432498374e-18,4.876078126334571e-09,7.318098304426388e-05,2.3953562900000014,0.0534996214906149,3.716332510532471e-06,0.005007258256915581,,"[348, 392]","[0.022660042000000047, 0.0234610420000001]",1.5367069169254574e-08,4.704633045442003e-09,3.376810721190666e-21,1.5367069169254574e-08,2
BISN,1000,1000,13,6.946465053373141e-05,0.0001,4.2477014116858824e-18,3.794785373369704e-09,7.287032260541284e-05,2.494293207000001,0.04902741243947759,3.4056720716814273e-06,0.0042450979192659825,,"[318, 414]","[0.019930582999999835, 0.024389499999999842]",1.4145612800828918e-08,3.6613590277593707e-09,3.944404497862921e-21,1.4145612800828918e-08,2
BISN,1000,1000,14,6.946465053373141e-05,0.0001,4.332485509060215e-18,2.9890585323991487e-09,7.260468776765194e-05,2.5951576660000013,0.045203383444587394,3.1400372339205235e-06,0.003645308930485952,,"[327, 424]","[0.020389499999999394, 0.02456537499999989]",1.3098038264525079e-08,2.883961901745895e-09,3.570094720699935e-21,1.3098038264525079e-08,2
BISN,1000,1000,15,6.946465053373141e-05,0.0001,4.474392455636362e-18,2.381040876095552e-09,7.237497315791288e-05,2.6971447910000013,0.04189645527358174,2.910322624181464e-06,0.003163908788840022,,"[337, 431]","[0.020581082999999722, 0.024376584000000534]",1.2190550782795989e-08,2.297322417319015e-09,4.1977911108910606e-21,1.2190550782795989e-08,2
BISN,1000,1000,16,6.946465053373141e-05,0.0001,4.279405101723057e-18,1.918368146888011e-09,7.217442275576157e-05,2.818191250000001,0.03900936953125982,2.7097722220301536e-06,0.0027709910401449837,,"[344, 444]","[0.02084037499999969, 0.025704832999999816]",1.1396210021032424e-08,1.8509174675503161e-09,4.021730396136034e-21,1.1396210021032424e-08,2
