algo,m,n,iter,opt,eta,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,cg_time,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
BISN,1000,1000,0,0.002144739808710604,0.001,2.480917714426016e-18,3.0028103405359835e-17,0.5001658420169115,0.0,232.2058368971135,0.4980211022082009,1.0,,[],[],0.0008632518642845498,2.897230190177476e-17,0.0,0.0008632518642845498,0
BISN,1000,1000,1,0.002144739808710604,0.001,3.867051994958378e-18,5.043009581585476e-05,0.002187603916303379,6.706976499999996,0.019985691233355033,4.2864107592775064e-05,0.9956262428728001,,"[102, 96, 103, 118, 115, 131, 137, 131, 135, 144, 155, 149, 153, 157, 158, 165, 165, 173, 180, 167, 175, 174, 179, 198, 184, 189, 185, 198, 191, 195, 169, 201, 188, 190, 154, 193, 184, 193, 187, 184, 237, 253, 247, 240, 274, 213, 201, 206, 231, 234, 202, 242, 233, 246, 222, 218, 191, 226, 215, 236, 221, 215, 214, 208, 194, 252, 208, 201, 236, 225, 248, 203, 210, 212, 176, 318, 270, 204, 208, 145, 195, 164, 223, 192, 166, 204, 158, 175, 161, 195, 162, 207, 150]","[0.0032882080000007363, 0.0031197499999997547, 0.003270292000003394, 0.0037515829999996697, 0.003689749999999492, 0.004161749999997966, 0.004371709000000834, 0.004164166999998997, 0.004245374999999996, 0.0045546250000008115, 0.004914750000001078, 0.004734458000001496, 0.004820999999999742, 0.004957000000000988, 0.004979666000000549, 0.005234166999997569, 0.0052448749999989275, 0.005577541000000963, 0.005705625000000936, 0.005358624999999506, 0.0056054160000016395, 0.005631958999998687, 0.005670125000001747, 0.0064158749999982945, 0.0058131249999995305, 0.006077624999999642, 0.006008249999997162, 0.006358750000000413, 0.006086541999998474, 0.006160958000002381, 0.005402666999998473, 0.006457083000000807, 0.006019541000000572, 0.006066666000002385, 0.004908749999998463, 0.006143125000001248, 0.005842333000000366, 0.006154792000000242, 0.00594520799999998, 0.0058322500000009825, 0.007520040999999367, 0.007998499999999353, 0.007991999999998, 0.007739125000000513, 0.008687458000000703, 0.006773166999998637, 0.006441374999997862, 0.006517584000000909, 0.0074124169999976175, 0.007455207999999658, 0.006425499999998863, 0.0076952909999974395, 0.007395666999997275, 0.007800958000000691, 0.007028749999999917, 0.006985124999999925, 0.006049250000000228, 0.0072181250000014074, 0.006804917000000188, 0.0075829170000005774, 0.007118333000001087, 0.006840541000002531, 0.006776083999994853, 0.006654166000004125, 0.006244958000003464, 0.008053165999996281, 0.006638041999998734, 0.006367832999998768, 0.0074786660000043526, 0.0071744589999980235, 0.007865125000002138, 0.006523624999999811, 0.006716416000003278, 0.006739333999995267, 0.0056070829999939065, 0.010091082999998946, 0.008518041999998616, 0.006524709000004236, 0.006639249999999208, 0.004645957999997563, 0.006231208000002653, 0.00524474999999569, 0.007142374999993706, 0.0061046249999989755, 0.0053515829999994935, 0.006477707999998472, 0.005090542000004916, 0.005560875000000465, 0.00520462499999752, 0.006368165999994346, 0.0052257090000011885, 0.006679374999997378, 0.0048571660000007455]",4.865695116300882e-05,4.865695116300882e-05,4.990599268465715e-21,5.0387649067788674e-08,93
BISN,1000,1000,2,0.002144739808710604,0.001,3.690937004469276e-18,1.8120392443713796e-05,0.0021523126846553723,7.010393207999996,0.003530906599491544,7.572875944768503e-06,0.016132368106033478,,"[202, 174, 302, 233, 151, 199, 231, 211, 190]","[0.006261999999999546, 0.005401833000000522, 0.009222916999995334, 0.0071942080000013675, 0.004709832999999719, 0.0061150419999975725, 0.007368667000001494, 0.006538708999997311, 0.00586475000000064]",1.7483271366522828e-05,1.7483271366522828e-05,5.193877908255684e-21,1.0926211208716951e-08,9
BISN,1000,1000,3,0.002144739808710604,0.001,3.4667592282562908e-18,6.438712729967071e-06,0.0021476424050771385,7.113970832999996,0.0013533559431060617,2.9025963665346537e-06,0.002169888981062086,,"[289, 301, 295]","[0.008849709000003259, 0.009284375000000011, 0.009079958999997473]",6.212324719719372e-06,6.212324719719372e-06,4.996143178013692e-21,5.112516299953578e-09,3
BISN,1000,1000,4,0.002144739808710604,0.001,3.562156147882589e-18,9.980397326188107e-07,0.0021460825758935565,7.196611290999996,0.0006260746303580467,1.342767182952679e-06,0.0007262983725290846,,"[418, 427]","[0.012684124999999824, 0.012939750000001027]",9.629482106498107e-07,9.629482106498107e-07,4.779779169783205e-21,2.93065951950474e-09,2
BISN,1000,1000,5,0.002144739808710604,0.001,3.2750110205970588e-18,6.591151565166979e-08,0.0021449653868124948,7.289329373999998,0.0001051773744184805,2.255781018909754e-07,0.0005205713394306571,,"[484, 512]","[0.014798208000001978, 0.015568625000000225]",6.359403737509696e-08,6.359403737509696e-08,4.43175670727848e-21,2.098854484605869e-09,2
BISN,1000,1000,6,0.002144739808710604,0.001,3.362058470821316e-18,2.6720813256060516e-08,0.0021448506182557866,7.3883624159999925,5.166572874378517e-05,1.1080954518283975e-07,5.3506018052201e-05,,"[501, 555]","[0.015032208000000935, 0.01680445900000649]",2.5781297548660595e-08,2.5781297548660595e-08,4.434037621692463e-21,1.5111111464699583e-09,2
BISN,1000,1000,7,0.002144739808710604,0.001,3.3201755400611928e-18,4.686580598805021e-09,0.0021448126505351404,7.491139415999996,3.396301231539732e-05,7.284182453656113e-08,1.7701801851895096e-05,,"[610, 620]","[0.018457499999996685, 0.018708749999994723]",4.521798335466746e-09,4.521798335466746e-09,4.809544870504993e-21,1.1698030511827053e-09,2
BISN,1000,1000,8,0.002144739808710604,0.001,3.417468005400744e-18,3.600670213104633e-08,0.0021448113816441997,7.598384957,3.3371383001894024e-05,7.157293359589048e-08,5.916092206720495e-07,,"[660, 653]","[0.019881749999996146, 0.019622374999997305]",3.4740690430743174e-08,3.4740690430743174e-08,4.9335171482275974e-21,9.706331528713647e-10,2
BISN,1000,1000,9,0.002144739808710604,0.001,3.157986048836071e-18,2.7638620292946385e-07,0.002145413348976795,7.657186957,0.0003140428799128623,6.735402661912394e-07,0.0002806621308275063,,[676],[0.020164749999999287],2.666683408093071e-07,2.666683408093071e-07,4.501321011875852e-21,8.53306240585267e-10,1
