algo,m,n,iter,opt,eta,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,cg_time,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
BISN,1000,1000,0,0.002144739808710604,0.001,2.480917714426016e-18,3.0028103405359835e-17,0.5001658420169115,0.0,232.2058368971135,0.4980211022082009,1.0,,[],[],0.0008632518642845498,2.897230190177476e-17,0.0,0.0008632518642845498,0
BISN,1000,1000,1,0.002144739808710604,0.001,3.8639563478052744e-18,2.0146085073237554e-05,0.00215341367437999,6.481407291999999,0.00404425079170835,8.673865669386275e-06,0.9956946006834525,,"[0, 101, 95, 101, 117, 115, 133, 137, 130, 135, 136, 149, 152, 148, 153, 158, 174, 175, 176, 178, 174, 179, 172, 154, 190, 179, 205, 185, 194, 192, 184, 194, 154, 208, 186, 213, 241, 221, 208, 209, 212, 204, 203, 203, 222, 222, 228, 281, 254, 184, 215, 244, 175, 199, 143, 201, 130, 233, 165, 226, 179, 194, 199, 172, 171, 153, 203, 164, 173, 239, 214, 200, 205, 191, 192, 170, 175, 172, 165, 155, 140, 122, 116]","[9.408300000002257e-05, 0.004152125000000062, 0.00315416699999993, 0.0033711670000000638, 0.003854500000000094, 0.0038619579999998876, 0.004268833999999888, 0.004403125000000063, 0.0042115840000001015, 0.004398416999999988, 0.004242625000000277, 0.0047496249999996465, 0.004796958000000018, 0.004796875000000256, 0.004899167000000038, 0.0051216250000001295, 0.005496707999999906, 0.005592749999999924, 0.0056053750000000235, 0.00570258300000015, 0.005495707999999766, 0.005667374999999808, 0.005468832999999673, 0.004908334000000014, 0.0060213749999999955, 0.0057394999999997864, 0.006511791999999961, 0.005863208000000064, 0.006140499999999882, 0.00613241699999989, 0.0058313329999997165, 0.006147375000000288, 0.004866749999999698, 0.006668834000000068, 0.005992542000000434, 0.0066589999999999705, 0.0074332080000001355, 0.0069147499999999695, 0.006443917000000354, 0.006786874999999526, 0.00660345799999984, 0.00633999999999979, 0.007554208000000173, 0.006455958000000095, 0.007268416999999694, 0.006965791999999915, 0.007182999999999495, 0.008837415999999543, 0.008110792000000089, 0.0057532920000005205, 0.00664241600000004, 0.007679582999999823, 0.005421166999999727, 0.006438125000000738, 0.004706417000000407, 0.00638487499999929, 0.004239582999999492, 0.007416042000000012, 0.005238874999999865, 0.007063290999999694, 0.005750540999999387, 0.006107333000000104, 0.006260582999999542, 0.005520624999999946, 0.005473208000000618, 0.00492979100000035, 0.006535416000000183, 0.005260791000000431, 0.005579667000000121, 0.007784667000000134, 0.006841624999999851, 0.006392625000000152, 0.0066007920000004106, 0.006130875000000202, 0.00628783300000002, 0.005572125000000483, 0.005681000000000935, 0.005518957999999685, 0.005312082999999745, 0.005000707999998966, 0.004393083000000075, 0.0041620409999989505, 0.0038537909999991626]",1.9437739740049432e-05,1.9437739740049432e-05,4.550655294501769e-21,5.037558072311158e-08,83
BISN,1000,1000,2,0.002144739808710604,0.001,3.763090487366905e-18,1.7754414451332953e-05,0.0021513380669922594,7.229349958999999,0.003076484268561434,6.598258281655632e-06,0.0009638683976167518,,"[140, 200, 174, 300, 232, 180, 198, 227, 213, 190]","[0.004553458000000177, 0.006289832999998524, 0.005519084000001229, 0.009375999999999607, 0.0072150830000001775, 0.005613624999998734, 0.006179291000000475, 0.007037083000000166, 0.006636791000000031, 0.006002167000000114]",1.7130161323523225e-05,1.7130161323523225e-05,5.058689990297634e-21,1.0905184033456797e-08,10
BISN,1000,1000,3,0.002144739808710604,0.001,3.5036428211497885e-18,6.946837305378624e-06,0.0021477837854068076,7.363116041999999,0.0014192755148391821,3.043976696203831e-06,0.0016521260140304065,,"[206, 290, 300, 289]","[0.006460334000001566, 0.008978541999999479, 0.00931983399999936, 0.008926416000001325]",6.702583408515112e-06,6.702583408515112e-06,4.984532885731791e-21,5.12458704152597e-09,4
BISN,1000,1000,4,0.002144739808710604,0.001,3.4235223377632034e-18,9.870189329393194e-07,0.0021460247692018145,7.473818375999998,0.0005991218543116478,1.2849604912107057e-06,0.0008189912862480957,,"[225, 419, 424]","[0.006948500000000024, 0.012700625000000798, 0.012918624999999295]",9.523149072006089e-07,9.523149072006089e-07,4.138547212495137e-21,2.9301511088589565e-09,3
BISN,1000,1000,5,0.002144739808710604,0.001,3.105111444940027e-18,7.390228482915832e-08,0.002144973336421248,7.598415458999999,0.00010888393533608397,2.3352771064437047e-07,0.0004899443825885578,,"[429, 484, 512]","[0.013082083000000466, 0.014623291999999566, 0.015531041000000911]",7.130384754566773e-08,7.130384754566773e-08,4.7781596794746176e-21,2.099136253592158e-09,3
BISN,1000,1000,6,0.002144739808710604,0.001,3.3326272344436846e-18,2.674798278178014e-08,0.002144850362389703,7.730295292,5.1546429385191774e-05,1.1055367909931085e-07,5.733126349730481e-05,,"[422, 509, 556]","[0.012912874999999602, 0.015320832999998757, 0.01700675000000018]",2.5807511781742544e-08,2.5807511781742544e-08,4.425564930308322e-21,1.511092448780368e-09,3
BISN,1000,1000,7,0.002144739808710604,0.001,3.069063958472102e-18,4.688900850764615e-09,0.0021448126702650087,7.868397959,3.397221150509231e-05,7.286155440490785e-08,1.7573312038611403e-05,,"[445, 612, 618]","[0.013448916999999838, 0.018015000000000114, 0.018520333000001443]",4.524037006332969e-09,4.524037006332969e-09,4.721801587002711e-21,1.169803482971137e-09,3
BISN,1000,1000,8,0.002144739808710604,0.001,3.1905985349000918e-18,3.6154958901311866e-08,0.0021448114680717063,8.009082208999999,3.341168043391514e-05,7.165936110253499e-08,5.60512029343955e-07,,"[451, 657, 654]","[0.013686082999999627, 0.01959808299999999, 0.019796250000000626]",3.488373442686677e-08,3.488373442686677e-08,4.684667940113814e-21,9.707401736640327e-10,3
BISN,1000,1000,9,0.002144739808710604,0.001,3.2516887965358126e-18,2.824457319188537e-07,0.002145423059593704,8.491875251,0.00031857052325200364,6.832508831003392e-07,0.000285149315500283,,"[554, 676]","[0.01666616600000026, 0.019943542000000036]",2.7251481405782476e-07,2.7251481405782476e-07,4.808836955563248e-21,8.531664380713279e-10,2
BISN,1000,1000,10,0.002144739808710604,0.001,3.131902260756579e-18,2.4723500519952986e-07,0.002145205775681422,8.596019209,0.0002172603729953127,4.659669708183614e-07,0.00010127788610751978,,"[635, 656]","[0.01853950000000104, 0.01910445900000113]",2.38542112188447e-07,2.38542112188447e-07,5.004933524674589e-21,7.010720415062593e-10,2
BISN,1000,1000,11,0.002144739808710604,0.001,3.0334358480176244e-18,2.0450746295683356e-07,0.0021451085408303876,8.696751749999999,0.00017192394074387452,3.687321197837906e-07,4.5326584580765576e-05,,"[656, 700]","[0.019417958000000013, 0.02066958399999841]",1.9731688938082632e-07,1.9731688938082632e-07,4.15633512779979e-21,6.046322249669327e-10,2
BISN,1000,1000,12,0.002144739808710604,0.001,3.2990871225274865e-18,1.4496458013729077e-07,0.002145009765796101,8.795595166,0.00012586938723318258,2.6995708549701694e-07,4.604663699140236e-05,,"[675, 721]","[0.020041334000000077, 0.021100415999999456]",1.3986756086806142e-07,1.3986756086806142e-07,4.6735058120944504e-21,5.656912446272253e-10,2
BISN,1000,1000,13,0.002144739808710604,0.001,3.2188749871706797e-18,9.126936985925934e-08,0.0021449154334609926,8.892876499,8.188627341906847e-05,1.756247503888371e-07,4.397757838327102e-05,,"[682, 738]","[0.02018587500000102, 0.021814792000000693]",8.806029812309807e-08,8.806029812309807e-08,4.962388274140955e-21,5.22755071729657e-10,2
BISN,1000,1000,14,0.002144739808710604,0.001,3.1998676107594125e-18,5.276494977373333e-08,0.0021448474293677125,9.003107041,5.0178887281141016e-05,1.0762065710866534e-07,3.170478995082884e-05,,"[667, 749]","[0.019713416000000095, 0.02175879199999997]",5.090971061474753e-08,5.090971061474753e-08,4.418878244238393e-21,4.744277210222667e-10,2
BISN,1000,1000,15,0.002144739808710604,0.001,3.0798621145945278e-18,2.985155357148239e-08,0.0021448064067306934,9.104454208,3.105179463685366e-05,6.659802008956647e-08,1.912613291621963e-05,,"[651, 834]","[0.019008708000001207, 0.024408749999999202]",2.880195963877015e-08,2.880195963877015e-08,5.393209265768952e-21,4.3080257880849163e-10,2
BISN,1000,1000,16,0.002144739808710604,0.001,3.1886478516192155e-18,1.879008557382795e-08,0.0021447866250276877,9.208017166,2.182843666804837e-05,4.681631708388159e-08,9.223071575880795e-06,,"[703, 846]","[0.020875792000000004, 0.025026457999999252]",1.8129417787603442e-08,1.8129417787603442e-08,4.854298665469485e-21,3.96807978263012e-10,2
BISN,1000,1000,17,0.002144739808710604,0.001,3.1262305052772007e-18,1.1995930087921604e-08,0.0021447759010362415,9.315655583,1.682830033327818e-05,3.6092325637719636e-08,5.000027191993291e-06,,"[721, 885]","[0.0216486249999992, 0.025927292000000435]",1.1574147837715673e-08,1.1574147837715673e-08,5.409878376572824e-21,3.628104078456504e-10,2
BISN,1000,1000,18,0.002144739808710604,0.001,3.115873069114099e-18,7.801630044153515e-09,0.002144768733650432,9.429224041,1.3486456357465595e-05,2.8924939828294666e-08,3.341787739204861e-06,,"[724, 918]","[0.021528125000001452, 0.027035249999999067]",7.527321253490382e-09,7.527321253490382e-09,4.7010913373299656e-21,3.3173587530850933e-10,2
BISN,1000,1000,19,0.002144739808710604,0.001,3.2389972846695317e-18,7.322619951375402e-09,0.0021447640081476795,9.536259832,1.128315750817704e-05,2.419943707573924e-08,2.2032691349955214e-06,,"[739, 939]","[0.0219699999999996, 0.027475042000000727]",7.065153369138169e-09,7.065153369138169e-09,4.701335010370589e-21,3.0127247324660783e-10,2
BISN,1000,1000,20,0.002144739808710604,0.001,3.140153004787479e-18,8.394365214316038e-09,0.002144761020926535,9.643432832,9.89034466796267e-06,2.1212215931248196e-08,1.3927971250650317e-06,,"[772, 956]","[0.023303291999999587, 0.028645125000000604]",8.099215590802514e-09,8.099215590802514e-09,5.335111301243773e-21,2.7308302203335565e-10,2
BISN,1000,1000,21,0.002144739808710604,0.001,3.0042929673052347e-18,8.215997394840229e-09,0.002144758471271857,9.749883707,8.701550266157442e-06,1.8662561253324217e-08,1.1887826443351393e-06,,"[787, 931]","[0.023468250000000523, 0.0279352080000006]",7.927119263383714e-09,7.927119263383714e-09,4.3759660708540816e-21,2.479028077793308e-10,2
