algo,m,n,iter,opt,eta,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,cg_time,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
BISN,5000,5000,0,5.813596238851425e-05,0.0001,1.8820401196685e-18,3.2524927812438965e-17,0.16585476616235323,0.0,2851.877278507402,0.1657966301999647,1.0,,[],[],0.00012831981643463493,3.2001338145247454e-17,0.0,0.00012831981643463493,0
BISN,5000,5000,1,5.813596238851425e-05,0.0001,2.446019314392777e-18,9.218001895692964e-05,0.00013853536255297927,13.600023583999928,1.382954661129843,8.039940016446503e-05,0.99916471883348,,"[274, 514, 321, 153, 187, 262]","[0.9356227079999826, 1.822418584000161, 1.1620241670000269, 0.5232362079998438, 0.6523417920000156, 0.9417299169999751]",9.069609543446429e-05,9.069609543446429e-05,1.1733370211442885e-21,6.422469961418519e-08,6
BISN,5000,5000,2,5.813596238851425e-05,0.0001,2.3478056728641424e-18,1.4139082565369118e-05,8.302162135026372e-05,21.903058542000053,0.42805963708731964,2.4885658961749475e-05,0.4007189224446989,,"[69, 120, 203, 227, 257, 290]","[0.1605767089999972, 0.2901350829999956, 0.4965744580001683, 0.5587632500000836, 0.6535208330001296, 0.7737652499999967]",1.391147014521292e-05,1.391147014521292e-05,7.988474026654689e-22,1.174997605331442e-07,6
BISN,5000,5000,3,5.813596238851425e-05,0.0001,2.465405110329635e-18,5.139487685080589e-06,7.46205675078514e-05,37.537903083999936,0.2835526314877684,1.6484605119337146e-05,0.10119115606004295,,"[59, 126, 173, 246, 254, 303, 354]","[0.10985112500020477, 0.24160279200009427, 0.34325399999988804, 0.49748808300000746, 0.5146347079999032, 0.6263312909998149, 0.7489857919999849]",5.056751678344947e-06,5.056751678344947e-06,1.8880689236176693e-21,4.110769313751196e-08,7
BISN,5000,5000,4,5.813596238851425e-05,0.0001,2.4133068540304963e-18,4.484640703969208e-06,7.049309694138685e-05,49.33949183399977,0.21255577520660363,1.2357134552872598e-05,0.055312773734001223,,"[58, 128, 179, 205, 291, 333, 385]","[0.09195899999986068, 0.20950874999994085, 0.29884279199995945, 0.3588425410000582, 0.507025583000086, 0.5874069999999847, 0.7025378329999512]",4.412446491972626e-06,4.412446491972626e-06,6.364575165821397e-22,6.165543807212243e-08,7
BISN,5000,5000,5,5.813596238851425e-05,0.0001,2.3726399209718615e-18,1.407494947483768e-06,6.815996609397467e-05,51.43606837599987,0.17242345862396585,1.0024003705460422e-05,0.033097295318889344,,[392],[0.6140017500001704],1.384836947583614e-06,1.384836947583614e-06,7.591317077407705e-22,1.1168096667480974e-07,1
BISN,5000,5000,6,5.813596238851425e-05,0.0001,2.3782554814210785e-18,1.1724154155558928e-07,6.64169411852382e-05,53.50547379299974,0.14244158790015993,8.280978796723944e-06,0.025572561264677048,,[430],[0.6240787500000806],2.034756955613375e-07,1.1535417503849486e-07,4.3483639349365405e-21,2.034756955613375e-07,1
BISN,5000,5000,7,5.813596238851425e-05,0.0001,2.349904020578576e-18,1.008909146601599e-06,6.517915459096039e-05,75.21927145899986,0.12115035019765392,7.043192202446138e-06,0.01863660945820426,,"[57, 151, 192, 240, 281, 301, 331, 353]","[0.06697329100006755, 0.18381766600009541, 0.23803454199992302, 0.3028583329999037, 0.3617664580001474, 0.39426270900003146, 0.44257029199980025, 0.4906224579999616]",9.926676223362146e-07,9.926676223362146e-07,7.253428571752345e-22,1.5732297490357462e-08,8
BISN,5000,5000,8,5.813596238851425e-05,0.0001,2.3366520692683646e-18,6.761803490663503e-07,6.42942373007664e-05,81.55522279199977,0.10592883749128106,6.158274912252154e-06,0.013576691746730827,,"[211, 329, 348, 357, 377]","[0.26222016600013376, 0.40623691700011477, 0.4249482499999431, 0.4538036250000914, 0.4775555839999015]",6.652951275534624e-07,6.652951275534624e-07,7.913732468154225e-22,4.804001015820875e-09,5
BISN,5000,5000,9,5.813596238851425e-05,0.0001,2.3636177937431643e-18,1.6199591097433012e-07,6.362352076021153e-05,83.42853966699977,0.09439180407859638,5.487558371697285e-06,0.01043198533357318,,[378],[0.43783633300017755],1.5938808396845447e-07,1.5938808396845447e-07,7.529331478548858e-22,4.269484699160763e-09,1
