algo,m,n,iter,opt,eta,rho,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,cg_time,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
our,1000,1000,0,0.002144739808710604,0.0001,0.0,2.480917714426016e-18,3.0028103405359835e-17,0.5001658420169115,0.0,232.2058368971135,0.4980211022082009,1.0,,[],[],0.0008632518642845498,2.897230190177476e-17,0.0,0.0008632518642845498,0
our,1000,1000,1,0.002144739808710604,0.0001,0.0,4.8070167528931665e-18,4.319885916609926e-05,0.002518733260045446,1.8401537079999999,0.17437707353400758,0.0003739934513348423,0.9949642037731152,,"[52, 39, 44, 36, 66, 50, 47, 57, 72]","[0.06914883399999994, 0.08032341699999979, 0.11691816700000013, 0.05624970900000026, 0.4068657080000002, 0.38419995799999995, 0.025410500000000003, 0.0572892920000001, 0.10550120799999974]",4.1679968017862895e-05,4.1679968017862895e-05,3.911642241601453e-21,9.640183682495098e-07,9
our,1000,1000,2,0.002144739808710604,0.0001,0.0,4.699598176616545e-18,4.4622231108083096e-06,0.002227535683495465,2.3638233750000004,0.038604158158764,8.279587478486139e-05,0.11561270943979465,,"[54, 67, 86, 66, 74]","[0.06786883299999946, 0.04444366600000027, 0.09932783299999937, 0.02963958300000069, 0.08699070900000017]",4.30532935677646e-06,4.30532935677646e-06,4.118573923282789e-21,2.80401398013866e-07,5
our,1000,1000,3,0.002144739808710604,0.0001,0.0,4.502063621947547e-18,2.5104670594817305e-07,0.0021801480709472626,2.8045247090000003,0.01650935096782016,3.540826223665883e-05,0.021273559341523803,,"[90, 94, 95]","[0.04289716700000046, 0.16916749999999947, 0.11211000000000038]",2.4221979183934357e-07,2.4221979183934357e-07,4.280478738866274e-21,1.4401299059466906e-07,3
our,1000,1000,4,0.002144739808710604,0.0001,0.0,4.362819714704466e-18,6.881240031584372e-07,0.002165027744247515,3.0941567510000003,0.009459392442157452,2.0287935536911304e-05,0.0069354586054229915,,"[93, 106]","[0.05879145799999996, 0.14025479200000035]",6.639292564113623e-07,6.639292564113623e-07,3.986430836049869e-21,8.852054382995712e-08,2
our,1000,1000,5,0.002144739808710604,0.0001,0.0,4.367570138712356e-18,5.50805802131109e-08,0.002156927399431617,3.413840043000001,0.005682549776674435,1.2187590721013213e-05,0.003741450813931013,,"[124, 132]","[0.13756262500000016, 0.09605420799999997]",6.131646464023227e-08,5.314392245546643e-08,5.297671605541877e-21,6.131646464023227e-08,2
our,1000,1000,6,0.002144739808710604,0.0001,0.0,4.239800043863393e-18,2.5389900331855282e-08,0.002153041189080005,3.717913960000001,0.003870576904334192,8.301380369401395e-06,0.0018017344267757423,,"[120, 150]","[0.11057979199999934, 0.12005970800000032]",4.5888461792066265e-08,2.4497180116250086e-08,4.494446570831423e-21,4.5888461792066265e-08,2
our,1000,1000,7,0.002144739808710604,0.0001,0.0,4.079655492124528e-18,9.975792608138241e-10,0.0021507380756410972,4.120835168000001,0.0027967340868725456,5.998266930493448e-06,0.001069702451856979,,"[155, 165]","[0.16312337499999963, 0.15010520799999938]",3.687345733145364e-08,9.625039292387863e-10,5.03982012721454e-21,3.687345733145364e-08,2
our,1000,1000,8,0.002144739808710604,0.0001,0.0,4.202154013175472e-18,2.7231105321575845e-10,0.0021492745035751005,4.4349437100000015,0.0021143333312878326,4.5346948644967196e-06,0.0006804975847932871,,"[160, 165]","[0.07438545800000007, 0.1504444170000001]",3.002514210832418e-08,2.62736475176417e-10,5.063700870474814e-21,3.002514210832418e-08,2
our,1000,1000,9,0.002144739808710604,0.0001,0.0,4.181026099731332e-18,1.3175122256183235e-10,0.0021482862890926757,4.693953252000001,0.0016535713878524073,3.5464803820718996e-06,0.00045978979454742763,,"[178, 158]","[0.09059579200000023, 0.0827850829999992]",2.5227042987954638e-08,1.2711879083605358e-10,5.158483489692667e-21,2.5227042987954638e-08,2
our,1000,1000,10,0.002144739808710604,0.0001,0.0,3.731423947136484e-18,1.5544845957749711e-10,0.0021475928734890934,5.149757543000001,0.0013302614922808785,2.853064778489574e-06,0.00032277616214512473,,"[178, 178]","[0.2705142079999998, 0.08501533400000039]",2.2082007279918843e-08,1.4998282243297438e-10,4.6721715570339085e-21,2.2082007279918843e-08,2
our,1000,1000,11,0.002144739808710604,0.0001,0.0,3.882302309054585e-18,1.4746616703608746e-10,0.0021470888017741177,5.435626584,0.001095234514682738,2.3489930635139065e-06,0.0002347147456103845,,"[196, 187]","[0.10601658300000061, 0.08522062499999983]",1.9413407914442318e-08,1.4228119085617867e-10,4.714354521502874e-21,1.9413407914442318e-08,2
our,1000,1000,12,0.002144739808710604,0.0001,0.0,3.8837362383316e-18,6.126123089817352e-11,0.0021467101577104255,6.057798959,0.0009186890604722015,1.9703489998216736e-06,0.00017635230707708184,,"[208, 173]","[0.12430933399999944, 0.4124586670000001]",1.7033085178621155e-08,5.910725870683563e-11,5.281814297383245e-21,1.7033085178621155e-08,2
our,1000,1000,13,0.002144739808710604,0.0001,0.0,4.134782916342312e-18,9.830098146070717e-08,0.002146780549728855,6.247417875000001,0.000951509833483252,2.0407410182511285e-06,3.279064860089519e-05,,[205],[0.1424757500000009],9.484467512563648e-08,9.484467512563648e-08,4.226492206732572e-21,1.4986107113854877e-08,1
our,1000,1000,14,0.002144739808710604,0.0001,0.0,3.625269745164426e-18,7.109750705658625e-08,0.0021464537227455973,6.439641333000002,0.0007991244569773196,1.7139140349935016e-06,0.00015224051815585258,,[221],[0.12994929100000085],6.859768701007291e-08,6.859768701007291e-08,4.584237230404616e-21,1.3249544071221233e-08,1
our,1000,1000,15,0.002144739808710604,0.0001,0.0,3.915561061550567e-18,5.190929024808001e-08,0.002146196460331208,6.636863792000002,0.0006791740493127358,1.4566516206042032e-06,0.00011985462889934836,,[213],[0.15301045900000076],5.008413645950693e-08,5.008413645950693e-08,4.4645758531889276e-21,1.1859751234541997e-08,1
our,1000,1000,16,0.002144739808710604,0.0001,0.0,3.887280323252217e-18,3.606508733738891e-08,0.0021459933740258573,6.811005584000003,0.0005844836330086642,1.2535653152534812e-06,9.46261486795021e-05,,[206],[0.11926908299999894],3.479702278720005e-08,3.479702278720005e-08,4.248505048468044e-21,1.0716964645358399e-08,1
our,1000,1000,17,0.002144739808710604,0.0001,0.0,3.777352165487394e-18,2.5378440431250128e-08,0.0021458320710268535,6.965400459000002,0.0005092749767657777,1.0922623162497314e-06,7.516472369210879e-05,,[210],[0.09953025000000082],2.448612315085954e-08,2.448612315085954e-08,4.938055555914295e-21,9.754622687799568e-09,1
our,1000,1000,18,0.002144739808710604,0.0001,0.0,3.652745985632368e-18,2.047016076142683e-08,0.0021457027882796943,7.164581000000001,0.0004489959878487347,9.62979569090524e-07,6.0248305962423816e-05,,[215],[0.13656887500000003],1.975042078255474e-08,1.975042078255474e-08,4.921314641416745e-21,8.953545725315076e-09,1
our,1000,1000,19,0.002144739808710604,0.0001,0.0,3.54215377529848e-18,1.6514663387376464e-08,0.002145597803779971,7.291593250000001,0.00040004622746427293,8.579950693671234e-07,4.892779200215853e-05,,[217],[0.0789680420000014],1.5934000459711137e-08,1.5934000459711137e-08,4.7738511224041625e-21,8.284282014608753e-09,1
our,1000,1000,20,0.002144739808710604,0.0001,0.0,3.6289090042347704e-18,1.3613261237287758e-08,0.0021455108293231906,7.446972750000001,0.00035949377610068194,7.710206125868292e-07,4.053623499570536e-05,,[221],[0.11094450000000045],1.3134612902792569e-08,1.3134612902792569e-08,4.349673115479436e-21,7.705649829384295e-09,1
our,1000,1000,21,0.002144739808710604,0.0001,0.0,3.470618042079158e-18,1.2571388527036958e-08,0.002145438293516807,7.610484208000002,0.00032567344689856916,6.984848062033602e-07,3.380817537348468e-05,,[230],[0.10454116699999894],1.2129372901546984e-08,1.2129372901546984e-08,4.9922661884124514e-21,7.19702232541455e-09,1
our,1000,1000,22,0.002144739808710604,0.0001,0.0,3.619679323025675e-18,1.179875268064563e-08,0.002145376771470491,7.780101167000001,0.0002969883606860355,6.369627598870435e-07,2.8675747283073636e-05,,[238],[0.1108139579999996],1.1383903275989907e-08,1.1383903275989907e-08,4.83177267542485e-21,6.724919585382238e-09,1
our,1000,1000,23,0.002144739808710604,0.0001,0.0,3.748970527764764e-18,1.0543081318146215e-08,0.0021453234208461246,7.914459667,0.0002721132573520422,5.836121355208383e-07,2.4867717911216797e-05,,[252],[0.08506775000000033],1.0172381878429634e-08,1.0172381878429634e-08,4.808112651171806e-21,6.276655384249253e-09,1
our,1000,1000,24,0.002144739808710604,0.0001,0.0,3.5069508623601724e-18,8.852177617268258e-09,0.002145276373733109,8.068889459000001,0.00025017721045971034,5.365650225051116e-07,2.1930079426985007e-05,,[260],[0.11089304100000064],8.540931105553978e-09,8.540931105553978e-09,4.555089196588119e-21,5.855440758493645e-09,1
our,1000,1000,25,0.002144739808710604,0.0001,0.0,3.5271806662411786e-18,7.135626948089928e-09,0.002145234631975244,8.213743375,0.0002307148226701331,4.948232646402421e-07,1.9457519961510802e-05,,[270],[0.09652445900000117],6.884735123217939e-09,6.884735123217939e-09,4.917530375101811e-21,5.465252220513661e-09,1
our,1000,1000,26,0.002144739808710604,0.0001,0.0,3.510359615156757e-18,5.901502962095745e-09,0.0021451977250676445,8.369596291999999,0.00021350671777572782,4.579163570407434e-07,1.7204135645300676e-05,,[279],[0.11103329100000003],5.694003486798205e-09,5.694003486798205e-09,4.4376803801080124e-21,5.095861454912369e-09,1
our,1000,1000,27,0.002144739808710604,0.0001,0.0,3.645421976848523e-18,4.9255849725512395e-09,0.0021451649984641514,8.514943541999997,0.0001982477090324575,4.2518975354758834e-07,1.5255751537832286e-05,,[290],[0.1025755420000003],4.757926342842906e-09,4.752399208873358e-09,4.8027991624450354e-21,4.757926342842906e-09,1
our,1000,1000,28,0.002144739808710604,0.0001,0.0,3.753506157892007e-18,3.924828535850708e-09,0.0021451356397610777,8.678071833999999,0.00018455900751517692,3.9583105047391945e-07,1.3685988301453965e-05,,[301],[0.1239144999999997],4.456122161286292e-09,3.7868298146685665e-09,5.035090240389945e-21,4.456122161286292e-09,1
our,1000,1000,29,0.002144739808710604,0.0001,0.0,3.4969393874726675e-18,3.1549333475252206e-09,0.0021451093736531454,8.833924624999998,0.00017231225020426834,3.6956494254159616e-07,1.224449747860642e-05,,[309],[0.10952116700000047],4.178431750457178e-09,3.0440044844178272e-09,4.6036082361889676e-21,4.178431750457178e-09,1
our,1000,1000,30,0.002144739808710604,0.0001,0.0,3.475305501192497e-18,2.690612586841145e-09,0.0021450859931891014,9.008358999999997,0.0001614109446244352,3.4618447849760897e-07,1.0899427474959004e-05,,[320],[0.1307552919999999],3.931312975945493e-09,2.5960094486940736e-09,4.744423985056594e-21,3.931312975945493e-09,1
our,1000,1000,31,0.002144739808710604,0.0001,0.0,3.2590517269117033e-18,2.4037936861637557e-09,0.0021450650808345277,9.176782040999996,0.00015166041242058344,3.2527212392389343e-07,9.748958615232542e-06,,[325],[0.11462245799999948],3.7125489023020677e-09,2.3192752284410147e-09,5.2084501691853186e-21,3.7125489023020677e-09,1
our,1000,1000,32,0.002144739808710604,0.0001,0.0,3.4202485853116784e-18,2.1913712268701135e-09,0.0021450462371623174,9.370306415999996,0.00014287441789865885,3.0642845171360844e-07,8.784662236426854e-06,,[336],[0.1511685000000007],3.5300867942661734e-09,2.1143216375234366e-09,5.0159210621152596e-21,3.5300867942661734e-09,1
our,1000,1000,33,0.002144739808710604,0.0001,0.0,3.475985572769451e-18,1.9915381698246917e-09,0.0021450290831459473,9.573094207999997,0.0001348762372799841,2.892744353434791e-07,7.997038046518938e-06,,[354],[0.14048662499999942],3.3682849530428867e-09,1.9215147998581205e-09,5.006389996017219e-21,3.3682849530428867e-09,1
our,1000,1000,34,0.002144739808710604,0.0001,0.0,3.2099611888005152e-18,1.775909103933301e-09,0.00214501339945986,9.749142040999997,0.0001275636084829813,2.735907492562237e-07,7.311642630156503e-06,,[370],[0.13218812500000077],3.214364077310944e-09,1.7134673480604168e-09,4.325805747621819e-21,3.214364077310944e-09,1
our,1000,1000,35,0.002144739808710604,0.0001,0.0,3.488834833644533e-18,1.5562048839983118e-09,0.002144999046922843,10.045237415999997,0.00012087163728971468,2.5923821223928015e-07,6.691117650154385e-06,,[375],[0.25096683399999975],3.069429378689903e-09,1.5014880264521713e-09,4.685252878208096e-21,3.069429378689903e-09,1
our,1000,1000,36,0.002144739808710604,0.0001,0.0,3.3228920072718045e-18,1.3621679921835916e-09,0.002144985906794804,10.355463040999997,0.00011474496029809272,2.460980842002372e-07,6.1259365396424785e-06,,[397],[0.25461750000000016],2.948610745368022e-09,1.3142735582638593e-09,4.8830386472851706e-21,2.948610745368022e-09,1
our,1000,1000,37,0.002144739808710604,0.0001,0.0,3.3855626110592203e-18,1.2137992812776377e-09,0.002144973797974027,10.585508040999997,0.00010909913756096972,2.3398926342300605e-07,5.645174981743844e-06,,[408],[0.1775881659999996],2.8376165166671696e-09,1.1711215573826726e-09,4.6409615971931246e-21,2.8376165166671696e-09,1
our,1000,1000,38,0.002144739808710604,0.0001,0.0,3.3455463952836722e-18,1.1059471989709729e-09,0.002144962594640346,10.787974832999996,0.000103875504542455,2.227859297421024e-07,5.223063186825608e-06,,[419],[0.14645087499999931],2.7415645593120366e-09,1.0670616023751241e-09,4.69783253655245e-21,2.7415645593120366e-09,1
our,1000,1000,39,0.002144739808710604,0.0001,0.0,3.5549237412133805e-18,1.0258735343951244e-09,0.002144952218798179,11.029771499999997,9.903769525451673e-05,2.1241008757531127e-07,4.83730681025274e-06,,[426],[0.18149075000000003],2.6561736059102467e-09,9.898033635461331e-10,4.455564778878709e-21,2.6561736059102467e-09,1
our,1000,1000,40,0.002144739808710604,0.0001,0.0,3.3251303269824975e-18,9.6086089236981e-10,0.002144942557068814,11.234700832999998,9.45328460762279e-05,2.0274835821039797e-07,4.504403072590022e-06,,[432],[0.16549170800000113],2.577235254342077e-09,9.270765949999314e-10,4.7709185100005235e-21,2.577235254342077e-09,1
our,1000,1000,41,0.002144739808710604,0.0001,0.0,3.173057776915583e-18,9.04120327794825e-10,0.0021449335279396468,11.451234041,9.032295118326386e-05,1.9371922904297054e-07,4.209496957236117e-06,,[440],[0.16986754100000034],2.500803255730544e-09,8.723310539728487e-10,5.3110374185384445e-21,2.500803255730544e-09,1
our,1000,1000,42,0.002144739808710604,0.0001,0.0,3.412129668691244e-18,8.521198969318876e-10,0.002144925074868948,11.683441499,8.63816475974514e-05,1.8526615834426469e-07,3.940947627792267e-06,,[448],[0.17285879100000123],2.4228928575112836e-09,8.221589814431371e-10,4.8649885643323975e-21,2.4228928575112836e-09,1
our,1000,1000,43,0.002144739808710604,0.0001,0.0,3.2468769400585055e-18,8.015618394568123e-10,0.0021449171372580882,11.932725666000001,8.268068078199278e-05,1.773285474844337e-07,3.7006471474608374e-06,,[454],[0.20438545799999908],2.3445720372603947e-09,7.73378567809897e-10,4.62957141367643e-21,2.3445720372603947e-09,1
our,1000,1000,44,0.002144739808710604,0.0001,0.0,3.402265125364045e-18,7.547410648794577e-10,0.002144909666949406,12.157728249000002,7.919759688898687e-05,1.698582388020252e-07,3.482795933067148e-06,,[456],[0.1774812920000013],2.2663615141714585e-09,7.282040325414481e-10,5.018457456765507e-21,2.2663615141714585e-09,1
our,1000,1000,45,0.002144739808710604,0.0001,0.0,3.3837786577801434e-18,7.124855901121415e-10,0.0021449026154874403,12.398825416000001,7.590980321960493e-05,1.6280677683647507e-07,3.287533304644503e-06,,[456],[0.18765791600000092],2.1887474552233415e-09,6.874342791063047e-10,4.496007101509928e-21,2.1887474552233415e-09,1
our,1000,1000,46,0.002144739808710604,0.0001,0.0,3.4251046648352915e-18,6.744258163331695e-10,0.002144895950058526,12.613666457,7.280200017187196e-05,1.5614134792237e-07,3.1075671529219136e-06,,[458],[0.16286383300000118],2.112405983102381e-09,6.507127039421268e-10,4.481622782000834e-21,2.112405983102381e-09,1
our,1000,1000,47,0.002144739808710604,0.0001,0.0,3.3716733776500527e-18,6.424452622209185e-10,0.002144889658579634,12.849142832,6.986855394843571e-05,1.4984986903025452e-07,2.933232678230294e-06,,[462],[0.173855875000001],2.038062381581002e-09,6.198566003708038e-10,4.999916951167229e-21,2.038062381581002e-09,1
our,1000,1000,48,0.002144739808710604,0.0001,0.0,3.332557911937273e-18,6.149340525424817e-10,0.002144883725442636,13.06462254,6.710218714995488e-05,1.4391673203205738e-07,2.7661735299363232e-06,,[468],[0.16919945899999966],1.967293281033476e-09,5.933126970903712e-10,4.897502652362419e-21,1.967293281033476e-09,1
our,1000,1000,49,0.002144739808710604,0.0001,0.0,3.297395585894615e-18,5.915735125914294e-10,0.0021448781038471013,13.321205498000001,6.448107874709315e-05,1.3829513649749395e-07,2.6209325325564253e-06,,[481],[0.2114161249999995],1.8987284346591084e-09,5.707735241391568e-10,4.447469855309065e-21,1.8987284346591084e-09,1
our,1000,1000,50,0.002144739808710604,0.0001,0.0,3.152485488906135e-18,5.704336805154093e-10,0.0021448727729006644,13.533459456,6.199548752747716e-05,1.3296419006060198e-07,2.4854309563467804e-06,,[485],[0.17122262499999863],1.8332298650163192e-09,5.503769779839988e-10,5.190363876417306e-21,1.8332298650163192e-09,1
our,1000,1000,51,0.002144739808710604,0.0001,0.0,3.3053791348114877e-18,5.505377808840329e-10,0.0021448677179062596,13.756492164,5.9638560881035756e-05,1.2790919565576833e-07,2.3567805366830297e-06,,[485],[0.1844523750000029],1.7726426387583634e-09,5.31180627054131e-10,4.47612949018109e-21,1.7726426387583634e-09,1
our,1000,1000,52,0.002144739808710604,0.0001,0.0,3.263719399114388e-18,5.324237227627905e-10,0.002144862926698195,13.972408956000002,5.740462646859674e-05,1.2311798759136183e-07,2.23380119175065e-06,,[467],[0.16656354100000215],1.7144311582707167e-09,5.137034672924774e-10,4.686513685288852e-21,1.7144311582707167e-09,1
our,1000,1000,53,0.002144739808710604,0.0001,0.0,3.410110884099989e-18,5.142807927468871e-10,0.002144858364620592,14.251580623000002,5.5277525743023504e-05,1.1855590998808771e-07,2.1269786271596346e-06,,[490],[0.22268700000000052],1.659014824312626e-09,4.961984507848514e-10,4.696539539742224e-21,1.659014824312626e-09,1
our,1000,1000,54,0.002144739808710604,0.0001,0.0,3.3638194170267956e-18,4.980482195431011e-10,0.0021448540264328362,14.476501081000002,5.3254815231463345e-05,1.1421772223244725e-07,2.022598707308047e-06,,[495],[0.18554491600000134],1.6066652209302637e-09,4.805366220921074e-10,4.9696056270563935e-21,1.6066652209302637e-09,1
our,1000,1000,55,0.002144739808710604,0.0001,0.0,3.3048099551054244e-18,4.828424484321438e-10,0.0021448499051499987,14.700677290000002,5.133323816144742e-05,1.1009643939487862e-07,1.9214747422335518e-06,,[499],[0.18412658300000118],1.5564743007474789e-09,4.658654926728147e-10,4.6890480074497775e-21,1.5564743007474789e-09,1
our,1000,1000,56,0.002144739808710604,0.0001,0.0,3.1755747844039442e-18,4.68919699267568e-10,0.0021448459862767467,14.965005165,4.950603598240805e-05,1.0617756614293011e-07,1.8271083876493648e-06,,[503],[0.19996354100000246],1.5118889043741159e-09,4.5243227357624087e-10,4.318096540431478e-21,1.5118889043741159e-09,1
our,1000,1000,57,0.002144739808710604,0.0001,0.0,3.30784444844362e-18,4.552730386581706e-10,0.002144842255839809,15.214727456000002,4.776669355844483e-05,1.0244712920527699e-07,1.7392563202772508e-06,,[504],[0.18965687500000072],1.4698943336285426e-09,4.392654356381529e-10,4.866854011630858e-21,1.4698943336285426e-09,1
our,1000,1000,58,0.002144739808710604,0.0001,0.0,3.3199404231681547e-18,4.426761148053865e-10,0.0021448387089668783,15.457120873000001,4.611293914200178e-05,9.890025627450061e-08,1.653675425835737e-06,,[514],[0.19248883299999875],1.4292588301180042e-09,4.2711142524429686e-10,4.714741293517394e-21,1.4292588301180042e-09,1
our,1000,1000,59,0.002144739808710604,0.0001,0.0,3.292413470389284e-18,4.308895408227362e-10,0.002144835332961227,15.693172831000002,4.453885279477288e-05,9.552425062325093e-08,1.574013764827952e-06,,[530],[0.18518962499999958],1.3902135813155995e-09,4.1573927245785093e-10,5.180123260503511e-21,1.3902135813155995e-09,1
our,1000,1000,60,0.002144739808710604,0.0001,0.0,3.3217655996290288e-18,4.191861608192888e-10,0.0021448321101959563,15.947974206000001,4.303621585125814e-05,9.230148535245564e-08,1.5025700207697718e-06,,[538],[0.203663916],1.35414433867258e-09,4.044473885132076e-10,4.305909667621627e-21,1.35414433867258e-09,1
our,1000,1000,61,0.002144739808710604,0.0001,0.0,3.3310005472543078e-18,4.0883432918632655e-10,0.0021448290417379725,16.199672165,4.160552576412823e-05,8.923302736866048e-08,1.4306285182921904e-06,,[542],[0.2049716669999988],1.3194975220352832e-09,3.9445953189576337e-10,4.151175834684792e-21,1.3194975220352832e-09,1
our,1000,1000,62,0.002144739808710604,0.0001,0.0,3.3541957397582855e-18,3.9964452328072994e-10,0.0021448261227902,16.463938372999998,4.0244545863238944e-05,8.631407959636822e-08,1.3609232789607398e-06,,[550],[0.20768279199999995],1.2863219816230438e-09,3.8559284366302825e-10,4.645459042459354e-21,1.2863219816230438e-09,1
our,1000,1000,63,0.002144739808710604,0.0001,0.0,2.9853498383669978e-18,3.9159634943385287e-10,0.002144823346920214,16.753544873,3.895027698509605e-05,8.353820961023994e-08,1.2942167929758114e-06,,[560],[0.2272850840000018],1.2547074895386107e-09,3.7782764719683814e-10,4.211140783411995e-21,1.2547074895386107e-09,1
our,1000,1000,64,0.002144739808710604,0.0001,0.0,3.38867384676814e-18,3.85335857622159e-10,0.002144820717081477,17.224365914,3.772409620256546e-05,8.090837087327066e-08,1.2261330243096775e-06,,[566],[0.4214332089999999],1.225141247126374e-09,3.717872770684468e-10,5.200261123438787e-21,1.225141247126374e-09,1
our,1000,1000,65,0.002144739808710604,0.0001,0.0,3.0918331620171456e-18,3.779979180555639e-10,0.0021448182112521084,17.495282831,3.6555735659025476e-05,7.84025415046137e-08,1.1683164698570758e-06,,[521],[0.22379312500000026],1.197695635396008e-09,3.6470734272859015e-10,4.7643817479426704e-21,1.197695635396008e-09,1
our,1000,1000,66,0.002144739808710604,0.0001,0.0,3.303628301149521e-18,3.726638056718146e-10,0.0021448158282659875,17.836292206000003,3.5444651642562544e-05,7.601955538368357e-08,1.1110434014540487e-06,,[577],[0.2887463749999988],1.1728925188921141e-09,3.59560780114436e-10,4.215013400296881e-21,1.1728925188921141e-09,1
our,1000,1000,67,0.002144739808710604,0.0001,0.0,3.144726602416885e-18,3.6567179050726065e-10,0.0021448135560672484,18.112292456000002,3.438522302104432e-05,7.374735664462603e-08,1.0593910717707346e-06,,[580],[0.22416166699999707],1.1488590231013721e-09,3.5281460732041645e-10,4.429448404942727e-21,1.1488590231013721e-09,1
our,1000,1000,68,0.002144739808710604,0.0001,0.0,3.1963068569076924e-18,3.593260642845881e-10,0.002144811389920443,18.389338873,3.337524185851256e-05,7.158120983929636e-08,1.009946435298339e-06,,[590],[0.22256879200000057],1.1254532775706026e-09,3.4669199966093767e-10,4.639048624201853e-21,1.1254532775706026e-09,1
our,1000,1000,69,0.002144739808710604,0.0001,0.0,3.34253239200294e-18,3.501746821428168e-10,0.0021448093139370327,18.673021081999998,3.2407300012178095e-05,6.950522642894599e-08,9.679095421193992e-07,,[592],[0.22734841600000166],1.1024267636187112e-09,3.378623841953607e-10,5.134580024869618e-21,1.1024267636187112e-09,1
our,1000,1000,70,0.002144739808710604,0.0001,0.0,3.1868400911981778e-18,3.412877466329455e-10,0.0021448073393571755,18.947852414999996,3.148663828470807e-05,6.753064657168475e-08,9.206318922760926e-07,,[595],[0.22772399999999848],1.0797512136104278e-09,3.2928791730020423e-10,4.7927883507705654e-21,1.0797512136104278e-09,1
our,1000,1000,71,0.002144739808710604,0.0001,0.0,3.2368488275526037e-18,3.294006563092602e-10,0.0021448054575583936,19.209956999,3.0609236385297605e-05,6.564884778978083e-08,8.773742738440639e-07,,[596],[0.21597454100000135],1.0583400858396973e-09,3.1781878237208877e-10,4.8193165645446566e-21,1.0583400858396973e-09,1
our,1000,1000,72,0.002144739808710604,0.0001,0.0,3.239904455694006e-18,3.192261669053909e-10,0.0021448036606269713,19.665024207,2.977140448842215e-05,6.385191636754453e-08,8.378062522658331e-07,,[596],[0.40719641700000153],1.0383726225377633e-09,3.0800203255189553e-10,4.8532334928317004e-21,1.0383726225377633e-09,1
our,1000,1000,73,0.002144739808710604,0.0001,0.0,3.266116895911331e-18,3.0865364625116033e-10,0.002144801942776413,20.073911082,2.8970444599749268e-05,6.213406580912739e-08,8.009360436819541e-07,,[599],[0.34494241700000217],1.0189017814169911e-09,2.978012464375636e-10,4.652156911350616e-21,1.0189017814169911e-09,1
our,1000,1000,74,0.002144739808710604,0.0001,0.0,3.2184113362935865e-18,2.9841371598759106e-10,0.002144800301710032,20.465169581999998,2.8205285873170112e-05,6.049299942825076e-08,7.651365602328284e-07,,[594],[0.3474075419999991],1.0004976349945746e-09,2.879213566874739e-10,4.788385337166219e-21,1.0004976349945746e-09,1
our,1000,1000,75,0.002144739808710604,0.0001,0.0,3.3109381360700858e-18,2.8914420953780765e-10,0.002144798737669493,20.834271498999996,2.747604098637474e-05,5.892895888924207e-08,7.292243188149921e-07,,[603],[0.32572041599999935],9.885504848259565e-10,2.789777702172196e-10,4.73414926684936e-21,9.885504848259565e-10,1
our,1000,1000,76,0.002144739808710604,0.0001,0.0,3.2732369292136803e-18,2.8032727255709547e-10,0.0021447972464977965,21.247721331999994,2.6780771709196218e-05,5.743778719270384e-08,6.952501744562358e-07,,[574],[0.36328991600000293],9.773130612880139e-10,2.704708406717285e-10,5.0182161439920474e-21,9.773130612880139e-10,1
our,1000,1000,77,0.002144739808710604,0.0001,0.0,3.1200407734905045e-18,2.714867671750045e-10,0.002144795813232956,21.524884706999995,2.611250191033409e-05,5.600452235212522e-08,6.682519025604767e-07,,[571],[0.23725070800000125],9.655010618683702e-10,2.61941171400359e-10,4.3630743072465546e-21,9.655010618683702e-10,1
our,1000,1000,78,0.002144739808710604,0.0001,0.0,3.2885410305813377e-18,2.638706336014705e-10,0.0021447944428724165,21.794500623999994,2.5473561683698005e-05,5.463416181267222e-08,6.389235427438593e-07,,[571],[0.22301187499999742],9.533474876258159e-10,2.5459282447887866e-10,5.406127677161989e-21,9.533474876258159e-10,1
