algo,m,n,iter,opt,eta,rho,row_resid,col_resid,cost,time,rel_err,abs_err,rel_conv,grad_norm,cg_iter,cg_time,kkt_err,Delta_p,Delta_d,Delta_c,newton_iter
our,5000,5000,0,5.813596238851425e-05,0.0001,0.0,1.8820401196685e-18,3.2524927812438965e-17,0.16585476616235323,0.0,2851.877278507402,0.1657966301999647,1.0,,[],[],0.00012831981643463493,3.2001338145247454e-17,0.0,0.00012831981643463493,0
our,5000,5000,1,5.813596238851425e-05,0.0001,0.0,2.399433182331247e-18,9.21799026221197e-05,0.00013853535513935636,27.180581375,1.3829545336076932,8.039939275084212e-05,0.9991647188781796,,"[274, 514, 321, 153, 188, 262]","[2.8223098749999993, 6.190510208000001, 4.262688791, 1.9061427079999973, 2.3681816249999983, 3.1992783749999987]",9.069598097242421e-05,9.069598097242421e-05,8.945964947660476e-22,6.422481615233665e-08,6
our,5000,5000,2,5.813596238851425e-05,0.0001,0.0,2.4535777619984336e-18,1.4139084066648053e-05,8.302162368107047e-05,47.712691125,0.4280596771796592,2.488566129255622e-05,0.4007188735499553,,"[69, 121, 203, 227, 257, 290]","[0.8681387919999999, 1.5102689170000048, 2.689225166, 3.0880740409999987, 3.4696221660000006, 4.577563290999997]",1.3911471622324112e-05,1.3911471622324112e-05,7.537037805127529e-22,1.1750351668551696e-07,6
our,5000,5000,3,5.813596238851425e-05,0.0001,0.0,2.445855370903353e-18,2.417107407325711e-06,7.524320668344264e-05,71.831969416,0.2942626834076152,1.7107244294928393e-05,0.09369145835437764,,"[56, 150, 117, 126, 122, 159, 265, 331]","[0.8110511669999951, 2.1829557919999942, 1.5435710839999999, 1.4388261249999985, 1.4547905000000014, 1.984999583000004, 3.6497603749999996, 4.4770632500000005]",2.378196561150557e-06,2.378196561150557e-06,1.1263173006352587e-21,2.6193738407374685e-08,8
our,5000,5000,4,5.813596238851425e-05,0.0001,0.0,2.36851768029206e-18,3.447302399944213e-06,7.049277901452192e-05,91.541913541,0.21255030652849344,1.2356816626007669e-05,0.06313430644850576,,"[493, 399, 419]","[6.440523249999998, 4.866992415999988, 5.215356208000003]",3.391807367742943e-06,3.391807367742943e-06,1.1540966156482709e-21,1.605102352813798e-08,3
our,5000,5000,5,5.813596238851425e-05,0.0001,0.0,2.4082207665246895e-18,1.5999865782403642e-06,6.801510436052351e-05,113.278778416,0.16993168369671738,9.87914197200926e-06,0.03514792137061291,,"[339, 362, 392, 437]","[4.207870541999995, 4.353804709000002, 4.725603457999995, 5.490537791000008]",1.574229828068843e-06,1.574229828068843e-06,6.372706233964808e-22,4.800747979323652e-07,4
our,5000,5000,6,5.813596238851425e-05,0.0001,0.0,2.447573658314656e-18,1.2971226144871754e-07,6.636542566129821e-05,176.98453579099998,0.14155546643895978,8.229463272783957e-06,0.02425459336915742,,"[56, 195, 184, 130, 169, 147, 146, 127, 133, 117, 129, 112, 120, 115, 174, 150, 204, 297, 356]","[0.7593982079999932, 2.3747192910000052, 2.154079542000005, 1.5664355419999936, 2.2427932500000054, 1.8445788749999963, 1.6521414590000063, 1.4836395840000023, 1.692198416999986, 1.273825458999994, 1.6607030000000123, 1.280553999999995, 1.4087623329999985, 1.3986906250000004, 2.2274789589999955, 1.870139249999994, 2.612278833000005, 3.7209169590000215, 4.258395457999995]",1.4736497076401635e-07,1.2762413998710377e-07,7.941671598764575e-22,1.4736497076401635e-07,19
our,5000,5000,7,5.813596238851425e-05,0.0001,0.0,2.369845290257474e-18,9.976452968563268e-07,6.518873244327175e-05,233.15707016599998,0.12131509938073884,7.052770054757501e-06,0.017730515645779377,,"[63, 195, 199, 189, 173, 146, 172, 129, 100, 119, 138, 176, 136, 207, 337, 343]","[0.6737915420000036, 2.485397500000005, 2.6677883330000043, 2.6040159160000087, 2.034060917000005, 1.7220017499999756, 2.1380936250000104, 1.6199207500000057, 1.3638112499999977, 1.4664929580000035, 1.4553588339999806, 2.047688540999985, 1.7878080840000052, 2.5627632919999996, 4.241939000000002, 3.858549624999995]",9.815850992144305e-07,9.815850992144305e-07,7.753437000541081e-22,6.218586900488873e-09,16
our,5000,5000,8,5.813596238851425e-05,0.0001,0.0,2.330675367279443e-18,6.416985681094956e-08,6.43160339238097e-05,238.929079041,0.10630376244560846,6.180071535295447e-06,0.013387260140722787,,[385],[4.567287499999992],6.313684378890307e-08,6.313684378890307e-08,6.018114889765762e-22,4.804063065301158e-09,1
our,5000,5000,9,5.813596238851425e-05,0.0001,0.0,2.329099935906988e-18,1.6786834417160762e-08,6.362117440917371e-05,245.23537837499998,0.09435144436076562,5.485212020659465e-06,0.010803830277518812,,[426],[5.158709833999978],1.651659821259896e-08,1.651659821259896e-08,6.276373114286164e-22,4.269468238701822e-09,1
our,5000,5000,10,5.813596238851425e-05,0.0001,0.0,2.3510531595883187e-18,2.9231316006770863e-09,6.306671433642845e-05,250.97418699999997,0.08481414507190399,4.9307519479142015e-06,0.008715024170715622,,[357],[4.5503271670000345],3.841914186287336e-09,2.876074724462586e-09,7.815731309806288e-22,3.841914186287336e-09,1
